Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,142.259995,143.459000,142.119995,143.339996,143.339996,663324
2019-01-03,143.440002,143.710007,142.820007,143.330002,143.330002,574479
2019-01-04,143.509995,143.850006,143.250000,143.779999,143.779999,540447
2019-01-07,143.750000,143.779999,143.270004,143.309998,143.309998,495940
2019-01-08,143.559998,143.880005,143.350006,143.500000,143.500000,899290
2019-01-09,143.619995,143.729996,143.000000,143.399994,143.399994,581347
2019-01-10,143.350006,143.770004,143.095001,143.770004,143.770004,745049
2019-01-11,143.550003,143.750000,143.490005,143.550003,143.550003,389282
2019-01-14,143.380005,143.949997,143.380005,143.759995,143.759995,929298
2019-01-15,143.759995,144.000000,143.669998,144.000000,144.000000,200313
2019-01-16,144.000000,144.179993,143.850006,143.910004,143.910004,361664
2019-01-17,144.399994,144.600006,144.350006,144.460007,144.460007,1650127
2019-01-18,144.509995,144.570007,144.399994,144.460007,144.460007,526060
2019-01-22,144.460007,144.619995,144.335007,144.619995,144.619995,643294
2019-01-23,144.600006,144.789993,144.479996,144.750000,144.750000,838565
2019-01-24,144.660004,144.710007,144.550003,144.649994,144.649994,396870
2019-01-25,144.699997,144.740005,144.619995,144.690002,144.690002,819414
2019-01-28,144.649994,144.699997,144.529999,144.529999,144.529999,1374929
2019-01-29,144.649994,144.660004,144.550003,144.619995,144.619995,862093
2019-01-30,144.639999,144.740005,144.559998,144.610001,144.610001,750140
2019-01-31,144.600006,144.779999,144.559998,144.740005,144.740005,630055
2019-02-01,144.779999,144.850006,144.669998,144.850006,144.850006,1077326
2019-02-04,144.899994,144.949997,144.850006,144.949997,144.949997,761342
2019-02-05,144.940002,144.949997,144.899994,144.949997,144.949997,826641
2019-02-06,144.949997,144.990005,144.899994,144.970001,144.970001,1193606
2019-02-07,144.949997,144.990005,144.949997,144.949997,144.949997,3135886
2019-02-08,144.949997,144.949997,144.949997,144.949997,144.949997,0
2019-02-11,null,null,null,null,null,null
2019-02-12,null,null,null,null,null,null
2019-02-13,null,null,null,null,null,null
2019-02-14,null,null,null,null,null,null
2019-02-15,null,null,null,null,null,null
2019-02-19,null,null,null,null,null,null
2019-02-20,null,null,null,null,null,null
2019-02-21,null,null,null,null,null,null
2019-02-22,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-02-26,null,null,null,null,null,null
2019-02-27,null,null,null,null,null,null
2019-02-28,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-05,null,null,null,null,null,null
2019-03-06,null,null,null,null,null,null
2019-03-07,null,null,null,null,null,null
2019-03-08,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,null,null,null,null,null,null
2019-03-20,null,null,null,null,null,null
2019-03-21,null,null,null,null,null,null
2019-03-22,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-03-26,null,null,null,null,null,null
2019-03-27,null,null,null,null,null,null
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,null,null,null,null,null,null
2019-05-03,null,null,null,null,null,null
2019-05-06,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,null,null,null,null,null,null
2019-05-16,null,null,null,null,null,null
2019-05-17,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-21,null,null,null,null,null,null
2019-05-22,null,null,null,null,null,null
2019-05-23,null,null,null,null,null,null
2019-05-24,null,null,null,null,null,null
2019-05-28,null,null,null,null,null,null
2019-05-29,null,null,null,null,null,null
2019-05-30,null,null,null,null,null,null
2019-05-31,null,null,null,null,null,null
2019-06-03,null,null,null,null,null,null
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,null,null,null,null,null,null
2019-06-10,null,null,null,null,null,null
2019-06-11,null,null,null,null,null,null
2019-06-12,null,null,null,null,null,null
2019-06-13,null,null,null,null,null,null
2019-06-14,null,null,null,null,null,null
2019-06-17,null,null,null,null,null,null
2019-06-18,null,null,null,null,null,null
2019-06-19,null,null,null,null,null,null
2019-06-20,null,null,null,null,null,null
2019-06-21,null,null,null,null,null,null
2019-06-24,null,null,null,null,null,null
2019-06-25,null,null,null,null,null,null
2019-06-26,null,null,null,null,null,null
2019-06-27,null,null,null,null,null,null
2019-06-28,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-07-02,null,null,null,null,null,null
2019-07-03,null,null,null,null,null,null
2019-07-05,null,null,null,null,null,null
2019-07-08,null,null,null,null,null,null
2019-07-09,null,null,null,null,null,null
2019-07-10,null,null,null,null,null,null
2019-07-11,null,null,null,null,null,null
2019-07-12,null,null,null,null,null,null
2019-07-15,null,null,null,null,null,null
2019-07-16,null,null,null,null,null,null
2019-07-17,null,null,null,null,null,null
2019-07-18,null,null,null,null,null,null
2019-07-19,null,null,null,null,null,null
2019-07-22,null,null,null,null,null,null
2019-07-23,null,null,null,null,null,null
2019-07-24,null,null,null,null,null,null
2019-07-25,null,null,null,null,null,null
2019-07-26,null,null,null,null,null,null
2019-07-29,null,null,null,null,null,null
2019-07-30,null,null,null,null,null,null
2019-07-31,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-08-02,null,null,null,null,null,null
2019-08-05,null,null,null,null,null,null
2019-08-06,null,null,null,null,null,null
2019-08-07,null,null,null,null,null,null
2019-08-08,null,null,null,null,null,null
2019-08-09,null,null,null,null,null,null
2019-08-12,null,null,null,null,null,null
2019-08-13,null,null,null,null,null,null
2019-08-14,null,null,null,null,null,null
2019-08-15,null,null,null,null,null,null
2019-08-16,null,null,null,null,null,null
2019-08-19,null,null,null,null,null,null
2019-08-20,null,null,null,null,null,null
2019-08-21,null,null,null,null,null,null
2019-08-22,null,null,null,null,null,null
2019-08-23,null,null,null,null,null,null
2019-08-26,null,null,null,null,null,null
2019-08-27,null,null,null,null,null,null
2019-08-28,null,null,null,null,null,null
2019-08-29,null,null,null,null,null,null
2019-08-30,null,null,null,null,null,null
2019-09-03,null,null,null,null,null,null
