Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.650000,1.980000,1.620000,1.960000,1.960000,18831700
2019-01-03,1.970000,2.080000,1.830000,1.970000,1.970000,17295100
2019-01-04,2.100000,2.200000,2.050000,2.190000,2.190000,17193600
2019-01-07,2.280000,2.290000,2.150000,2.200000,2.200000,17129900
2019-01-08,2.270000,2.280000,2.130000,2.190000,2.190000,16171500
2019-01-09,2.260000,2.280000,2.170000,2.230000,2.230000,14707600
2019-01-10,2.180000,2.300000,2.100000,2.290000,2.290000,9776000
2019-01-11,2.240000,2.270000,2.140000,2.170000,2.170000,10385000
2019-01-14,2.140000,2.240000,2.130000,2.150000,2.150000,11445600
2019-01-15,2.190000,2.210000,2.140000,2.190000,2.190000,10950500
2019-01-16,2.180000,2.270000,2.150000,2.170000,2.170000,11413000
2019-01-17,2.140000,2.200000,2.120000,2.180000,2.180000,7751100
2019-01-18,2.190000,2.270000,2.160000,2.240000,2.240000,8567400
2019-01-22,2.200000,2.210000,2.010000,2.040000,2.040000,12570700
2019-01-23,2.080000,2.130000,1.960000,2.000000,2.000000,8068500
2019-01-24,1.980000,2.020000,1.880000,2.020000,2.020000,10883600
2019-01-25,2.050000,2.120000,2.020000,2.070000,2.070000,8621000
2019-01-28,2.000000,2.010000,1.930000,1.970000,1.970000,8107600
2019-01-29,2.000000,2.060000,1.970000,2.020000,2.020000,5372000
2019-01-30,2.050000,2.110000,1.990000,2.110000,2.110000,6837800
2019-01-31,2.140000,2.150000,2.010000,2.030000,2.030000,8281400
2019-02-01,2.050000,2.090000,2.020000,2.070000,2.070000,7330800
2019-02-04,2.030000,2.090000,1.990000,2.080000,2.080000,4781500
2019-02-05,2.080000,2.120000,2.020000,2.020000,2.020000,6218600
2019-02-06,2.020000,2.050000,1.970000,1.970000,1.970000,5345100
2019-02-07,1.960000,1.970000,1.800000,1.850000,1.850000,11086300
2019-02-08,1.860000,1.880000,1.680000,1.710000,1.710000,19219800
2019-02-11,1.710000,1.810000,1.660000,1.790000,1.790000,8479800
2019-02-12,1.870000,1.940000,1.830000,1.850000,1.850000,8866300
2019-02-13,1.860000,1.960000,1.850000,1.920000,1.920000,7140400
2019-02-14,1.880000,2.110000,1.880000,2.080000,2.080000,13255200
2019-02-15,2.160000,2.220000,2.090000,2.150000,2.150000,10430900
2019-02-19,2.150000,2.190000,2.120000,2.170000,2.170000,6778900
2019-02-20,2.160000,2.240000,2.120000,2.240000,2.240000,9373500
2019-02-21,2.250000,2.260000,2.120000,2.140000,2.140000,10307500
2019-02-22,2.170000,2.240000,2.120000,2.140000,2.140000,9821700
2019-02-25,2.100000,2.130000,2.030000,2.090000,2.090000,10425500
2019-02-26,2.100000,2.120000,2.010000,2.020000,2.020000,8805400
2019-02-27,2.120000,2.140000,2.020000,2.050000,2.050000,13740400
2019-02-28,2.060000,2.060000,1.920000,1.920000,1.920000,13124700
2019-03-01,1.940000,2.020000,1.900000,1.930000,1.930000,13882500
2019-03-04,1.960000,1.990000,1.850000,1.950000,1.950000,12047100
2019-03-05,1.940000,1.950000,1.810000,1.830000,1.830000,13382100
2019-03-06,1.800000,1.810000,1.730000,1.760000,1.760000,14362600
2019-03-07,1.770000,1.770000,1.630000,1.660000,1.660000,14467800
2019-03-08,1.540000,1.640000,1.500000,1.590000,1.590000,13750200
2019-03-11,1.640000,1.710000,1.550000,1.680000,1.680000,10995800
