Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,66.769997,67.900002,66.379997,67.309998,66.390129,1121300
2019-01-03,66.730003,67.970001,64.559998,64.980003,64.091980,1693600
2019-01-04,66.000000,67.449997,65.900002,66.919998,66.005463,1391600
2019-01-07,67.010002,67.809998,66.559998,67.239998,66.321083,1584200
2019-01-08,68.019997,68.519997,67.250000,67.860001,66.932617,1166800
2019-01-09,68.339996,69.330002,67.989998,68.669998,67.731544,1362300
2019-01-10,68.360001,68.769997,67.720001,68.730003,67.790726,1380200
2019-01-11,68.349998,68.820000,67.699997,68.400002,67.465240,924300
2019-01-14,67.760002,68.419998,66.809998,68.290001,67.356743,900400
2019-01-15,68.279999,68.449997,66.720001,67.000000,66.084373,1638700
2019-01-16,67.669998,68.160004,66.769997,67.029999,66.113960,1689200
2019-01-17,66.910004,68.360001,66.739998,67.940002,67.011528,1193300
2019-01-18,68.550003,69.809998,68.059998,69.290001,68.343079,2155800
2019-01-22,69.010002,69.230003,68.019997,68.389999,67.455368,1061100
2019-01-23,68.400002,68.500000,67.769997,68.459999,67.524414,1266200
2019-01-24,68.470001,69.239998,67.809998,68.610001,67.672371,702900
2019-01-25,69.120003,69.559998,67.029999,69.330002,68.382530,680600
2019-01-28,68.629997,68.870003,68.150002,68.320000,67.386330,756600
2019-01-29,68.709999,68.959999,68.050003,68.699997,67.761131,705500
2019-01-30,68.910004,69.639999,68.059998,69.419998,68.471291,637500
2019-01-31,69.760002,69.760002,68.680000,69.300003,68.352943,1197000
2019-02-01,69.480003,70.309998,68.750000,69.709999,68.757332,711900
2019-02-04,69.660004,70.260002,69.540001,70.239998,69.280090,849100
2019-02-05,70.239998,70.889999,70.050003,70.820000,69.852165,636000
2019-02-06,70.720001,71.320000,70.470001,70.599998,69.635170,774000
2019-02-07,70.589996,71.440002,70.589996,71.400002,70.424240,1316800
2019-02-08,70.790001,71.339996,70.559998,71.120003,70.148071,1355300
2019-02-11,71.139999,71.400002,70.910004,71.169998,70.197380,899100
2019-02-12,71.580002,73.070000,71.580002,73.029999,72.031960,1367900
2019-02-13,73.110001,74.160004,72.059998,73.769997,72.761848,1545700
2019-02-14,73.419998,74.459999,73.139999,73.959999,72.949249,1010500
2019-02-15,74.370003,74.370003,73.339996,73.639999,72.633621,1616300
2019-02-19,74.610001,75.129997,72.919998,75.019997,73.994759,1935300
2019-02-20,74.970001,75.690002,74.320000,75.550003,74.517532,1292800
2019-02-21,75.379997,75.860001,75.040001,75.519997,74.487930,1079000
2019-02-22,75.680000,75.980003,74.849998,75.800003,74.764114,934700
2019-02-25,76.000000,76.110001,75.070000,75.410004,74.379440,970500
2019-02-26,75.410004,75.610001,74.660004,74.680000,73.659416,973800
2019-02-27,74.570000,74.800003,74.080002,74.750000,73.728455,694700
2019-02-28,74.540001,75.250000,74.110001,74.949997,73.925720,1109200
2019-03-01,75.430000,75.680000,74.839996,75.400002,74.369576,908800
2019-03-04,75.300003,75.970001,74.669998,75.330002,74.300529,1075600
2019-03-05,75.519997,75.809998,74.949997,74.970001,73.945457,941200
2019-03-06,75.110001,75.449997,74.720001,74.879997,73.856682,1074600
2019-03-07,74.820000,74.959999,73.639999,74.349998,73.333923,1140800
2019-03-08,73.730003,74.570000,73.209999,74.510002,73.491745,1226600
2019-03-11,74.489998,76.190002,74.489998,76.169998,75.129044,1079800
2019-03-12,76.199997,76.879997,76.070000,76.570000,75.523582,1208500
2019-03-13,76.870003,77.489998,76.639999,76.870003,75.819489,1096500
2019-03-14,76.980003,77.290001,76.339996,77.000000,75.947708,976000
2019-03-15,76.959999,77.330002,75.889999,76.010002,74.971245,1541500
2019-03-18,76.190002,76.639999,75.709999,76.540001,75.493996,1291300
2019-03-19,76.610001,76.739998,75.690002,76.199997,75.158646,876400
2019-03-20,75.949997,76.220001,74.480003,74.820000,73.797501,1046800
2019-03-21,74.540001,76.080002,74.500000,75.889999,74.852882,607800
2019-03-22,75.690002,75.849998,74.070000,74.120003,73.107071,886700
2019-03-25,73.809998,74.250000,73.050003,73.720001,72.712532,1308500
2019-03-26,74.040001,74.290001,73.660004,74.059998,73.047882,1328500
2019-03-27,74.120003,74.519997,73.800003,74.279999,73.264885,1208100
2019-03-28,74.360001,75.040001,74.360001,74.970001,73.945457,683500
2019-03-29,75.440002,76.110001,75.260002,75.900002,74.862740,1087200
2019-04-01,76.440002,77.680000,76.260002,77.599998,76.539505,1000900
2019-04-02,77.660004,78.169998,77.230003,78.089996,77.022804,1360400
2019-04-03,78.150002,79.239998,77.570000,77.779999,76.717049,1562300
2019-04-04,77.599998,78.480003,77.010002,78.349998,77.279259,988400
2019-04-05,78.629997,78.980003,77.889999,78.110001,77.042542,1056100
2019-04-08,77.949997,79.250000,77.739998,78.230003,77.160904,645900
2019-04-09,78.019997,79.150002,77.519997,77.809998,76.746643,838300
2019-04-10,78.019997,78.139999,77.339996,77.800003,76.736778,760900
2019-04-11,78.040001,78.320000,77.720001,78.190002,77.121452,576700
2019-04-12,78.709999,79.070000,78.320000,79.040001,77.959831,674700
2019-04-15,78.959999,79.129997,77.870003,78.949997,77.871056,546900
2019-04-16,79.050003,80.150002,78.720001,79.809998,78.719299,998300
2019-04-17,80.269997,80.519997,79.860001,80.099998,79.005341,734300
2019-04-18,80.080002,80.690002,79.639999,80.430000,79.330833,1095200
2019-04-22,80.080002,80.080002,79.419998,79.959999,78.867256,687900
2019-04-23,80.000000,80.080002,79.540001,79.980003,78.886986,817700
2019-04-24,80.019997,80.639999,79.910004,80.500000,79.399872,1071800
2019-04-25,79.989998,79.989998,78.470001,78.730003,77.654076,938300
2019-04-26,78.690002,79.320000,77.900002,79.279999,78.196548,633200
2019-04-29,79.360001,79.470001,77.870003,78.339996,77.269394,938400
2019-04-30,78.370003,79.550003,78.190002,79.419998,78.334641,1414300
2019-05-01,79.320000,79.320000,77.059998,77.120003,76.066078,1316500
2019-05-02,77.120003,78.239998,76.599998,78.220001,77.151039,1024200
2019-05-03,78.610001,79.230003,78.419998,79.160004,78.078194,703800
2019-05-06,77.839996,79.160004,77.370003,78.709999,77.634338,1216500
2019-05-07,77.099998,77.099998,73.910004,75.730003,74.695068,2249800
2019-05-08,75.930000,76.000000,74.599998,74.940002,73.915863,1421000
2019-05-09,74.139999,74.910004,74.029999,74.269997,73.255013,1365200
2019-05-10,73.949997,74.379997,72.550003,73.809998,72.801300,1472500
2019-05-13,72.449997,73.099998,71.900002,72.139999,71.154129,1341300
2019-05-14,72.300003,73.660004,72.110001,72.830002,71.834702,1287700
