Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10.010000,10.500000,9.930000,10.360000,10.135902,17940900
2019-01-03,10.270000,10.390000,9.840000,10.070000,9.852178,22417600
2019-01-04,10.480000,10.930000,10.330000,10.820000,10.585953,25597600
2019-01-07,10.960000,11.220000,10.810000,11.000000,10.762061,16813100
2019-01-08,11.150000,11.270000,10.980000,11.200000,10.957734,22809600
2019-01-09,11.340000,11.600000,11.180000,11.510000,11.261029,20616000
2019-01-10,11.330000,11.530000,11.240000,11.510000,11.261029,19481400
2019-01-11,11.510000,11.740000,11.370000,11.600000,11.349083,21532900
2019-01-14,11.410000,11.640000,11.400000,11.550000,11.349083,16085200
2019-01-15,11.850000,11.970000,11.440000,11.570000,11.368734,26038900
2019-01-16,11.710000,11.970000,11.630000,11.890000,11.683167,22312700
2019-01-17,11.900000,12.220000,11.860000,12.130000,11.918993,23115300
2019-01-18,12.320000,12.650000,12.280000,12.560000,12.341514,31366400
2019-01-22,12.270000,12.410000,12.110000,12.380000,12.164644,26656300
2019-01-23,12.400000,12.550000,12.180000,12.310000,12.095862,25720300
2019-01-24,11.470000,11.880000,10.600000,10.700000,10.513869,66363100
2019-01-25,10.970000,11.480000,10.700000,11.240000,11.044475,36134500
2019-01-28,11.020000,11.050000,10.200000,10.280000,10.101173,54798400
2019-01-29,10.430000,10.590000,10.260000,10.450000,10.268217,38234100
2019-01-30,10.620000,11.350000,10.600000,11.270000,11.073954,37813200
2019-01-31,11.230000,11.760000,11.210000,11.640000,11.437517,31833200
2019-02-01,11.560000,11.630000,11.400000,11.510000,11.309779,24240200
2019-02-04,11.440000,11.970000,11.420000,11.860000,11.653689,21269300
2019-02-05,11.900000,12.010000,11.770000,11.870000,11.663515,18497100
2019-02-06,11.860000,12.050000,11.780000,11.910000,11.702820,18136700
2019-02-07,11.850000,12.140000,11.800000,11.860000,11.653689,25184000
2019-02-08,11.850000,11.950000,11.400000,11.610000,11.408038,23718200
2019-02-11,11.500000,11.620000,11.450000,11.530000,11.329431,15561600
2019-02-12,11.550000,11.700000,11.470000,11.490000,11.290126,15617900
2019-02-13,12.020000,12.360000,11.900000,12.290000,12.076210,36169400
2019-02-14,12.140000,12.300000,12.050000,12.160000,11.948471,15313400
2019-02-15,12.380000,12.620000,12.230000,12.280000,12.066383,16573400
2019-02-19,12.630000,13.260000,12.530000,13.090000,12.862293,35617600
2019-02-20,13.640000,13.860000,13.290000,13.350000,13.117770,38188400
2019-02-21,13.190000,13.270000,12.880000,13.020000,12.793511,20123200
2019-02-22,13.400000,13.400000,13.080000,13.220000,12.990031,23876800
2019-02-25,13.250000,13.310000,13.110000,13.260000,13.029336,20071800
2019-02-26,13.180000,13.290000,13.020000,13.180000,12.950728,13448100
2019-02-27,13.250000,13.280000,13.090000,13.160000,12.931076,17655100
2019-02-28,13.060000,13.120000,12.820000,12.900000,12.675597,21053700
2019-03-01,12.980000,13.150000,12.790000,12.870000,12.646120,15988500
2019-03-04,12.870000,12.900000,12.490000,12.780000,12.557687,18449000
2019-03-05,12.870000,12.900000,12.590000,12.840000,12.616643,17481200
2019-03-06,12.880000,12.910000,12.510000,12.540000,12.321861,13683700
2019-03-07,12.500000,12.530000,12.130000,12.310000,12.095862,12689900
2019-03-08,12.090000,12.110000,11.780000,12.090000,11.879689,16287900
2019-03-11,12.130000,12.370000,12.060000,12.360000,12.144992,13129200
2019-03-12,12.540000,12.800000,12.470000,12.650000,12.429947,13272700
2019-03-13,12.800000,12.830000,12.550000,12.660000,12.439773,12709900
2019-03-14,12.500000,12.670000,12.300000,12.320000,12.105686,15132500
2019-03-15,12.320000,12.540000,12.290000,12.350000,12.135166,15387400
2019-03-18,12.530000,12.630000,12.430000,12.620000,12.400469,12641600
2019-03-19,12.800000,13.040000,12.630000,12.680000,12.459426,14700800
2019-03-20,12.630000,12.970000,12.320000,12.820000,12.596991,22588400
2019-03-21,12.710000,13.000000,12.620000,12.920000,12.695250,18399400
2019-03-22,12.730000,12.760000,12.110000,12.180000,11.968123,20823900
2019-03-25,12.210000,12.600000,12.150000,12.380000,12.164644,13195100
2019-03-26,12.490000,12.720000,12.460000,12.700000,12.479078,14315600
