Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,31.660000,33.090000,31.350000,32.939999,31.620928,1485600
2019-01-03,32.889999,33.099998,32.000000,32.369999,31.073757,2114900
2019-01-04,33.119999,34.209999,32.840000,34.119999,32.753681,2435300
2019-01-07,34.000000,35.130001,33.709999,34.910000,33.512043,2203800
2019-01-08,35.220001,35.830002,35.020000,35.290001,33.876831,1472200
2019-01-09,35.540001,36.200001,35.119999,35.799999,34.366402,1712000
2019-01-10,35.450001,36.130001,35.220001,36.119999,34.673588,1336100
2019-01-11,35.799999,36.880001,35.459999,36.639999,35.172771,2968800
2019-01-14,36.029999,37.150002,35.750000,36.689999,35.220760,2136500
2019-01-15,36.889999,36.910000,36.299999,36.500000,35.038376,1072700
2019-01-16,36.400002,36.779999,36.270000,36.439999,34.980774,946900
2019-01-17,36.439999,37.630001,36.330002,37.349998,35.854336,999500
2019-01-18,37.770000,38.599998,37.709999,38.529999,36.987083,1963500
2019-01-22,38.220001,38.630001,36.779999,37.000000,35.518353,2175600
2019-01-23,37.180000,37.480000,36.160000,36.490002,35.028774,1045000
2019-01-24,36.400002,37.230000,36.400002,36.820000,35.345562,1571000
2019-01-25,37.119999,37.619999,37.080002,37.320000,35.825542,1573900
2019-01-28,36.770000,37.020000,36.040001,36.430000,34.971180,2661000
2019-01-29,36.450001,36.720001,36.200001,36.240002,34.788784,1923400
2019-01-30,36.500000,36.730000,35.529999,36.270000,34.817589,2622100
2019-01-31,36.439999,36.860001,36.049999,36.570000,35.105572,2328700
2019-02-01,36.560001,36.910000,36.270000,36.320000,34.865578,1063600
2019-02-04,36.220001,36.439999,35.689999,36.200001,34.750389,1807300
2019-02-05,36.080002,36.610001,35.380001,35.730000,34.299210,2865300
2019-02-06,35.830002,36.330002,35.389999,36.169998,34.721588,1897700
2019-02-07,36.000000,36.060001,34.549999,34.759998,33.368053,1699900
2019-02-08,34.529999,34.849998,33.490002,34.480000,33.099262,2371100
2019-02-11,34.410000,34.430000,33.919998,34.400002,33.022465,1606700
2019-02-12,34.820000,37.119999,34.820000,36.639999,35.172771,3032200
2019-02-13,36.639999,37.169998,36.110001,36.119999,34.673588,2152400
2019-02-14,35.930000,36.060001,35.450001,35.689999,34.260811,1895700
2019-02-15,35.650002,36.639999,35.639999,36.310001,34.855984,2058900
2019-02-19,36.009998,37.150002,35.869999,37.000000,35.518353,1858100
2019-02-20,37.220001,38.060001,36.779999,37.700001,36.190323,3509900
2019-02-21,37.619999,38.130001,37.500000,37.820000,36.305519,2940800
2019-02-22,38.130001,39.000000,37.250000,38.389999,36.852692,3689200
2019-02-25,38.849998,38.869999,37.830002,37.959999,36.439907,2875000
2019-02-26,38.060001,38.820000,38.040001,38.299999,36.766293,1885300
2019-02-27,38.040001,38.500000,37.580002,38.400002,36.862289,1572100
2019-02-28,38.389999,38.389999,37.459999,37.599998,36.094326,1393400
2019-03-01,37.900002,38.419998,37.410000,37.439999,36.142593,1632500
2019-03-04,37.840000,38.169998,37.299999,37.680000,36.374275,1708400
2019-03-05,37.759998,37.939999,37.279999,37.430000,36.132938,1272600
2019-03-06,37.290001,37.520000,36.799999,36.799999,35.524773,1134800
2019-03-07,36.720001,36.820000,35.900002,36.369999,35.109669,1376300
2019-03-08,35.840000,36.540001,35.709999,36.520000,35.254478,1648300
2019-03-11,36.459999,37.410000,36.400002,37.180000,35.891602,1294800
2019-03-12,37.310001,37.529999,37.049999,37.279999,35.988140,1428400
2019-03-13,37.540001,38.020000,37.259998,37.799999,36.490116,1359900
2019-03-14,37.799999,37.939999,37.470001,37.580002,36.277744,1024500
2019-03-15,37.709999,38.139999,37.590000,37.740002,36.432198,1792300
2019-03-18,37.799999,38.410000,37.700001,38.099998,36.779724,1045800
2019-03-19,38.349998,38.980000,37.560001,37.689999,36.383934,1531000
2019-03-20,37.549999,37.680000,36.709999,37.099998,35.814373,874700
2019-03-21,36.919998,37.840000,36.919998,37.540001,36.239132,858300
2019-03-22,37.340000,37.360001,35.570000,35.590000,34.356697,1070500
2019-03-25,35.459999,35.810001,35.020000,35.490002,34.260170,1016200
2019-03-26,35.770000,36.080002,35.270000,35.959999,34.713875,1414200
2019-03-27,35.930000,36.360001,35.770000,36.060001,34.810417,1212300
2019-03-28,36.270000,36.889999,36.110001,36.680000,35.408932,1046700
2019-03-29,37.110001,37.570000,36.680000,36.799999,35.524773,1198200
2019-04-01,37.150002,38.779999,37.150002,38.639999,37.301010,1761700
2019-04-02,38.630001,38.700001,38.060001,38.500000,37.165863,1268200
2019-04-03,38.779999,39.310001,38.720001,38.939999,37.590614,1501700
2019-04-04,38.880001,39.950001,38.880001,39.889999,38.507694,1910200
2019-04-05,39.820000,40.540001,39.740002,40.529999,39.125519,1747800
2019-04-08,40.310001,40.560001,39.919998,40.230000,38.835915,926400
2019-04-09,39.849998,39.849998,39.020000,39.209999,37.851257,807100
2019-04-10,39.360001,39.950001,39.080002,39.740002,38.362896,941800
2019-04-11,39.790001,40.930000,39.730000,40.869999,39.453735,1380100
2019-04-12,41.240002,41.669998,40.759998,41.180000,39.752991,793300
2019-04-15,40.740002,41.360001,40.490002,40.509998,39.106205,1422100
2019-04-16,40.580002,40.849998,40.320000,40.560001,39.154480,1205300
2019-04-17,40.849998,41.180000,40.529999,40.709999,39.299282,1465200
2019-04-18,40.799999,41.110001,40.509998,41.049999,39.627499,909000
2019-04-22,41.049999,41.400002,40.860001,41.349998,39.917099,1315500
2019-04-23,41.230000,41.910000,41.029999,41.560001,40.119827,824800
