Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,11.430000,12.230000,11.390000,12.220000,10.520443,891200
2019-01-03,12.130000,12.270000,11.920000,11.970000,10.305214,476200
2019-01-04,12.010000,12.450000,12.010000,12.350000,10.632363,436900
2019-01-07,12.330000,12.680000,12.230000,12.600000,10.847593,363000
2019-01-08,12.730000,12.820000,12.610000,12.730000,10.959513,413300
2019-01-09,12.810000,12.930000,12.750000,12.930000,11.131698,295800
2019-01-10,12.930000,13.070000,12.830000,12.970000,11.166134,201000
2019-01-11,12.950000,13.130000,12.920000,13.060000,11.243617,261900
2019-01-14,13.090000,13.280000,13.030000,13.080000,11.260836,339800
2019-01-15,13.110000,13.180000,13.040000,13.100000,11.278053,188800
2019-01-16,13.100000,13.270000,13.060000,13.150000,11.321099,306200
2019-01-17,13.150000,13.330000,13.100000,13.330000,11.476065,338600
2019-01-18,13.390000,13.430000,13.150000,13.250000,11.407191,266700
2019-01-22,13.170000,13.270000,13.050000,13.080000,11.260836,298200
2019-01-23,13.140000,13.220000,12.980000,13.170000,11.338318,249100
2019-01-24,13.180000,13.340000,13.110000,13.320000,11.467454,215700
2019-01-25,13.390000,13.450000,13.320000,13.410000,11.544939,213300
2019-01-28,13.370000,13.520000,13.290000,13.480000,11.605203,194100
2019-01-29,13.560000,13.760000,13.340000,13.690000,11.785996,484000
2019-01-30,13.700000,13.790000,13.520000,13.760000,11.846260,417100
2019-01-31,13.780000,13.900000,13.580000,13.670000,11.768778,352800
2019-02-01,13.670000,13.740000,13.520000,13.640000,11.742950,347700
2019-02-04,13.610000,13.820000,13.560000,13.800000,11.880697,399600
2019-02-05,13.840000,13.900000,13.500000,13.630000,11.734342,287400
2019-02-06,13.690000,13.800000,13.590000,13.710000,11.803214,182400
2019-02-07,13.650000,13.690000,13.320000,13.440000,11.570765,244700
2019-02-08,13.370000,13.440000,13.250000,13.390000,11.527720,229300
2019-02-11,13.370000,13.420000,13.290000,13.400000,11.536330,291900
2019-02-12,13.480000,13.530000,13.380000,13.510000,11.631031,262300
2019-02-13,13.580000,13.580000,13.410000,13.410000,11.544939,184100
2019-02-14,13.410000,13.530000,13.290000,13.420000,11.553549,360600
2019-02-15,13.460000,13.670000,13.390000,13.630000,11.734342,408500
2019-02-19,13.570000,13.760000,13.530000,13.650000,11.751559,402800
2019-02-20,13.700000,13.940000,13.640000,13.800000,11.880697,422600
2019-02-21,13.800000,13.830000,13.590000,13.740000,11.829041,312300
2019-02-22,13.670000,14.110000,13.670000,14.000000,12.052883,528600
2019-02-25,14.000000,14.040000,13.670000,13.770000,11.854871,587700
2019-02-26,13.740000,13.860000,13.560000,13.650000,11.751559,535800
2019-02-27,13.610000,13.740000,12.300000,13.110000,11.286662,1034500
2019-02-28,13.150000,13.590000,13.090000,13.320000,11.467454,797800
2019-03-01,13.420000,13.550000,13.050000,13.290000,11.441628,493400
2019-03-04,13.270000,13.350000,12.900000,12.970000,11.166134,480900
2019-03-05,12.980000,13.000000,12.590000,12.720000,10.950904,505200
2019-03-06,12.730000,12.750000,12.460000,12.490000,10.752892,568100
2019-03-07,12.500000,12.570000,12.290000,12.330000,10.615146,509000
2019-03-08,12.030000,12.240000,11.910000,12.140000,10.588978,356200
2019-03-11,12.150000,12.160000,11.950000,12.010000,10.475587,663700
2019-03-12,11.990000,12.240000,11.960000,12.170000,10.615146,495700
2019-03-13,12.230000,12.260000,11.950000,12.000000,10.466864,359000
2019-03-14,11.980000,12.110000,11.900000,12.030000,10.493032,277600
2019-03-15,12.030000,12.090000,11.960000,12.000000,10.466864,796500
2019-03-18,12.000000,12.210000,11.900000,12.070000,10.527920,482100
2019-03-19,12.120000,12.130000,11.860000,11.870000,10.353474,325600
2019-03-20,11.900000,12.050000,11.770000,11.880000,10.362195,493500
2019-03-21,11.880000,12.010000,11.810000,11.880000,10.362195,470900
2019-03-22,11.880000,11.940000,11.460000,11.470000,10.004577,714300
2019-03-25,11.470000,11.550000,11.180000,11.190000,9.760350,623400
2019-03-26,11.250000,11.340000,10.930000,11.060000,9.646959,668700
2019-03-27,11.490000,11.790000,10.870000,11.010000,9.603348,1042600
2019-03-28,11.000000,11.110000,10.750000,10.840000,9.455067,1099300
2019-03-29,10.850000,10.860000,10.480000,10.500000,9.158505,994100
2019-04-01,10.550000,10.680000,10.460000,10.680000,9.315508,723300
2019-04-02,10.680000,10.830000,10.510000,10.610000,9.254453,653000
2019-04-03,10.660000,10.920000,10.650000,10.750000,9.376566,612700
2019-04-04,10.760000,10.870000,10.700000,10.840000,9.455067,493500
2019-04-05,10.880000,11.060000,10.880000,11.000000,9.594626,689800
2019-04-08,11.000000,11.070000,10.930000,10.980000,9.577181,325000
2019-04-09,10.950000,11.010000,10.910000,10.910000,9.516124,365800
2019-04-10,10.950000,11.210000,10.930000,11.120000,9.699293,417900
2019-04-11,11.120000,11.270000,11.100000,11.130000,9.708017,252100
2019-04-12,11.170000,11.200000,10.890000,10.910000,9.516124,248400
2019-04-15,10.930000,10.960000,10.820000,10.840000,9.455067,252500
2019-04-16,10.860000,10.910000,10.770000,10.890000,9.498679,187700
2019-04-17,10.940000,10.970000,10.810000,10.890000,9.498679,302100
2019-04-18,10.870000,10.920000,10.680000,10.700000,9.332953,247700
2019-04-22,10.670000,10.720000,10.440000,10.700000,9.332953,686200
2019-04-23,10.700000,10.870000,10.700000,10.780000,9.402734,334300
2019-04-24,10.820000,10.860000,10.610000,10.710000,9.341676,403300
