Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.610000,4.740000,4.570000,4.730000,4.730000,3322200
2019-01-03,4.710000,4.780000,4.660000,4.700000,4.700000,3529500
2019-01-04,4.750000,4.800000,4.690000,4.790000,4.790000,4863200
2019-01-07,4.770000,4.810000,4.680000,4.730000,4.730000,2996600
2019-01-08,4.740000,4.800000,4.690000,4.750000,4.750000,4016700
2019-01-09,4.750000,4.800000,4.700000,4.760000,4.760000,6102900
2019-01-10,4.740000,4.780000,4.710000,4.770000,4.770000,2487900
2019-01-11,4.750000,4.830000,4.700000,4.800000,4.800000,2781700
2019-01-14,4.800000,4.840000,4.770000,4.800000,4.800000,3872700
2019-01-15,4.900000,5.000000,4.860000,4.970000,4.970000,7765300
2019-01-16,4.980000,5.010000,4.920000,4.970000,4.970000,4258300
2019-01-17,4.980000,5.020000,4.950000,4.980000,4.980000,4262100
2019-01-18,4.970000,5.020000,4.950000,5.010000,5.010000,4599600
2019-01-22,4.990000,5.000000,4.780000,4.810000,4.810000,5895100
2019-01-23,4.840000,4.890000,4.800000,4.870000,4.870000,2902600
2019-01-24,4.850000,4.940000,4.820000,4.860000,4.860000,2440700
2019-01-25,4.860000,4.880000,4.760000,4.780000,4.780000,3483600
2019-01-28,4.730000,4.820000,4.710000,4.740000,4.740000,2973900
2019-01-29,4.750000,4.800000,4.640000,4.750000,4.750000,3711800
2019-01-30,4.750000,4.770000,4.630000,4.740000,4.740000,6097800
2019-01-31,4.730000,4.840000,4.730000,4.840000,4.840000,5896800
2019-02-01,4.810000,4.880000,4.800000,4.840000,4.840000,2070900
2019-02-04,4.820000,4.830000,4.750000,4.820000,4.820000,4246100
2019-02-05,4.820000,4.840000,4.770000,4.800000,4.800000,1721900
2019-02-06,4.700000,4.830000,4.690000,4.730000,4.730000,4946100
2019-02-07,4.720000,4.760000,4.660000,4.680000,4.680000,3804600
2019-02-08,4.670000,4.710000,4.520000,4.610000,4.610000,4234500
2019-02-11,4.610000,4.650000,4.580000,4.620000,4.620000,2687800
2019-02-12,4.620000,4.660000,4.590000,4.610000,4.610000,2566600
2019-02-13,4.610000,4.690000,4.570000,4.590000,4.590000,2835600
2019-02-14,4.580000,4.610000,4.490000,4.550000,4.550000,4838100
2019-02-15,4.580000,4.590000,4.530000,4.550000,4.550000,3960100
2019-02-19,4.540000,4.560000,4.510000,4.540000,4.540000,2647500
2019-02-20,4.560000,4.570000,4.480000,4.490000,4.490000,3221100
2019-02-21,4.480000,4.560000,4.470000,4.540000,4.540000,2951000
2019-02-22,4.540000,4.550000,4.290000,4.300000,4.300000,7971500
2019-02-25,4.350000,4.350000,3.670000,4.020000,4.020000,21883100
2019-02-26,4.030000,4.070000,3.830000,3.850000,3.850000,5496200
2019-02-27,3.950000,3.980000,3.900000,3.940000,3.940000,3921300
2019-02-28,3.960000,3.990000,3.860000,3.870000,3.870000,3791500
2019-03-01,3.920000,3.980000,3.830000,3.840000,3.840000,3807100
2019-03-04,3.880000,3.940000,3.850000,3.890000,3.890000,3206100
2019-03-05,3.900000,4.040000,3.900000,3.970000,3.970000,5223600
2019-03-06,3.970000,4.100000,3.880000,3.890000,3.890000,6056900
2019-03-07,3.900000,3.940000,3.690000,3.800000,3.800000,5596900
2019-03-08,3.800000,3.840000,3.610000,3.630000,3.630000,7178400
2019-03-11,3.650000,3.750000,3.590000,3.600000,3.600000,3317800
2019-03-12,3.610000,3.810000,3.550000,3.790000,3.790000,3427200
2019-03-13,3.800000,4.020000,3.790000,3.930000,3.930000,7078600
2019-03-14,3.920000,3.940000,3.790000,3.810000,3.810000,2745400
2019-03-15,3.970000,4.090000,3.920000,4.000000,4.000000,13631700
2019-03-18,4.000000,4.050000,3.950000,3.960000,3.960000,3262100
2019-03-19,3.960000,4.060000,3.960000,3.960000,3.960000,2177200
2019-03-20,3.960000,4.000000,3.900000,3.920000,3.920000,2096300
2019-03-21,3.910000,3.990000,3.900000,3.950000,3.950000,2218800
