Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,81.709999,84.650002,81.660004,83.889999,78.636978,1557200
2019-01-03,83.669998,84.389999,81.900002,82.260002,77.109047,2205600
2019-01-04,86.279999,87.389999,84.129997,86.699997,81.271011,3721000
2019-01-07,86.550003,88.000000,85.360001,86.940002,81.495987,2283500
2019-01-08,87.709999,89.029999,87.510002,88.610001,83.061424,1962500
2019-01-09,88.900002,89.230003,87.589996,88.110001,82.592728,2299200
2019-01-10,87.349998,87.699997,86.410004,87.400002,81.927185,2400000
2019-01-11,87.160004,87.160004,85.790001,86.000000,80.614845,2614900
2019-01-14,85.199997,86.459999,84.919998,85.709999,80.343010,2403700
2019-01-15,85.650002,85.959999,84.129997,84.580002,79.283775,2032100
2019-01-16,84.379997,85.540001,84.300003,84.779999,79.471245,2671100
2019-01-17,84.110001,85.959999,84.110001,85.849998,80.474243,3378400
2019-01-18,86.830002,88.260002,86.330002,87.860001,82.358383,2885400
2019-01-22,86.989998,87.459999,85.199997,85.800003,80.427376,2512800
2019-01-23,85.809998,86.260002,83.839996,84.430000,79.143150,2142100
2019-01-24,84.349998,84.839996,83.570000,83.959999,78.702591,2487400
2019-01-25,85.099998,86.739998,85.099998,86.209999,80.811699,2603300
2019-01-28,85.519997,86.349998,84.739998,86.139999,80.746086,2383200
2019-01-29,86.279999,87.599998,85.730003,87.089996,81.636589,1655100
2019-01-30,87.750000,88.739998,86.459999,88.220001,82.695839,2579400
2019-01-31,86.500000,87.080002,85.260002,86.970001,81.524109,4201100
2019-02-01,85.260002,88.989998,85.089996,88.889999,83.323883,4596600
2019-02-04,88.279999,88.349998,86.300003,87.690002,82.199028,3331900
2019-02-05,87.379997,88.349998,86.870003,87.570000,82.086548,2745100
2019-02-06,87.620003,88.120003,86.230003,87.199997,81.739708,2004000
2019-02-07,86.900002,87.339996,84.220001,84.589996,79.293144,2329600
2019-02-08,84.220001,85.459999,83.760002,84.580002,79.283775,2293300
2019-02-11,84.629997,84.900002,83.480003,83.910004,78.655724,3317200
2019-02-12,84.639999,86.400002,84.349998,85.459999,80.108658,3759400
2019-02-13,85.870003,86.519997,84.900002,86.050003,80.661720,2539700
2019-02-14,85.599998,87.510002,85.279999,86.320000,80.914810,2172400
2019-02-15,87.250000,88.440002,86.980003,87.639999,82.152153,1893200
2019-02-19,87.059998,88.129997,86.320000,87.480003,82.002174,2321000
2019-02-20,87.349998,89.739998,87.269997,89.160004,83.576981,2368800
2019-02-21,89.320000,89.699997,87.889999,88.500000,82.958305,2165600
2019-02-22,89.410004,89.550003,88.620003,89.139999,83.558235,2143200
2019-02-25,89.269997,89.489998,88.480003,88.589996,83.042664,2341400
2019-02-26,88.480003,88.660004,86.790001,86.860001,81.421005,2669000
2019-02-27,86.790001,87.059998,86.000000,86.690002,81.261650,1760600
2019-02-28,86.660004,86.709999,85.120003,85.519997,80.164902,2290600
2019-03-01,85.430000,86.870003,84.339996,85.050003,80.667610,2816700
2019-03-04,86.940002,86.940002,84.019997,85.099998,80.715027,1723200
2019-03-05,84.919998,85.220001,84.019997,84.120003,79.785522,3336600
2019-03-06,86.540001,89.769997,85.589996,89.260002,84.660667,4048500
2019-03-07,88.889999,89.000000,86.230003,87.110001,82.621452,3067500
2019-03-08,86.199997,87.370003,85.389999,87.139999,82.649902,2307800
2019-03-11,87.680000,88.959999,87.419998,88.699997,84.129524,2089100
2019-03-12,88.900002,90.360001,88.820000,89.279999,84.679634,3080800
2019-03-13,89.330002,90.279999,88.790001,88.879997,84.300247,2112800
2019-03-14,88.580002,89.010002,87.419998,87.440002,82.934448,2334000
2019-03-15,87.580002,88.540001,86.809998,87.000000,82.517113,4340200
2019-03-18,87.449997,87.449997,85.940002,87.269997,82.773201,1885800
2019-03-19,88.070000,88.150002,86.320000,86.959999,82.479179,2492000
2019-03-20,86.809998,87.199997,85.900002,86.330002,81.881645,2245400
2019-03-21,86.250000,89.709999,86.099998,88.309998,83.759605,2534400
2019-03-22,87.519997,87.720001,84.959999,85.070000,80.686569,2473000
2019-03-25,85.120003,85.540001,83.199997,83.470001,79.169014,2237600
2019-03-26,84.470001,84.919998,83.320000,84.309998,79.965729,2071400
2019-03-27,84.599998,85.000000,82.849998,83.489998,79.187981,2373100
2019-03-28,83.919998,84.309998,83.110001,83.860001,79.538910,2250500
2019-03-29,83.550003,84.309998,83.169998,84.080002,79.747581,2184500
2019-04-01,85.059998,87.269997,85.000000,87.169998,82.678360,2244700
2019-04-02,87.169998,89.800003,86.570000,89.360001,84.755516,3851600
2019-04-03,90.419998,91.900002,89.919998,90.580002,85.912651,3456300
2019-04-04,90.309998,92.660004,90.150002,92.199997,87.449181,2563200
2019-04-05,92.529999,93.230003,90.489998,91.059998,86.367912,4842500
2019-04-08,91.260002,91.940002,90.760002,91.330002,86.624008,1726300
2019-04-09,90.779999,91.059998,89.769997,90.250000,85.599655,1329100
2019-04-10,90.650002,90.849998,88.790001,89.559998,84.945206,2170200
2019-04-11,89.809998,90.800003,89.559998,90.510002,85.846260,1820900
2019-04-12,92.940002,95.190002,91.209999,92.290001,87.534538,4059000
2019-04-15,93.209999,93.820000,92.199997,92.220001,87.468147,3238600
2019-04-16,92.400002,92.400002,90.989998,92.169998,87.420715,1848500
2019-04-17,92.680000,93.279999,91.739998,91.760002,87.031845,1546500
2019-04-18,91.849998,92.070000,90.480003,91.790001,87.060310,2124800
2019-04-22,92.209999,92.849998,91.550003,91.989998,87.250000,1459900
2019-04-23,91.879997,92.459999,91.389999,92.010002,87.268974,2094000
2019-04-24,92.139999,92.150002,90.160004,90.589996,85.922134,2292400
2019-04-25,90.639999,90.680000,88.110001,88.660004,84.091583,2506300
2019-04-26,87.660004,88.959999,86.769997,88.010002,83.475082,3376800
2019-04-29,87.879997,89.540001,87.160004,89.089996,84.499428,2855000
2019-04-30,89.260002,89.820000,87.370003,88.230003,83.683746,3103000
2019-05-01,88.290001,89.139999,86.360001,86.470001,82.014435,2479200
2019-05-02,86.160004,87.809998,85.019997,85.959999,81.530708,3105000
2019-05-03,86.489998,87.199997,86.099998,87.019997,82.536087,1249900
2019-05-06,85.510002,85.680000,84.580002,85.209999,80.819351,1706800
2019-05-07,84.010002,84.449997,82.760002,83.250000,78.960342,2522300
2019-05-08,83.160004,83.779999,82.940002,82.989998,78.713737,2312000
2019-05-09,82.089996,82.169998,80.510002,81.980003,77.755798,2168600
2019-05-10,82.050003,83.040001,81.160004,82.660004,78.400757,1817700
2019-05-13,81.059998,81.330002,78.919998,79.900002,75.782967,2740500
2019-05-14,80.160004,81.099998,80.160004,80.519997,76.371025,1844400
2019-05-15,80.010002,81.120003,79.370003,80.739998,76.579681,1691900
2019-05-16,81.510002,82.220001,81.230003,81.800003,77.585068,2199600
2019-05-17,80.800003,81.269997,79.790001,80.150002,76.020088,1727500
2019-05-20,79.500000,80.650002,79.400002,79.860001,75.745018,1812500
2019-05-21,80.410004,81.989998,80.139999,81.580002,77.376396,2201500
2019-05-22,81.209999,81.209999,80.169998,80.650002,76.494324,1746500
2019-05-23,79.160004,79.809998,78.489998,78.650002,74.597366,2226900
2019-05-24,79.430000,79.519997,77.239998,77.930000,73.914474,3127600
2019-05-28,78.139999,78.410004,76.820000,76.989998,73.022911,3613000
2019-05-29,76.139999,77.959999,76.070000,77.779999,73.772202,1966500
2019-05-30,77.989998,78.470001,77.320000,77.410004,73.421265,1788500
2019-05-31,76.559998,77.019997,73.940002,74.250000,70.424088,3502100
2019-06-03,74.440002,77.730003,74.300003,77.690002,73.686836,3602800
2019-06-04,81.089996,83.750000,79.529999,82.050003,77.822182,5669900
2019-06-05,82.120003,82.320000,80.059998,80.980003,76.807320,3289800
2019-06-06,80.919998,80.959999,78.839996,80.360001,76.219261,3788000
2019-06-07,79.900002,79.940002,78.820000,79.220001,76.132774,2824300
2019-06-10,83.360001,84.480003,82.559998,83.650002,80.390129,5315700
2019-06-11,84.779999,85.580002,84.220001,84.510002,81.216621,4841100
2019-06-12,84.769997,85.849998,84.360001,85.389999,82.062325,3385100
2019-06-13,85.870003,86.680000,85.599998,86.389999,83.023346,3959300
2019-06-14,86.169998,86.889999,85.629997,86.500000,83.129066,2409500
2019-06-17,85.110001,86.269997,84.760002,85.709999,82.369850,3514300
2019-06-18,86.559998,86.860001,85.830002,86.550003,83.177116,3223900
2019-06-19,87.000000,87.080002,85.870003,86.209999,82.850357,2037400
2019-06-20,87.250000,87.360001,86.129997,86.589996,83.215553,3600600
2019-06-21,86.080002,87.309998,85.989998,86.459999,83.090622,5262100
2019-06-24,86.199997,87.320000,86.099998,86.959999,83.571136,2564100
2019-06-25,86.940002,87.199997,86.220001,86.570000,83.196335,2509500
2019-06-26,86.500000,87.269997,86.239998,86.269997,82.908020,3556400
2019-06-27,86.500000,87.199997,86.360001,86.639999,83.263611,2986500
2019-06-28,86.739998,87.050003,86.120003,86.129997,82.773483,6872900
2019-07-01,86.900002,87.699997,86.669998,87.279999,83.878662,2734100
2019-07-02,87.320000,87.459999,86.550003,87.080002,83.686462,5112900
2019-07-03,87.120003,87.500000,86.989998,87.349998,83.945938,2584100
2019-07-05,87.099998,87.459999,86.879997,87.419998,84.013199,6004700
2019-07-08,87.260002,87.650002,87.150002,87.370003,83.965157,10150600
2019-07-09,88.250000,88.379997,84.199997,84.650002,81.351158,12137500
2019-07-10,84.800003,85.239998,83.660004,84.080002,80.803375,3495200
2019-07-11,84.279999,85.059998,83.709999,84.919998,81.610634,2845300
2019-07-12,84.910004,86.309998,84.910004,86.050003,82.696602,2791100
2019-07-15,85.910004,86.419998,84.620003,85.879997,82.533218,3588700
2019-07-16,86.129997,89.000000,85.919998,87.800003,84.378410,3233100
2019-07-17,87.709999,87.709999,85.720001,85.730003,82.389069,2087200
2019-07-18,85.629997,86.769997,85.500000,85.720001,82.379463,1984600
2019-07-19,85.510002,86.550003,85.059998,85.919998,82.571663,7691300
2019-07-22,85.389999,85.849998,83.790001,84.220001,80.937920,3094400
2019-07-23,84.290001,86.349998,84.250000,86.150002,82.792702,1836800
2019-07-24,85.800003,87.220001,85.699997,86.360001,82.994522,2037400
2019-07-25,86.580002,86.580002,84.459999,85.510002,82.177643,2033300
2019-07-26,85.209999,85.970001,84.360001,85.339996,82.014267,1936000
2019-07-29,85.029999,85.540001,83.790001,83.870003,80.601555,1784600
2019-07-30,83.129997,84.470001,82.629997,84.389999,81.101280,1626600
2019-07-31,84.139999,85.260002,83.019997,83.690002,80.428574,3326700
2019-08-01,83.449997,84.550003,80.839996,81.489998,78.314301,2791800
2019-08-02,80.010002,80.129997,75.989998,76.139999,73.172798,4480500
2019-08-05,75.440002,77.339996,75.190002,76.309998,73.336166,3541400
2019-08-06,77.169998,77.750000,74.900002,75.800003,72.846046,3785300
2019-08-07,74.769997,76.120003,74.559998,75.940002,72.980591,2600700
2019-08-08,76.750000,78.010002,76.739998,77.129997,74.124214,2706200
2019-08-09,76.879997,76.930000,74.989998,75.419998,72.480850,2497300
2019-08-12,74.910004,75.370003,72.879997,72.930000,70.087891,2153600
2019-08-13,72.330002,76.820000,72.320000,75.610001,72.663445,3259900
2019-08-14,74.000000,74.400002,72.519997,72.709999,69.876465,2495000
2019-08-15,73.379997,73.500000,71.830002,72.599998,69.770752,1922900
2019-08-16,72.910004,74.410004,72.660004,74.250000,71.356445,1893100
2019-08-19,75.169998,75.570000,74.739998,74.879997,71.961899,1723800
2019-08-20,74.489998,74.519997,72.449997,72.699997,69.866852,2228400
2019-08-21,73.820000,74.339996,72.370003,73.129997,70.280090,1627200
2019-08-22,73.930000,74.190002,72.000000,72.139999,69.328674,2826100
2019-08-23,71.589996,71.680000,68.610001,69.029999,66.339867,3608500
2019-08-26,70.320000,70.320000,69.059998,69.550003,66.839615,2075900
2019-08-27,70.550003,70.550003,69.389999,69.750000,67.031822,2059000
2019-08-28,69.690002,72.309998,69.349998,72.019997,69.213348,2841100
2019-08-29,73.250000,75.379997,73.110001,75.330002,72.394356,4303100
2019-08-30,76.120003,77.989998,76.059998,77.379997,74.364471,5716200
2019-09-03,75.000000,75.250000,73.879997,74.820000,72.893356,3975700
2019-09-04,76.019997,76.339996,75.029999,75.820000,73.867607,1498800
2019-09-05,76.709999,78.389999,76.559998,77.599998,75.601768,2863900
2019-09-06,77.750000,78.720001,76.290001,78.050003,76.040184,2441500
2019-09-09,78.830002,81.519997,78.459999,81.459999,79.362373,3406300
2019-09-10,81.589996,85.099998,81.150002,85.080002,82.889160,4549000
2019-09-11,85.120003,86.000000,82.809998,85.709999,83.502930,2686300
2019-09-12,83.550003,84.739998,82.550003,83.779999,81.622635,2653700
2019-09-13,85.120003,86.779999,83.800003,86.269997,84.048508,3686700
2019-09-16,89.410004,90.529999,87.120003,89.669998,87.360962,4971100
2019-09-17,89.000000,89.599998,87.309998,89.000000,86.708214,4635200
2019-09-18,88.400002,88.419998,87.080002,88.370003,86.094444,2792600
2019-09-19,88.500000,89.480003,88.120003,88.589996,86.308769,2165200
2019-09-20,89.000000,89.269997,88.110001,88.290001,86.016502,6299700
2019-09-23,87.129997,88.580002,86.570000,88.220001,85.948303,2433900
2019-09-24,88.080002,88.239998,85.330002,86.290001,84.068001,2814700
2019-09-25,85.980003,87.400002,85.419998,86.849998,84.613579,2498100
2019-09-26,86.760002,87.769997,86.129997,87.500000,85.246841,1948900
2019-09-27,87.690002,89.250000,87.500000,88.699997,86.415939,2824100
2019-09-30,88.669998,89.980003,88.250000,89.470001,87.166115,2764700
2019-10-01,89.949997,90.379997,86.339996,86.379997,84.155685,2424000
2019-10-02,84.889999,85.290001,83.339996,84.410004,82.236420,2661400
2019-10-03,83.760002,85.290001,83.019997,85.250000,83.054779,1420400
2019-10-04,85.470001,86.150002,84.540001,85.180000,82.986580,1398200
2019-10-07,85.029999,85.690002,84.019997,84.160004,81.992851,1402800
2019-10-08,83.070000,83.169998,81.449997,81.629997,79.527992,2468000
2019-10-09,82.449997,82.750000,81.800003,82.250000,80.132027,1741600
2019-10-10,82.940002,84.440002,82.839996,83.919998,81.759026,1600400
2019-10-11,85.720001,88.930000,85.610001,88.070000,85.802162,2331400
2019-10-14,86.769997,88.330002,86.029999,87.370003,85.120193,1185300
2019-10-15,87.660004,88.459999,87.070000,87.199997,84.954567,1814800
2019-10-16,87.449997,88.440002,86.370003,86.449997,84.223877,2279200
2019-10-17,87.110001,88.000000,86.080002,86.410004,84.184914,1873200
2019-10-18,86.059998,87.010002,85.830002,86.110001,83.892639,2289900
2019-10-21,87.290001,88.300003,87.199997,87.989998,85.724220,1561400
2019-10-22,87.949997,88.239998,85.860001,87.970001,85.704735,2881500
2019-10-23,87.839996,88.930000,87.370003,88.209999,85.938553,1782400
2019-10-24,89.010002,90.070000,87.360001,88.360001,86.084694,1093900
2019-10-25,87.919998,90.970001,87.150002,90.830002,88.491096,2160800
2019-10-28,91.559998,92.029999,90.070000,91.339996,88.987961,1840700
2019-10-29,90.629997,92.190002,90.000000,91.639999,89.280235,1812200
2019-10-30,91.190002,91.949997,90.080002,91.680000,89.319206,1745000
2019-10-31,91.050003,91.680000,89.559998,89.699997,87.390190,2744500
2019-11-01,92.279999,94.570000,89.559998,93.599998,91.189766,2752800
2019-11-04,94.320000,97.040001,94.279999,96.720001,94.229424,3041900
2019-11-05,97.300003,98.910004,96.820000,97.370003,94.862694,2974600
2019-11-06,97.339996,97.510002,96.379997,97.059998,94.560661,1536400
2019-11-07,97.639999,98.000000,96.500000,97.489998,94.979591,2218800
2019-11-08,97.449997,97.589996,96.510002,97.389999,94.882172,1251000
2019-11-11,95.930000,97.550003,95.230003,97.190002,94.687325,996000
2019-11-12,97.180000,97.720001,96.120003,96.580002,94.093025,1315100
2019-11-13,95.430000,96.040001,94.800003,95.260002,92.807014,1257600
2019-11-14,94.879997,96.760002,94.709999,95.879997,93.411049,1292300
2019-11-15,96.680000,96.779999,95.570000,96.000000,93.527962,1019700
2019-11-18,95.480003,95.889999,94.070000,94.919998,92.475769,1466600
2019-11-19,95.050003,95.160004,92.750000,93.059998,90.663666,1830400
2019-11-20,92.790001,93.239998,91.500000,92.230003,89.855042,1382600
2019-11-21,92.360001,93.389999,91.459999,93.339996,90.936455,1694200
2019-11-22,93.540001,94.849998,93.239998,93.339996,90.936455,1270200
2019-11-25,94.040001,94.779999,93.110001,94.750000,92.310150,1634300
2019-11-26,94.800003,94.949997,93.589996,93.660004,91.248222,2223500
2019-11-27,93.639999,94.610001,92.879997,94.550003,92.115311,1360800
2019-11-29,93.199997,93.459999,92.400002,92.540001,91.169518,698600
2019-12-02,92.930000,94.180000,92.419998,92.650002,91.277893,1496700
2019-12-03,90.309998,92.099998,89.589996,91.760002,90.401070,2703400
2019-12-04,92.650002,93.739998,91.459999,91.480003,90.125221,1699300
2019-12-05,92.070000,92.190002,90.980003,91.779999,90.420776,1793700
2019-12-06,92.650002,93.540001,92.480003,92.900002,91.524185,2266400
2019-12-09,93.129997,93.220001,91.879997,92.019997,90.657219,1209500
2019-12-10,91.470001,91.849998,90.190002,90.580002,89.238548,2434100
2019-12-11,90.889999,91.639999,90.620003,91.180000,89.829659,1285400
2019-12-12,90.739998,94.150002,90.570000,93.970001,92.578339,2239400
2019-12-13,94.239998,94.809998,92.599998,92.620003,91.248337,1395800
2019-12-16,93.750000,94.529999,93.519997,93.650002,92.263084,2008800
2019-12-17,93.709999,94.989998,93.660004,94.870003,93.465012,2256300
2019-12-18,94.519997,95.300003,93.580002,95.169998,93.760567,2697500
2019-12-19,95.510002,95.730003,94.699997,95.330002,93.918205,1517900
2019-12-20,95.820000,95.820000,93.540001,93.940002,92.548790,3439200
2019-12-23,93.639999,94.660004,93.519997,94.510002,93.110344,1338200
2019-12-24,94.750000,95.000000,94.220001,94.589996,93.189156,492800
2019-12-26,94.129997,94.570000,93.959999,94.570000,93.169456,597200
2019-12-27,94.930000,95.139999,93.669998,93.839996,92.450264,1234700
2019-12-30,94.029999,94.459999,93.870003,94.089996,92.696564,899800
2019-12-31,93.540001,94.589996,93.540001,94.480003,93.080795,1204200
2020-01-02,95.279999,95.470001,93.449997,93.860001,92.469971,2321400
2020-01-03,92.879997,93.349998,91.540001,91.550003,90.194183,2713200
2020-01-06,91.339996,92.580002,91.089996,91.309998,89.957733,2710700
2020-01-07,90.650002,92.230003,90.089996,90.919998,89.573509,3039300
2020-01-08,90.480003,91.150002,89.290001,90.540001,89.199142,1829900
2020-01-09,90.660004,91.239998,89.809998,90.570000,89.228691,1724200
2020-01-10,90.570000,90.959999,89.199997,89.430000,88.105576,1755400
