Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,29.090000,30.959999,29.010000,30.760000,27.282524,8168200
2019-01-03,30.420000,30.780001,29.709999,29.760000,26.395575,7897400
2019-01-04,30.190001,30.190001,28.900000,29.379999,26.058537,9569200
2019-01-07,29.240000,30.370001,28.700001,29.910000,26.528618,9546200
2019-01-08,30.400000,30.920000,29.850000,30.830000,27.344610,8982000
2019-01-09,31.020000,31.990000,30.530001,31.719999,28.133995,7311700
2019-01-10,26.370001,26.830000,25.500000,26.110001,23.158216,40592400
2019-01-11,26.129999,26.780001,25.270000,25.420000,22.546219,20375800
2019-01-14,25.209999,25.750000,24.830000,25.080000,22.244659,15681300
2019-01-15,25.010000,25.110001,24.700001,24.980000,22.155962,9919500
2019-01-16,24.590000,24.690001,24.049999,24.480000,21.712490,15884100
2019-01-17,24.280001,24.879999,24.209999,24.750000,21.951967,8930800
2019-01-18,24.910000,25.990000,24.860001,25.790001,22.874393,14089400
2019-01-22,25.620001,25.690001,24.670000,24.900000,22.085009,13222900
2019-01-23,25.000000,25.190001,24.500000,24.700001,21.907619,7798600
2019-01-24,24.620001,24.620001,24.160000,24.510000,21.739098,10834400
2019-01-25,24.650000,25.549999,24.559999,25.510000,22.626047,8803700
2019-01-28,25.379999,25.980000,25.160000,25.719999,22.812305,8609600
2019-01-29,25.760000,25.830000,25.230000,25.719999,22.812305,5862800
2019-01-30,25.730000,25.799999,25.280001,25.719999,22.812305,4885700
2019-01-31,25.559999,26.340000,25.500000,26.299999,23.326735,9735800
2019-02-01,26.219999,26.480000,25.430000,25.730000,22.821177,6164300
2019-02-04,25.740000,26.090000,25.469999,25.870001,22.945349,5115900
2019-02-05,25.959999,26.219999,25.760000,25.959999,23.025173,8845700
2019-02-06,25.559999,25.889999,25.230000,25.370001,22.501875,6775500
2019-02-07,25.400000,25.920000,25.250000,25.660000,22.759090,7432700
2019-02-08,25.520000,25.549999,25.059999,25.139999,22.297874,4391800
2019-02-11,25.150000,25.360001,24.770000,25.010000,22.182573,7633200
2019-02-12,25.010000,25.209999,24.680000,24.790001,21.987444,12867900
2019-02-13,24.950001,25.260000,24.490000,25.240000,22.386570,11260700
2019-02-14,25.020000,25.469999,24.570000,25.139999,22.297874,7635000
2019-02-15,25.350000,25.350000,24.850000,24.879999,22.067270,7538100
2019-02-19,24.930000,25.450001,24.680000,25.330000,22.466396,9456800
2019-02-20,25.190001,25.379999,24.879999,25.020000,22.191442,6241500
2019-02-21,25.129999,25.320000,24.330000,24.450001,21.685883,7944700
2019-02-22,24.309999,24.370001,23.950001,24.059999,21.339973,13517400
2019-02-25,24.260000,24.889999,24.240000,24.360001,21.606056,13546500
2019-02-26,24.500000,25.600000,24.200001,24.719999,21.925356,28343000
2019-02-27,24.600000,25.580000,24.490000,25.320000,22.457525,14841400
2019-02-28,25.330000,25.330000,24.510000,24.790001,21.987444,13299400
2019-03-01,25.080000,25.180000,24.459999,24.490000,21.721361,11225200
2019-03-04,24.600000,24.870001,24.320000,24.360001,21.606056,8274700
2019-03-05,24.549999,24.719999,24.280001,24.370001,21.614927,11211400
2019-03-06,24.370001,24.629999,24.030001,24.040001,21.322233,7124900
2019-03-07,24.010000,24.040001,23.209999,23.299999,20.665894,10552700
2019-03-08,23.129999,23.200001,22.730000,23.090000,20.479635,8633500
2019-03-11,23.100000,23.690001,23.090000,23.570000,20.905365,8029100
2019-03-12,23.690001,23.920000,23.370001,23.820000,21.127102,8349800
2019-03-13,23.750000,24.450001,23.610001,24.020000,21.304495,9428700
2019-03-14,23.570000,23.900000,23.370001,23.629999,21.293230,6036100
2019-03-15,23.690001,23.750000,23.299999,23.709999,21.365318,10954400
2019-03-18,23.750000,23.930000,23.540001,23.889999,21.527521,6168800
2019-03-19,23.950001,24.260000,23.700001,23.950001,21.581587,9581400
2019-03-20,23.889999,24.080000,23.410000,23.629999,21.293230,7098600
2019-03-21,23.680000,24.080000,23.459999,24.030001,21.653677,5363800
2019-03-22,23.990000,24.010000,23.260000,23.309999,21.004875,6627200
2019-03-25,23.350000,24.180000,23.190001,23.860001,21.500486,8751400
2019-03-26,24.070000,24.490000,23.690001,23.930000,21.563566,7720900
2019-03-27,23.910000,24.480000,23.830000,24.330000,21.924007,6943700
