Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,18.049999,19.049999,17.980000,18.660000,17.385822,5207200
2019-01-03,18.370001,18.719999,18.059999,18.270000,17.022453,4385900
2019-01-04,18.670000,19.320000,18.639999,19.160000,17.851681,5135900
2019-01-07,19.160000,19.860001,18.799999,19.500000,18.168463,9021100
2019-01-08,19.770000,19.860001,19.340000,19.700001,18.354809,5278800
2019-01-09,19.750000,20.150000,19.610001,19.730000,18.382755,7750200
2019-01-10,19.650000,20.620001,19.639999,20.549999,19.146765,4730800
2019-01-11,20.469999,20.700001,20.200001,20.400000,19.007008,4151100
2019-01-14,20.330000,20.680000,20.080000,20.299999,18.913834,5880700
2019-01-15,20.400000,20.879999,20.299999,20.790001,19.370378,4354300
2019-01-16,20.799999,20.920000,20.490000,20.549999,19.146765,3987700
2019-01-17,20.510000,20.790001,20.350000,20.730000,19.314474,4117800
2019-01-18,20.850000,21.530001,20.760000,21.090000,19.649891,5098400
2019-01-22,21.010000,21.080000,20.299999,20.490000,19.090864,4893200
2019-01-23,20.540001,20.730000,20.059999,20.309999,18.923155,3190100
2019-01-24,20.280001,21.010000,20.110001,20.980000,19.547401,3965700
2019-01-25,21.200001,21.730000,21.049999,21.320000,19.864187,4020400
2019-01-28,21.120001,21.540001,20.980000,21.450001,19.985312,3424700
2019-01-29,21.420000,21.709999,21.080000,21.129999,19.687160,4218700
2019-01-30,20.930000,21.440001,20.580000,20.920000,19.491499,6546600
2019-01-31,20.860001,21.420000,20.680000,21.209999,19.761698,4053600
2019-02-01,21.230000,21.360001,21.000000,21.280001,19.826920,6687400
2019-02-04,21.200001,21.760000,21.150000,21.750000,20.264824,3383600
2019-02-05,21.719999,21.900000,21.270000,21.370001,19.910774,3434700
2019-02-06,21.379999,21.600000,21.230000,21.330000,19.873503,3682400
2019-02-07,21.190001,21.230000,20.490000,20.719999,19.305157,5152000
2019-02-08,20.600000,20.770000,20.250000,20.590000,19.184034,3297000
2019-02-11,20.709999,21.510000,20.540001,21.360001,19.901457,4455800
2019-02-12,21.500000,21.820000,21.309999,21.559999,20.087799,3857500
2019-02-13,21.680000,22.059999,21.590000,21.650000,20.171652,4214800
2019-02-14,21.520000,21.879999,21.219999,21.690001,20.208921,5874900
2019-02-15,18.940001,19.070000,17.100000,17.160000,15.988247,42437100
2019-02-19,17.340000,17.480000,16.580000,17.010000,15.848491,15623300
2019-02-20,17.100000,17.690001,16.900000,17.150000,15.978930,15955100
2019-02-21,17.160000,17.320000,16.900000,17.290001,16.109373,8537100
2019-02-22,17.230000,17.290001,17.020000,17.059999,15.895077,10761900
2019-02-25,17.150000,17.410000,17.100000,17.129999,15.960296,10294000
2019-02-26,17.200001,17.250000,17.000000,17.120001,15.950977,6960200
2019-02-27,16.920000,16.950001,16.450001,16.490000,15.573218,7444500
2019-02-28,16.510000,16.590000,16.070000,16.230000,15.327672,8583000
2019-03-01,16.280001,16.379999,16.059999,16.170000,15.271009,4964500
2019-03-04,16.000000,16.400000,15.860000,16.110001,15.214345,6376700
2019-03-05,16.070000,16.230000,16.000000,16.000000,15.110459,8583500
2019-03-06,16.020000,16.139999,15.630000,15.690000,14.817695,6423100
2019-03-07,15.570000,15.790000,15.460000,15.500000,14.638257,5782100
2019-03-08,15.400000,15.870000,15.220000,15.440000,14.581594,6982200
2019-03-11,15.650000,15.700000,15.340000,15.610000,14.742142,5996800
2019-03-12,15.620000,15.730000,15.230000,15.590000,14.723255,6864500
2019-03-13,15.660000,15.760000,15.450000,15.470000,14.609927,6587100
2019-03-14,15.570000,15.910000,15.330000,15.450000,14.591038,7289900
2019-03-15,15.610000,15.750000,15.150000,15.560000,14.694923,19336300
2019-03-18,15.560000,16.280001,15.560000,15.980000,15.091572,9242400
2019-03-19,16.049999,16.120001,15.800000,15.870000,14.987687,6939200
2019-03-20,15.860000,15.980000,15.460000,15.750000,14.874359,10779000
2019-03-21,15.760000,15.940000,15.690000,15.800000,14.921580,4421200
2019-03-22,15.750000,15.750000,14.990000,15.000000,14.166056,6927000
