Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,29.639999,30.309999,29.389999,29.920000,29.789545,1560700
2019-01-03,29.990000,30.129999,29.420000,29.549999,29.421158,1649800
2019-01-04,30.129999,31.250000,30.000000,31.170000,31.034094,1326500
2019-01-07,31.059999,31.639999,30.780001,31.290001,31.153572,1512000
2019-01-08,31.629999,31.770000,31.290001,31.770000,31.631477,1286600
2019-01-09,31.840000,32.150002,31.600000,31.809999,31.671303,1240100
2019-01-10,31.590000,32.430000,31.370001,32.419998,32.278641,1223600
2019-01-11,32.299999,32.470001,32.049999,32.299999,32.159164,1772500
2019-01-14,31.990000,32.410000,31.920000,32.090000,31.950085,1870200
2019-01-15,32.189999,32.310001,31.760000,31.910000,31.770868,1496200
2019-01-16,31.959999,32.119999,31.680000,31.920000,31.780823,1065700
2019-01-17,31.910000,32.660000,31.860001,32.540001,32.398125,1264400
2019-01-18,32.759998,33.540001,32.700001,33.500000,33.353931,1955300
2019-01-22,33.540001,33.669998,33.099998,33.410000,33.264324,1738100
2019-01-23,33.650002,33.689999,32.820000,33.230000,33.085110,995400
2019-01-24,33.160000,33.810001,33.099998,33.639999,33.493324,1511000
2019-01-25,33.930000,34.880001,33.900002,34.750000,34.598484,1970600
2019-01-28,34.200001,35.139999,34.099998,35.020000,34.867310,1828600
2019-01-29,35.139999,35.230000,34.799999,34.900002,34.747833,1723700
2019-01-30,35.070000,35.330002,34.419998,35.180000,35.026611,984900
2019-01-31,35.119999,35.360001,34.889999,35.340000,35.185913,1774700
2019-02-01,35.299999,35.380001,34.200001,34.490002,34.339619,3381100
2019-02-04,34.400002,34.849998,34.189999,34.770000,34.618397,1391000
2019-02-05,34.840000,35.000000,34.400002,34.619999,34.469048,1047500
2019-02-06,34.599998,34.950001,34.560001,34.759998,34.608440,799100
2019-02-07,34.570000,34.680000,34.060001,34.299999,34.150444,741800
2019-02-08,34.070000,34.320000,33.490002,34.310001,34.160404,1120000
2019-02-11,34.389999,34.669998,34.150002,34.610001,34.459095,757300
2019-02-12,34.889999,35.680000,34.840000,35.419998,35.265564,861600
2019-02-13,35.490002,35.770000,35.369999,35.599998,35.444778,801400
2019-02-14,35.380001,35.759998,35.169998,35.430000,35.275520,1568800
2019-02-15,35.630001,35.840000,35.509998,35.759998,35.604080,1252800
2019-02-19,35.490002,35.959999,35.369999,35.689999,35.534386,2142200
2019-02-20,35.740002,36.730000,35.720001,36.610001,36.450375,3342600
