Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.910000,4.280000,3.840000,4.270000,4.068563,1068800
2019-01-03,4.230000,4.250000,3.950000,4.040000,3.849414,1460700
2019-01-04,4.110000,4.370000,4.080000,4.320000,4.116206,854500
2019-01-07,4.290000,4.560000,4.220000,4.460000,4.249601,985200
2019-01-08,4.620000,4.720000,4.410000,4.610000,4.392525,1043300
2019-01-09,4.650000,5.020000,4.580000,5.010000,4.773655,804200
2019-01-10,4.960000,5.150000,4.890000,5.140000,4.897522,948000
2019-01-11,5.100000,5.330000,5.020000,5.190000,4.945164,678600
2019-01-14,5.130000,5.390000,5.040000,5.200000,4.954691,826600
2019-01-15,5.190000,5.250000,4.980000,5.060000,4.821296,701200
2019-01-16,5.090000,5.280000,4.940000,5.000000,4.764127,832400
2019-01-17,4.960000,5.140000,4.930000,5.010000,4.773655,923600
2019-01-18,5.030000,5.100000,4.910000,4.950000,4.716486,659500
2019-01-22,4.900000,5.110000,4.840000,4.940000,4.706957,890200
2019-01-23,4.970000,5.140000,4.850000,4.880000,4.649788,788600
2019-01-24,4.890000,4.970000,4.800000,4.910000,4.678372,359400
2019-01-25,4.970000,5.190000,4.960000,5.010000,4.773655,500700
2019-01-28,4.950000,5.250000,4.920000,5.160000,4.916578,486500
2019-01-29,5.160000,5.270000,5.030000,5.090000,4.849882,784600
2019-01-30,5.110000,5.210000,4.990000,5.140000,4.897522,445600
2019-01-31,5.120000,5.240000,5.050000,5.100000,4.859409,484700
2019-02-01,5.100000,5.250000,5.030000,5.140000,4.897522,439600
2019-02-04,5.110000,5.300000,5.090000,5.260000,5.011861,392200
2019-02-05,5.280000,5.480000,5.270000,5.400000,5.145257,726700
2019-02-06,5.400000,5.550000,5.350000,5.530000,5.269124,546600
2019-02-07,5.480000,5.700000,5.430000,5.530000,5.269124,773600
2019-02-08,5.470000,5.630000,5.410000,5.610000,5.345350,423900
2019-02-11,5.640000,5.790000,5.600000,5.760000,5.488274,396500
2019-02-12,5.840000,5.870000,5.730000,5.810000,5.535915,911200
2019-02-13,5.840000,5.970000,5.820000,5.910000,5.631197,568200
2019-02-14,5.850000,5.960000,5.680000,5.870000,5.621620,405200
2019-02-15,5.920000,6.150000,5.890000,6.090000,5.832313,925500
2019-02-19,6.030000,6.210000,5.990000,6.110000,5.851466,1006500
2019-02-20,6.110000,6.320000,6.110000,6.120000,5.861042,870800
2019-02-21,6.140000,6.180000,5.980000,6.050000,5.794004,618300
2019-02-22,6.070000,6.200000,6.070000,6.180000,5.918503,529400
2019-02-25,6.240000,6.290000,6.100000,6.140000,5.880196,445900
2019-02-26,6.090000,6.340000,6.090000,6.270000,6.004695,951300
2019-02-27,6.090000,6.180000,5.340000,5.520000,5.286431,1171500
2019-02-28,5.510000,5.510000,5.340000,5.380000,5.152355,639100
2019-03-01,5.380000,5.520000,5.240000,5.360000,5.133201,893500
2019-03-04,5.380000,5.380000,5.020000,5.030000,4.817164,840100
2019-03-05,5.020000,5.070000,4.890000,5.020000,4.807587,639500
2019-03-06,5.010000,5.010000,4.870000,4.880000,4.673512,846100
2019-03-07,4.860000,4.930000,4.750000,4.880000,4.673512,687900
2019-03-08,4.840000,4.980000,4.810000,4.940000,4.730972,660000
2019-03-11,4.980000,5.160000,4.950000,5.030000,4.817164,757100
2019-03-12,5.040000,5.110000,4.760000,4.930000,4.721395,597500
2019-03-13,4.950000,5.020000,4.910000,5.020000,4.807587,744400
2019-03-14,5.010000,5.040000,4.880000,4.930000,4.721395,730500
2019-03-15,4.930000,4.980000,4.880000,4.950000,4.740549,2218500
2019-03-18,4.980000,5.050000,4.930000,5.010000,4.798010,1182000
2019-03-19,5.060000,5.080000,4.890000,4.900000,4.692665,407900
2019-03-20,4.880000,4.910000,4.790000,4.810000,4.606472,529500
2019-03-21,4.810000,4.970000,4.780000,4.800000,4.596896,908300
2019-03-22,4.770000,4.810000,4.460000,4.510000,4.319167,663600
2019-03-25,4.520000,4.600000,4.380000,4.500000,4.309590,585000
2019-03-26,4.550000,4.640000,4.510000,4.520000,4.328744,675500
2019-03-27,4.520000,4.690000,4.510000,4.630000,4.434089,945700
2019-03-28,4.630000,4.810000,4.630000,4.710000,4.510704,598100
2019-03-29,4.760000,4.800000,4.640000,4.720000,4.520281,381200
2019-04-01,4.720000,4.860000,4.710000,4.850000,4.644781,790300
2019-04-02,4.830000,4.860000,4.710000,4.740000,4.539434,541400
2019-04-03,4.800000,4.830000,4.640000,4.680000,4.481973,385700
2019-04-04,4.670000,4.790000,4.660000,4.720000,4.520281,427800
2019-04-05,4.750000,4.760000,4.650000,4.700000,4.501127,862700
2019-04-08,4.640000,4.700000,4.570000,4.620000,4.424512,596200
2019-04-09,4.600000,4.600000,4.480000,4.480000,4.290436,535800
2019-04-10,4.510000,4.550000,4.460000,4.500000,4.309590,438200
2019-04-11,4.500000,4.550000,4.460000,4.490000,4.300013,260200
2019-04-12,4.510000,4.640000,4.430000,4.430000,4.242552,530000
2019-04-15,4.430000,4.480000,4.350000,4.400000,4.213822,332100
2019-04-16,4.440000,4.500000,4.410000,4.450000,4.261706,264400
2019-04-17,4.470000,4.530000,4.420000,4.450000,4.261706,402800
2019-04-18,4.430000,4.460000,4.320000,4.410000,4.223398,711500
2019-04-22,4.390000,4.560000,4.370000,4.450000,4.261706,820700
2019-04-23,4.450000,4.590000,4.370000,4.570000,4.376628,874100
2019-04-24,4.550000,4.700000,4.550000,4.650000,4.453243,478400
2019-04-25,4.590000,4.620000,4.470000,4.480000,4.290436,716500
2019-04-26,4.480000,4.630000,4.460000,4.610000,4.414936,385200
2019-04-29,4.610000,4.760000,4.570000,4.720000,4.520281,725300
2019-04-30,4.720000,4.730000,4.550000,4.620000,4.424512,573400
2019-05-01,4.840000,4.840000,4.140000,4.210000,4.031861,1346300
2019-05-02,4.130000,4.200000,3.690000,3.790000,3.629632,3338500
2019-05-03,3.790000,3.880000,3.680000,3.820000,3.658363,3098400
2019-05-06,3.720000,3.800000,3.650000,3.650000,3.495557,894400
2019-05-07,3.620000,3.690000,3.500000,3.540000,3.390211,1339100
2019-05-08,3.540000,3.570000,3.430000,3.450000,3.304019,883400
2019-05-09,3.430000,3.430000,3.240000,3.310000,3.169943,1048700
2019-05-10,3.310000,3.370000,3.200000,3.350000,3.208251,1430500
2019-05-13,3.320000,3.340000,3.080000,3.110000,2.978406,1285700
2019-05-14,3.110000,3.270000,3.080000,3.110000,3.007416,1221100
2019-05-15,3.070000,3.080000,2.880000,2.960000,2.862364,2277800
2019-05-16,2.940000,2.960000,2.870000,2.900000,2.804343,975700
2019-05-17,2.890000,2.900000,2.720000,2.750000,2.659291,1572400
2019-05-20,2.700000,2.850000,2.670000,2.750000,2.659291,1089500
2019-05-21,2.760000,2.840000,2.700000,2.810000,2.717312,1808900
2019-05-22,2.800000,3.000000,2.800000,2.960000,2.862364,1223500
2019-05-23,2.930000,2.990000,2.820000,2.970000,2.872034,1344200
2019-05-24,2.990000,3.050000,2.920000,2.930000,2.833353,1196400
2019-05-28,2.930000,2.950000,2.680000,2.690000,2.601270,1078700
2019-05-29,2.690000,2.690000,2.480000,2.520000,2.436877,1853300
2019-05-30,2.520000,2.520000,2.340000,2.350000,2.272485,1235400
2019-05-31,2.310000,2.310000,2.210000,2.220000,2.146773,1231900
2019-06-03,2.240000,2.310000,2.220000,2.300000,2.224134,940500
2019-06-04,2.330000,2.480000,2.330000,2.480000,2.398197,3412900
2019-06-05,2.500000,2.530000,2.230000,2.290000,2.214464,1154900
2019-06-06,2.280000,2.290000,2.200000,2.250000,2.175783,753900
2019-06-07,2.260000,2.320000,2.210000,2.280000,2.204794,791900
2019-06-10,2.290000,2.340000,2.250000,2.270000,2.195124,815300
2019-06-11,2.300000,2.360000,2.270000,2.290000,2.214464,1382300
2019-06-12,2.290000,2.330000,2.210000,2.220000,2.146773,800300
2019-06-13,2.230000,2.310000,2.150000,2.180000,2.108093,2430400
2019-06-14,2.180000,2.220000,2.100000,2.120000,2.050071,1037000
2019-06-17,2.120000,2.240000,2.100000,2.190000,2.117763,986500
2019-06-18,2.220000,2.270000,2.110000,2.110000,2.040401,1465200
2019-06-19,2.110000,2.210000,2.100000,2.130000,2.059741,1508600
2019-06-20,2.170000,2.230000,2.100000,2.190000,2.117763,1636000
2019-06-21,2.170000,2.370000,2.030000,2.360000,2.282155,5519600
2019-06-24,2.350000,2.400000,2.190000,2.200000,2.127433,2269400
2019-06-25,2.220000,2.230000,2.050000,2.050000,1.982380,1753600
2019-06-26,2.070000,2.080000,1.920000,1.960000,1.895349,2140000
2019-06-27,1.950000,2.030000,1.940000,2.020000,1.953370,1313200
2019-06-28,2.010000,2.090000,1.960000,1.970000,1.905019,1483400
2019-07-01,2.010000,2.080000,1.980000,2.060000,1.992051,1280700
2019-07-02,2.040000,2.060000,1.960000,2.010000,1.943700,1105500
2019-07-03,2.010000,2.070000,1.980000,2.050000,1.982380,705700
2019-07-05,2.020000,2.120000,2.000000,2.100000,2.030731,774300
2019-07-08,2.090000,2.130000,2.040000,2.100000,2.030731,738200
2019-07-09,2.100000,2.210000,2.070000,2.200000,2.127433,861800
2019-07-10,2.240000,2.260000,2.130000,2.140000,2.069412,1169500
2019-07-11,2.140000,2.170000,2.090000,2.090000,2.021061,744000
2019-07-12,2.090000,2.220000,2.090000,2.140000,2.069412,750200
2019-07-15,2.140000,2.160000,2.050000,2.070000,2.001721,542600
2019-07-16,2.070000,2.160000,2.060000,2.090000,2.021061,668200
2019-07-17,2.070000,2.090000,1.950000,2.030000,1.963040,1070000
2019-07-18,2.010000,2.100000,2.000000,2.020000,1.953370,922600
2019-07-19,2.020000,2.080000,2.000000,2.000000,1.934030,891700
2019-07-22,2.010000,2.030000,1.920000,1.930000,1.866339,652200
2019-07-23,1.940000,1.950000,1.890000,1.920000,1.856668,713600
2019-07-24,1.920000,1.940000,1.830000,1.880000,1.817988,727700
2019-07-25,1.880000,1.900000,1.760000,1.800000,1.740627,711900
2019-07-26,1.810000,1.840000,1.740000,1.750000,1.692276,1705600
2019-07-29,1.740000,1.790000,1.680000,1.690000,1.634255,1370400
2019-07-30,1.680000,1.820000,1.680000,1.810000,1.750297,1053100
2019-07-31,2.120000,2.240000,1.950000,2.020000,1.953370,2804700
2019-08-01,2.020000,2.230000,2.000000,2.120000,2.050071,1264700
2019-08-02,2.120000,2.130000,2.040000,2.080000,2.011391,637500
2019-08-05,2.050000,2.050000,1.960000,2.000000,1.934030,946300
2019-08-06,2.000000,2.060000,2.000000,2.050000,1.982380,711400
2019-08-07,2.010000,2.050000,1.880000,1.940000,1.876009,530700
2019-08-08,1.940000,2.010000,1.940000,2.000000,1.934030,346200
2019-08-09,2.010000,2.010000,1.890000,1.910000,1.846998,510400
2019-08-12,1.900000,1.930000,1.830000,1.920000,1.856668,300400
2019-08-13,1.900000,2.000000,1.900000,1.930000,1.866339,366900
2019-08-14,1.860000,1.870000,1.710000,1.740000,1.709173,700600
2019-08-15,1.760000,1.860000,1.680000,1.860000,1.827047,832800
2019-08-16,1.870000,1.960000,1.850000,1.950000,1.915453,1035400
2019-08-19,1.980000,2.010000,1.930000,1.940000,1.905630,800400
2019-08-20,1.930000,2.040000,1.870000,2.030000,1.994035,817000
2019-08-21,2.040000,2.120000,1.980000,2.100000,2.062795,1192000
2019-08-22,2.100000,2.250000,2.100000,2.230000,2.190492,1325600
2019-08-23,2.240000,2.330000,2.170000,2.170000,2.131555,1142300
2019-08-26,2.190000,2.220000,2.110000,2.120000,2.082441,1033500
2019-08-27,2.180000,2.320000,2.130000,2.240000,2.200315,1636000
2019-08-28,2.220000,2.290000,2.150000,2.230000,2.190492,925500
2019-08-29,2.320000,2.390000,2.300000,2.330000,2.288720,1022900
2019-08-30,2.460000,2.530000,2.400000,2.420000,2.377126,1199700
2019-09-03,2.500000,2.620000,2.390000,2.390000,2.347658,1500900
2019-09-04,2.410000,2.480000,2.370000,2.380000,2.337835,756200
2019-09-05,2.420000,2.560000,2.400000,2.490000,2.445886,860300
2019-09-06,2.510000,2.780000,2.510000,2.740000,2.691457,1481000
2019-09-09,2.760000,2.820000,2.650000,2.800000,2.750394,1436300
2019-09-10,2.810000,3.120000,2.800000,3.080000,3.025433,1984300
2019-09-11,3.110000,3.490000,3.070000,3.490000,3.428169,3527500
2019-09-12,3.680000,3.750000,3.290000,3.540000,3.477283,2400000
2019-09-13,3.540000,3.660000,3.460000,3.510000,3.447815,1479400
2019-09-16,3.470000,3.550000,3.370000,3.530000,3.467461,1888900
2019-09-17,3.480000,3.480000,3.200000,3.230000,3.172776,1053800
2019-09-18,3.230000,3.340000,3.090000,3.120000,3.064724,1437600
2019-09-19,3.120000,3.170000,3.030000,3.050000,2.995965,1303400
