Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.480000,1.590000,1.460000,1.570000,1.565650,3965509
2019-01-03,1.550000,1.620000,1.520000,1.570000,1.565650,2523386
2019-01-04,1.590000,1.715000,1.590000,1.690000,1.685317,4809527
2019-01-07,1.690000,1.845000,1.680200,1.830000,1.824929,4764963
2019-01-08,1.870000,1.910000,1.770000,1.840000,1.834901,6322346
2019-01-09,1.860000,1.890000,1.770000,1.780000,1.775068,4976953
2019-01-10,1.810000,1.860000,1.735000,1.820000,1.814957,3438887
2019-01-11,1.820000,1.830000,1.760000,1.790000,1.785040,3404371
2019-01-14,1.780000,1.900000,1.760000,1.870000,1.864818,3963166
2019-01-15,1.870000,1.930000,1.830000,1.880000,1.874791,2349437
2019-01-16,1.920000,1.920000,1.869500,1.900000,1.894735,1545672
2019-01-17,1.910000,2.010000,1.880000,1.980000,1.974514,5395862
2019-01-18,1.990000,2.030000,1.970000,2.010000,2.004430,3696220
2019-01-22,2.000000,2.000000,1.900000,1.960000,1.954569,3826557
2019-01-23,1.930000,1.980000,1.900000,1.930000,1.924652,2140002
2019-01-24,1.930000,2.020000,1.890500,1.950000,1.944597,5423510
2019-01-25,1.980000,2.020000,1.940000,1.980000,1.974514,2386793
2019-01-28,1.960000,2.000000,1.910000,1.970000,1.964541,2496426
2019-01-29,1.980000,2.000000,1.850000,1.910000,1.904707,3492206
2019-01-30,1.910000,1.990000,1.870000,1.890000,1.884763,4190934
2019-01-31,1.890000,2.425000,1.860000,2.340000,2.333516,36966051
2019-02-01,2.310000,2.550000,2.250000,2.500000,2.493073,16513401
2019-02-04,2.480000,2.820000,2.470600,2.640000,2.632685,20058403
2019-02-05,2.700000,2.760000,2.562000,2.640000,2.632685,11310685
2019-02-06,2.650000,2.669000,2.470000,2.540000,2.532962,8165450
2019-02-07,2.500000,2.540000,2.330000,2.370000,2.363433,9261334
2019-02-08,2.460000,2.520000,2.425000,2.500000,2.493073,7645496
