Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,52.189999,54.040001,52.000000,53.599998,51.642025,3335700
2019-01-03,52.700001,53.990002,50.939999,52.500000,50.582203,6208400
2019-01-04,53.110001,53.680000,52.549999,52.750000,50.823074,4910700
2019-01-07,52.939999,56.220001,52.939999,55.759998,53.723122,4251000
2019-01-08,56.360001,57.520000,55.150002,57.400002,55.303215,4039800
2019-01-09,57.180000,58.279999,56.130001,57.830002,55.717506,5282600
2019-01-10,56.389999,56.930000,55.119999,56.869999,54.792572,3645900
2019-01-11,56.419998,57.549999,56.000000,56.509998,54.445721,3413400
2019-01-14,56.110001,57.980000,55.840000,57.279999,55.187595,2627300
2019-01-15,57.250000,57.419998,56.090000,56.669998,54.599880,3795600
2019-01-16,56.619999,56.860001,55.970001,56.330002,54.272305,2652200
2019-01-17,56.380001,58.099998,56.029999,57.820000,55.707874,3293600
2019-01-18,58.250000,59.480000,58.230000,58.709999,56.565361,2807000
2019-01-22,58.279999,58.680000,57.209999,57.770000,55.659698,2520300
2019-01-23,57.980000,58.080002,56.389999,57.310001,55.216503,2346300
2019-01-24,57.459999,57.700001,56.720001,57.599998,55.495907,1757800
2019-01-25,58.139999,59.450001,58.139999,59.340000,57.172348,2821400
2019-01-28,58.740002,59.540001,58.070000,59.500000,57.326500,2746700
2019-01-29,59.439999,59.450001,58.330002,58.779999,56.632801,2094500
2019-01-30,58.869999,59.270000,58.360001,58.980000,56.825497,2477200
2019-01-31,58.980000,59.470001,58.820000,59.240002,57.075996,3653300
2019-02-01,59.240002,59.240002,57.779999,58.470001,56.334129,3784800
2019-02-04,58.599998,59.389999,58.230000,59.209999,57.047092,1859500
2019-02-05,59.299999,59.599998,58.900002,59.520000,57.345768,3132200
2019-02-06,59.599998,59.880001,58.810001,59.459999,57.287956,1900600
2019-02-07,59.169998,59.360001,58.070000,58.860001,56.709881,1845900
2019-02-08,58.209999,59.020000,58.150002,58.950001,56.796597,1701500
2019-02-11,59.009998,59.090000,58.220001,58.450001,56.314854,2227100
2019-02-12,58.750000,60.520000,58.750000,59.860001,57.673351,2970300
2019-02-13,60.110001,60.369999,59.230000,59.490002,57.316872,3001600
2019-02-14,59.049999,60.099998,58.660000,59.570000,57.393944,2908400
2019-02-15,60.060001,60.430000,59.630001,60.180000,57.981663,1951200
2019-02-19,60.250000,60.520000,59.509998,60.340000,58.135815,2869700
2019-02-20,60.500000,60.770000,60.139999,60.320000,58.116547,2878600
2019-02-21,60.450001,60.779999,59.439999,59.770000,57.586636,2442200
2019-02-22,59.849998,60.610001,59.349998,60.439999,58.232155,2307400
2019-02-25,61.150002,61.400002,60.389999,60.549999,58.338142,3805200
2019-02-26,60.500000,60.689999,59.590000,60.310001,58.106911,4177900
2019-02-27,68.269997,70.730003,67.989998,68.820000,66.306046,17901700
2019-02-28,69.489998,70.129997,68.139999,68.839996,66.325310,6834800
2019-03-01,69.639999,69.849998,67.620003,67.809998,65.332932,5413400
2019-03-04,68.000000,68.589996,66.639999,67.059998,64.610336,4253700
2019-03-05,67.550003,67.809998,66.430000,66.809998,64.369469,3314500
2019-03-06,67.290001,67.989998,66.610001,67.290001,64.831940,3855900
2019-03-07,66.830002,67.820000,66.599998,67.639999,65.169151,3694300
2019-03-08,66.879997,67.430000,66.360001,67.370003,64.909012,3123600
2019-03-11,67.599998,69.199997,67.599998,68.720001,66.209702,3978400
2019-03-12,68.989998,69.180000,67.959999,68.830002,66.315681,2622100
2019-03-13,69.000000,69.160004,68.349998,68.349998,65.853210,3510400
2019-03-14,68.239998,69.330002,68.000000,68.849998,66.334953,4257300
2019-03-15,68.879997,69.669998,68.309998,69.629997,67.086456,6814000
2019-03-18,69.660004,70.279999,69.379997,70.239998,67.674171,3534800
2019-03-19,70.260002,70.620003,69.720001,69.889999,67.819733,3504100
2019-03-20,69.650002,69.919998,68.169998,69.110001,67.062836,3377000
2019-03-21,69.070000,70.720001,68.820000,70.559998,68.469887,2693200
2019-03-22,72.129997,73.339996,70.099998,70.110001,68.033211,4006500
2019-03-25,69.820000,71.320000,69.769997,70.889999,68.790115,2242000
2019-03-26,71.440002,71.860001,70.260002,70.500000,68.411659,2804200
2019-03-27,70.379997,71.190002,70.019997,70.500000,68.411659,4090300
2019-03-28,70.849998,71.680000,70.389999,71.099998,68.993889,3805100
2019-03-29,71.279999,71.529999,70.809998,71.059998,68.955070,2788300
2019-04-01,71.360001,72.260002,71.089996,72.089996,69.954559,2787100
2019-04-02,72.029999,72.029999,71.120003,71.449997,69.333519,1997700
2019-04-03,71.839996,72.779999,71.750000,72.540001,70.391228,2347700
2019-04-04,72.480003,74.589996,72.290001,74.570000,72.361107,2465500
2019-04-05,74.949997,75.150002,74.330002,74.769997,72.555176,3171600
2019-04-08,74.620003,75.290001,74.379997,74.820000,72.603699,2236000
2019-04-09,74.500000,75.209999,74.389999,74.750000,72.535774,1772400
2019-04-10,74.779999,75.529999,74.209999,74.489998,72.283470,2360600
2019-04-11,74.529999,74.540001,73.599998,73.980003,71.788582,1771100
2019-04-12,74.120003,74.320000,73.440002,73.570000,71.390724,1711800
2019-04-15,72.940002,73.519997,72.699997,73.239998,71.070496,2295800
2019-04-16,73.389999,73.750000,72.989998,73.160004,70.992874,2111000
2019-04-17,73.629997,74.410004,73.169998,73.400002,71.225769,1702000
2019-04-18,73.370003,74.080002,72.980003,73.639999,71.458649,2377400
2019-04-22,73.209999,73.629997,72.570000,72.599998,70.449455,2439500
2019-04-23,72.910004,73.900002,72.209999,73.620003,71.439240,2075500
2019-04-24,75.489998,75.910004,74.470001,74.690002,72.477547,2126400
2019-04-25,74.480003,74.480003,73.080002,73.790001,71.604202,2083800
2019-04-26,72.410004,73.330002,71.400002,72.800003,70.643539,3032900
2019-04-29,72.879997,74.019997,72.800003,73.389999,71.216049,2231800
2019-04-30,73.139999,74.540001,73.139999,74.410004,72.205849,2552800
2019-05-01,74.410004,74.980003,73.760002,73.830002,71.643021,1752600
2019-05-02,74.000000,75.180000,73.849998,75.180000,72.953033,2288200
2019-05-03,75.279999,75.529999,74.580002,75.029999,72.807480,2031100
2019-05-06,73.750000,75.070000,72.889999,74.959999,72.739548,2804300
2019-05-07,74.279999,75.169998,72.750000,73.290001,71.119019,3156900
2019-05-08,73.129997,74.690002,72.459999,73.480003,71.303398,2746600
2019-05-09,72.809998,72.949997,70.750000,72.290001,70.148628,3433300
2019-05-10,72.070000,72.199997,68.540001,71.320000,69.207375,3965800
2019-05-13,70.300003,70.330002,66.000000,67.099998,65.112381,5408500
2019-05-14,67.250000,68.529999,66.529999,67.620003,65.616982,3780600
2019-05-15,67.150002,68.150002,67.019997,67.860001,65.849869,2370000
2019-05-16,68.440002,69.639999,68.059998,68.739998,66.703789,3272400
2019-05-17,68.010002,69.820000,68.000000,68.930000,66.888161,2439200
2019-05-20,68.480003,69.290001,68.300003,68.839996,66.800835,2794500
2019-05-21,68.930000,70.239998,68.500000,69.949997,67.877953,2616200
2019-05-22,69.739998,70.750000,69.169998,69.169998,67.121056,4517400
2019-05-23,69.059998,70.000000,64.410004,65.820000,63.870289,7999700
2019-05-24,65.430000,66.209999,63.340000,65.940002,63.986748,6090000
2019-05-28,65.680000,66.709999,65.370003,65.400002,63.462734,3484000
2019-05-29,64.660004,65.639999,63.400002,64.540001,62.628212,3671100
2019-05-30,65.239998,65.489998,64.410004,65.010002,63.084290,3604900
2019-05-31,63.810001,64.010002,62.369999,62.669998,60.813599,3542900
2019-06-03,62.389999,63.759998,62.220001,63.220001,61.347313,3851500
2019-06-04,64.010002,64.800003,63.830002,63.939999,62.045982,2819800
2019-06-05,64.160004,64.860001,62.919998,63.220001,61.347313,2481100
2019-06-06,63.040001,63.410000,61.580002,62.299999,60.454559,2605500
2019-06-07,62.630001,64.129997,62.540001,63.720001,61.832497,2655100
2019-06-10,64.580002,66.050003,63.939999,65.190002,63.258957,3210400
2019-06-11,65.489998,66.040001,64.820000,65.519997,63.579182,2212100
2019-06-12,65.070000,65.379997,64.360001,64.449997,63.021805,1555000
2019-06-13,64.809998,65.860001,64.809998,65.839996,64.381004,1619700
2019-06-14,65.980003,66.290001,64.949997,66.029999,64.566795,2148000
2019-06-17,65.800003,66.910004,65.629997,66.629997,65.153496,1968600
2019-06-18,66.940002,69.709999,66.720001,68.650002,67.128738,3482500
2019-06-19,68.690002,69.000000,67.309998,67.620003,66.121567,2750100
2019-06-20,68.260002,68.510002,67.330002,68.389999,66.874504,1741300
2019-06-21,68.360001,68.500000,67.209999,67.540001,66.043343,2868300
2019-06-24,67.510002,67.709999,66.820000,67.470001,65.974892,1472400
2019-06-25,67.529999,68.000000,66.260002,66.389999,64.918823,1963700
2019-06-26,67.139999,68.699997,66.730003,68.139999,66.630035,2453200
2019-06-27,68.400002,68.589996,68.010002,68.470001,66.952728,1679900
2019-06-28,68.160004,69.820000,68.160004,69.730003,68.184807,3051900
2019-07-01,71.239998,73.650002,70.910004,72.430000,70.824974,3998800
2019-07-02,72.430000,72.510002,70.980003,71.639999,70.052483,2116900
2019-07-03,71.900002,72.279999,71.779999,71.970001,70.375175,1338800
2019-07-05,71.730003,72.139999,71.269997,71.889999,70.296944,1422900
2019-07-08,72.129997,73.150002,71.510002,72.000000,70.404503,2527500
2019-07-09,71.669998,72.320000,71.500000,71.860001,70.267609,3624500
2019-07-10,72.050003,72.230003,71.309998,71.930000,70.336060,2687600
2019-07-11,71.970001,73.760002,71.709999,73.750000,72.115723,2415700
2019-07-12,73.949997,75.220001,73.949997,74.769997,73.113121,2262600
2019-07-15,74.750000,75.639999,74.430000,75.500000,73.826942,2030900
2019-07-16,75.290001,75.470001,74.199997,74.779999,73.122902,2301900
2019-07-17,74.720001,75.010002,74.050003,74.230003,72.585091,1671900
2019-07-18,73.940002,74.419998,73.419998,73.839996,72.203720,1665800
2019-07-19,74.050003,75.070000,73.980003,74.709999,73.054451,1787800
2019-07-22,74.989998,75.919998,74.730003,75.699997,74.022507,2947800
2019-07-23,75.839996,76.800003,75.510002,76.510002,74.814568,1954400
2019-07-24,76.480003,78.129997,76.410004,77.860001,76.134644,1772300
2019-07-25,76.800003,78.529999,76.800003,77.070000,75.362152,1873300
2019-07-26,77.669998,78.080002,76.209999,77.750000,76.027084,1662500
2019-07-29,77.730003,77.870003,77.050003,77.599998,75.880409,1199600
2019-07-30,77.339996,77.860001,76.730003,77.000000,75.293709,2016400
2019-07-31,76.830002,77.620003,75.559998,76.529999,74.834114,1848100
2019-08-01,76.709999,77.230003,67.870003,68.269997,66.757156,7551400
2019-08-02,68.260002,68.970001,67.019997,68.529999,67.011406,3954400
2019-08-05,66.800003,66.800003,64.860001,66.139999,64.674362,3758600
2019-08-06,66.550003,67.870003,65.879997,67.699997,66.199791,2590600
2019-08-07,67.019997,67.970001,65.760002,67.709999,66.209564,2670600
2019-08-08,68.489998,69.150002,68.059998,68.910004,67.382980,1819600
2019-08-09,68.849998,69.129997,67.080002,67.360001,65.867325,1628500
2019-08-12,66.730003,67.110001,66.400002,66.959999,65.476189,1116500
2019-08-13,66.739998,74.489998,65.849998,71.290001,69.710236,5658400
2019-08-14,68.500000,68.650002,66.389999,66.970001,65.485962,3271700
2019-08-15,67.660004,67.660004,62.959999,63.930000,62.513329,3727400
2019-08-16,64.580002,65.910004,64.519997,65.480003,64.028984,1897300
2019-08-19,66.559998,67.220001,65.919998,66.260002,64.791702,1431000
2019-08-20,66.000000,67.250000,65.720001,66.040001,64.576576,1299100
2019-08-21,67.709999,68.610001,67.459999,67.860001,66.356255,1793100
2019-08-22,68.000000,69.500000,67.529999,68.800003,67.275421,2433100
2019-08-23,68.010002,68.209999,65.239998,66.209999,64.742805,4726800
2019-08-26,67.190002,67.750000,65.930000,67.650002,66.150902,2685500
2019-08-27,68.650002,69.129997,67.639999,67.820000,66.317123,3432200
2019-08-28,67.620003,69.480003,67.540001,69.000000,67.470978,3405100
2019-08-29,65.279999,65.889999,62.040001,63.490002,62.083084,13762500
2019-08-30,62.889999,64.389999,62.880001,63.650002,62.239540,4712800
2019-09-03,63.029999,64.839996,62.480000,63.209999,61.809284,4072500
2019-09-04,63.700001,64.470001,63.509998,63.930000,62.513329,2731900
2019-09-05,65.050003,66.199997,64.639999,65.760002,64.302788,2745100
2019-09-06,66.050003,67.000000,66.040001,66.349998,64.879707,2626200
2019-09-09,67.019997,69.300003,67.010002,69.220001,67.686104,2620400
2019-09-10,68.839996,69.900002,68.260002,69.019997,67.490532,3092600
2019-09-11,68.750000,69.489998,67.449997,67.839996,66.336685,2451600
2019-09-12,67.879997,69.279999,66.809998,67.860001,66.356255,2720100
2019-09-13,68.349998,68.849998,67.180000,67.540001,66.043343,2579700
2019-09-16,67.279999,69.019997,66.919998,68.910004,67.382980,2335900
2019-09-17,68.680000,68.870003,67.570000,68.419998,66.903831,2514800
2019-09-18,67.860001,68.580002,66.470001,67.150002,66.145355,1710100
2019-09-19,67.599998,68.000000,67.430000,67.589996,66.578766,1377800
2019-09-20,68.000000,68.370003,66.510002,66.769997,65.771042,2265800
2019-09-23,66.599998,67.809998,66.349998,67.410004,66.401466,1550500
2019-09-24,67.669998,68.610001,66.800003,67.709999,66.696976,2175900
2019-09-25,68.180000,68.220001,66.669998,67.430000,66.421165,2206500
2019-09-26,67.459999,67.680000,66.250000,66.959999,65.958199,1806800
2019-09-27,67.220001,68.529999,67.220001,68.269997,67.248596,1789200
2019-09-30,68.480003,69.309998,68.349998,68.989998,67.957825,1849100
2019-10-01,69.199997,69.930000,67.800003,68.010002,66.992493,2319500
2019-10-02,67.190002,67.459999,64.379997,65.019997,64.047226,2439400
2019-10-03,64.699997,65.690002,63.520000,65.660004,64.677650,2098200
2019-10-04,65.820000,66.930000,65.820000,66.889999,65.889244,1630000
2019-10-07,66.650002,67.589996,66.570000,66.820000,65.820290,1718600
2019-10-08,66.029999,66.339996,64.889999,65.279999,64.303337,1659400
2019-10-09,65.889999,66.279999,65.489998,65.699997,64.717049,1693500
2019-10-10,65.839996,67.160004,65.839996,66.730003,65.731644,1830600
2019-10-11,67.839996,70.180000,67.839996,69.529999,68.489754,2683200
