Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,221.970001,223.009995,218.220001,220.080002,216.662094,1176800
2019-01-03,218.089996,218.750000,210.720001,211.199997,207.919983,1890000
2019-01-04,213.300003,218.589996,213.300003,216.990005,213.620087,1974800
2019-01-07,216.820007,222.740005,216.339996,218.639999,215.244446,1660500
2019-01-08,220.220001,223.009995,219.850006,222.699997,219.241394,1132000
2019-01-09,224.259995,229.009995,223.820007,227.449997,223.917603,1185900
2019-01-10,226.330002,229.690002,225.339996,229.449997,225.886551,841100
2019-01-11,228.380005,229.529999,226.580002,228.869995,225.315582,937400
2019-01-14,227.399994,229.179993,226.350006,226.380005,222.864243,946600
2019-01-15,227.009995,231.139999,227.009995,230.779999,227.195908,845700
2019-01-16,231.600006,232.970001,230.149994,231.270004,227.678314,776000
2019-01-17,235.089996,237.110001,232.000000,236.110001,232.443130,1651400
2019-01-18,237.309998,242.250000,236.300003,242.080002,238.320419,1351400
2019-01-22,240.720001,241.710007,237.550003,239.190002,235.475311,1060600
2019-01-23,239.050003,240.919998,236.029999,239.139999,235.426086,723400
2019-01-24,238.639999,241.020004,237.589996,240.720001,236.981537,818800
2019-01-25,242.000000,244.779999,240.919998,243.059998,239.285172,1232700
2019-01-28,241.119995,242.199997,239.699997,241.839996,238.084137,740700
2019-01-29,241.880005,244.779999,241.729996,242.449997,238.684662,994100
2019-01-30,242.949997,246.399994,241.820007,245.479996,241.667618,858700
2019-01-31,244.759995,249.869995,243.380005,249.460007,245.585815,1555100
2019-02-01,249.270004,250.110001,245.500000,247.419998,243.577484,1002200
2019-02-04,246.990005,248.000000,244.169998,247.160004,243.321518,982000
2019-02-05,248.000000,254.000000,241.389999,242.410004,238.645309,2125000
2019-02-06,242.240005,245.440002,241.880005,243.070007,239.295029,1250900
2019-02-07,241.250000,243.220001,239.949997,241.559998,237.808487,960900
2019-02-08,240.669998,242.259995,237.750000,242.210007,238.448410,981900
2019-02-11,242.970001,244.809998,241.750000,242.779999,239.009552,766400
2019-02-12,243.710007,246.520004,242.369995,246.259995,242.435516,1095500
2019-02-13,247.250000,247.729996,244.729996,245.050003,241.244308,874600
2019-02-14,244.300003,245.949997,243.000000,244.509995,240.712662,867100
2019-02-15,246.910004,248.389999,245.000000,248.339996,244.483200,1477600
2019-02-19,247.649994,248.600006,246.990005,248.039993,244.187851,730300
2019-02-20,247.679993,249.190002,246.919998,249.059998,245.192001,861300
2019-02-21,249.050003,249.050003,246.389999,247.690002,243.843277,697000
2019-02-22,248.179993,249.850006,247.869995,249.660004,245.782715,671600
2019-02-25,250.580002,252.000000,249.990005,250.279999,246.393066,1043700
2019-02-26,250.220001,250.589996,248.070007,249.110001,245.241241,786800
2019-02-27,247.949997,250.320007,247.789993,250.289993,246.402908,704600
2019-02-28,250.210007,251.830002,248.619995,248.789993,244.926208,1214900
2019-03-01,250.529999,254.470001,249.899994,254.369995,250.419540,978600
2019-03-04,255.440002,255.619995,249.860001,252.860001,248.932983,822400
2019-03-05,252.850006,252.869995,250.130005,252.229996,248.312790,574100
2019-03-06,252.509995,252.690002,247.429993,248.580002,244.719482,845300
2019-03-07,247.940002,248.279999,245.470001,246.669998,243.593689,719200
2019-03-08,245.619995,247.009995,243.580002,246.720001,243.643066,804900
2019-03-11,247.899994,249.970001,247.729996,249.940002,246.822906,639500
2019-03-12,250.800003,252.350006,250.059998,250.580002,247.454926,825300
2019-03-13,251.789993,254.940002,251.289993,253.630005,250.466904,801500
2019-03-14,253.740005,253.740005,251.320007,252.259995,249.113953,875200
2019-03-15,252.809998,257.160004,252.559998,253.919998,250.753265,2015200
2019-03-18,249.250000,249.250000,242.039993,244.669998,241.618622,1953400
2019-03-19,244.690002,247.649994,242.619995,247.570007,244.482483,1360400
2019-03-20,247.630005,247.630005,242.190002,243.149994,240.117584,1346400
2019-03-21,242.949997,245.679993,242.600006,245.419998,242.359283,1112400
2019-03-22,244.429993,244.740005,240.039993,240.119995,237.125351,1094200
2019-03-25,240.729996,241.520004,238.210007,241.250000,238.241287,1143900
2019-03-26,243.339996,248.029999,243.339996,247.000000,243.919571,1380900
2019-03-27,247.220001,247.899994,244.160004,245.600006,242.537018,1075900
2019-03-28,246.119995,247.389999,244.669998,247.000000,243.919571,990000
2019-03-29,248.259995,249.990005,247.190002,249.729996,246.615524,1483600
2019-04-01,250.880005,252.750000,250.190002,251.389999,248.254807,1122000
2019-04-02,251.410004,252.020004,250.410004,250.740005,247.612946,981900
2019-04-03,251.529999,251.550003,248.360001,249.389999,246.279755,1374100
2019-04-04,249.880005,251.880005,248.419998,251.589996,248.452316,1155700
2019-04-05,252.520004,253.649994,250.940002,251.279999,248.146179,1475000
2019-04-08,251.570007,251.830002,249.110001,250.990005,247.859818,1245100
2019-04-09,249.330002,250.470001,247.649994,249.770004,246.655029,1341100
2019-04-10,249.940002,253.830002,249.389999,252.229996,249.084335,835100
2019-04-11,253.210007,253.339996,251.240005,251.729996,248.590576,959400
2019-04-12,252.610001,253.600006,246.369995,246.710007,243.633209,1338400
2019-04-15,246.789993,247.690002,245.190002,246.199997,243.129547,1102300
2019-04-16,247.500000,249.070007,239.639999,240.020004,237.026627,1559300
2019-04-17,240.710007,240.710007,221.509995,225.869995,223.053085,4695200
2019-04-18,226.000000,230.880005,223.630005,227.889999,225.047897,2542700
2019-04-22,227.119995,229.529999,224.610001,225.039993,222.233429,1489600
2019-04-23,225.059998,231.240005,224.279999,228.039993,225.196030,2557300
2019-04-24,227.869995,233.279999,226.089996,232.500000,229.600403,1768800
2019-04-25,231.770004,238.360001,230.699997,237.429993,234.468918,1816900
2019-04-26,238.509995,239.000000,236.059998,238.119995,235.150314,806900
2019-04-29,237.309998,238.940002,235.699997,236.710007,233.757904,1103200
