Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,67.570000,70.000000,67.459999,69.739998,65.961189,1523400
2019-01-03,69.660004,70.400002,69.059998,69.279999,65.526115,1760900
2019-01-04,70.580002,71.830002,70.290001,71.500000,67.625824,2682200
2019-01-07,71.250000,72.870003,70.809998,72.129997,68.221687,1617800
2019-01-08,72.629997,72.879997,71.000000,72.320000,68.401390,1529000
2019-01-09,72.760002,73.680000,72.269997,73.220001,69.252632,1254700
2019-01-10,73.129997,73.459999,72.269997,73.080002,69.120216,1118200
2019-01-11,72.349998,73.639999,71.879997,73.309998,69.337753,1561700
2019-01-14,72.650002,74.449997,72.440002,73.949997,69.943077,3054100
2019-01-15,73.879997,74.209999,72.750000,74.040001,70.028198,2070400
2019-01-16,75.519997,78.500000,75.449997,78.129997,73.896584,3569500
2019-01-17,78.120003,79.800003,77.449997,79.699997,75.381508,2386200
2019-01-18,80.180000,81.230003,79.339996,81.190002,76.790779,2390000
2019-01-22,80.709999,81.169998,79.750000,80.169998,75.826050,2500100
2019-01-23,80.699997,81.610001,80.160004,81.129997,76.734024,2461200
2019-01-24,80.599998,81.959999,80.599998,81.690002,77.263695,2316800
2019-01-25,82.330002,82.480003,81.489998,82.070000,77.623100,2088900
2019-01-28,81.639999,82.610001,81.190002,82.309998,77.850090,1598700
2019-01-29,82.260002,82.809998,81.910004,82.010002,77.566353,1324700
2019-01-30,82.440002,82.550003,80.790001,80.919998,76.535408,2203100
2019-01-31,80.500000,80.739998,77.680000,78.739998,74.473526,4039200
2019-02-01,78.989998,79.599998,78.260002,78.959999,74.681610,2188400
2019-02-04,78.940002,79.669998,78.589996,79.529999,75.220726,1182000
2019-02-05,79.570000,79.949997,78.940002,79.580002,75.268021,1727100
2019-02-06,79.320000,79.989998,79.150002,79.599998,75.286934,1381200
2019-02-07,83.879997,85.070000,82.800003,83.449997,78.928322,5675000
2019-02-08,82.910004,83.220001,81.209999,82.339996,77.878464,2171900
2019-02-11,82.449997,83.199997,82.139999,83.059998,78.559456,1833300
2019-02-12,83.970001,84.779999,83.610001,84.260002,79.694435,1885200
2019-02-13,84.529999,85.080002,84.150002,84.470001,79.893059,2093600
2019-02-14,83.330002,84.139999,82.250000,83.660004,79.126953,1589800
2019-02-15,84.559998,86.449997,84.510002,86.370003,81.690109,1720200
2019-02-19,86.000000,87.769997,86.000000,87.440002,82.702126,1950700
2019-02-20,87.269997,88.470001,86.860001,88.309998,83.524986,1697100
2019-02-21,88.309998,88.809998,87.260002,87.739998,82.985878,1306000
2019-02-22,87.800003,88.239998,87.470001,88.099998,83.326370,1109900
2019-02-25,88.699997,88.959999,86.949997,87.120003,82.399475,1595000
2019-02-26,86.849998,87.550003,85.870003,86.370003,81.690109,1212700
2019-02-27,86.699997,87.839996,86.309998,87.820000,83.061539,1268800
2019-02-28,88.050003,88.169998,86.989998,87.110001,82.390007,1794100
2019-03-01,87.669998,88.349998,86.150002,86.860001,82.153557,1640800
2019-03-04,86.820000,87.800003,85.730003,86.519997,81.831978,1457200
2019-03-05,86.029999,86.750000,85.120003,86.379997,81.699570,1687700
2019-03-06,85.510002,86.180000,84.279999,84.540001,79.959274,1806700
2019-03-07,84.279999,84.389999,82.190002,82.800003,78.313545,2771800
2019-03-08,82.080002,83.519997,81.870003,83.470001,78.947243,2003400
2019-03-11,83.000000,83.379997,82.000000,82.489998,78.020340,3114100
2019-03-12,82.839996,83.139999,81.709999,82.230003,77.774437,2487700
2019-03-13,82.080002,82.800003,81.400002,82.440002,77.973053,2038200
2019-03-14,81.889999,82.830002,81.889999,82.160004,78.344940,1620500
2019-03-15,81.949997,82.809998,81.739998,82.269997,78.449829,3062600
2019-03-18,82.660004,83.430000,82.519997,82.900002,79.050583,1717100
2019-03-19,83.540001,83.720001,80.660004,80.800003,77.048088,2321100
2019-03-20,80.400002,80.550003,77.239998,77.250000,73.662933,3206600
2019-03-21,76.760002,76.879997,75.220001,75.360001,71.860703,2831900
2019-03-22,74.599998,74.599998,71.389999,72.070000,68.723465,2509700
2019-03-25,72.180000,73.029999,71.180000,71.790001,68.456467,2244300
2019-03-26,72.260002,73.019997,71.550003,72.839996,69.457710,2338000
2019-03-27,72.750000,73.300003,71.500000,72.260002,68.904640,1833300
2019-03-28,72.440002,73.169998,72.010002,73.099998,69.705627,1584900
2019-03-29,73.739998,74.180000,72.849998,73.320000,69.915421,1678800
2019-04-01,73.879997,76.250000,73.860001,76.080002,72.547264,2311200
2019-04-02,75.809998,77.559998,75.529999,76.930000,73.357788,2282400
2019-04-03,78.139999,78.970001,76.599998,76.889999,73.319649,1904400
2019-04-04,75.290001,78.050003,75.290001,77.459999,73.863182,2197000
2019-04-05,77.559998,78.110001,76.540001,77.629997,74.025291,2283000
2019-04-08,77.589996,78.599998,77.440002,78.230003,74.597427,1837600
2019-04-09,77.750000,77.980003,76.660004,77.139999,73.558037,1347300
2019-04-10,77.160004,77.589996,76.089996,77.470001,73.872719,1924200
2019-04-11,77.779999,78.949997,77.400002,78.080002,74.454399,2159200
2019-04-12,79.489998,80.620003,78.660004,80.330002,76.599915,2358200
2019-04-15,80.000000,80.320000,78.669998,78.949997,75.283989,2218500
2019-04-16,77.389999,79.940002,76.239998,79.389999,75.703560,3417700
2019-04-17,79.290001,79.669998,78.419998,79.260002,75.579605,1802800
2019-04-18,79.320000,79.480003,78.040001,78.250000,74.616493,2017600
2019-04-22,78.269997,78.910004,77.820000,78.309998,74.673706,1277500
2019-04-23,78.169998,79.040001,76.809998,79.010002,75.341209,1872400
2019-04-24,78.209999,78.209999,75.959999,77.239998,73.653389,2086700
2019-04-25,77.050003,77.900002,76.449997,77.279999,73.691544,1880100
2019-04-26,77.269997,78.150002,76.730003,77.750000,74.139717,1180100
2019-04-29,78.239998,79.739998,77.940002,78.790001,75.131424,1823000
2019-04-30,78.849998,78.980003,77.410004,78.589996,74.940704,1756200
2019-05-01,78.419998,79.129997,76.620003,76.989998,73.415001,1817700
2019-05-02,77.050003,78.639999,77.050003,78.190002,74.559288,1415300
2019-05-03,78.250000,78.900002,78.029999,78.139999,74.511604,1506400
2019-05-06,76.919998,78.309998,76.639999,77.910004,74.292282,1082400
2019-05-07,77.029999,77.230003,76.019997,76.489998,72.938225,1445300
2019-05-08,75.970001,76.599998,75.300003,75.870003,72.347015,1899200
2019-05-09,74.919998,76.389999,74.449997,76.220001,72.680763,1763500
2019-05-10,75.900002,77.129997,75.040001,76.720001,73.157539,1485300
2019-05-13,75.260002,75.650002,73.099998,73.419998,70.010773,2229200
2019-05-14,73.599998,75.239998,73.370003,74.610001,71.145515,2395300
2019-05-15,73.669998,73.669998,71.849998,72.930000,69.543533,1663000
2019-05-16,73.480003,74.750000,73.389999,74.089996,70.649658,1566800
2019-05-17,73.150002,74.290001,72.820000,73.510002,70.096596,1052500
2019-05-20,73.480003,73.959999,73.239998,73.690002,70.268250,1289600
2019-05-21,74.230003,74.540001,73.839996,74.500000,71.040634,1079000
2019-05-22,73.989998,74.139999,73.330002,73.459999,70.048912,1075900
2019-05-23,72.720001,72.720001,71.250000,71.650002,68.322968,1261400
2019-05-24,71.970001,72.739998,71.959999,72.419998,69.057213,1295300
2019-05-28,72.120003,72.470001,71.330002,71.389999,68.075035,1587200
2019-05-29,70.480003,71.800003,69.940002,71.599998,68.275291,1723100
2019-05-30,71.779999,72.150002,70.160004,70.860001,67.569649,1175300
2019-05-31,69.839996,70.160004,68.620003,68.820000,65.624374,2212200
2019-06-03,68.720001,70.279999,68.480003,69.870003,66.625626,1635000
2019-06-04,70.919998,72.220001,70.919998,72.050003,68.704399,1669900
2019-06-05,71.910004,72.059998,70.449997,71.220001,67.912933,1704500
2019-06-06,71.089996,71.419998,70.040001,71.220001,67.912933,1389600
2019-06-07,71.070000,71.070000,69.879997,70.139999,66.883087,1860000
2019-06-10,71.040001,71.849998,70.050003,70.160004,66.902153,1927800
2019-06-11,70.669998,72.120003,70.470001,71.110001,67.808044,2255300
2019-06-12,71.180000,71.220001,69.459999,69.980003,66.730507,1671900
2019-06-13,69.510002,70.050003,69.070000,69.400002,66.817162,1405700
2019-06-14,69.620003,70.440002,68.370003,70.209999,67.597015,1349700
2019-06-17,70.019997,70.589996,69.059998,69.199997,66.624611,1100600
2019-06-18,68.629997,70.940002,68.629997,70.510002,67.885857,1718400
2019-06-19,70.930000,72.040001,69.059998,69.239998,66.663116,2444700
2019-06-20,69.660004,70.059998,68.190002,70.019997,67.414085,2171000
2019-06-21,69.919998,70.800003,69.839996,70.050003,67.442978,3068500
2019-06-24,69.790001,70.699997,69.290001,69.489998,66.903809,1488400
2019-06-25,69.389999,70.330002,68.160004,69.900002,67.298553,1912600
2019-06-26,70.320000,71.339996,70.160004,70.459999,67.837708,1495600
2019-06-27,70.730003,71.750000,70.720001,71.370003,68.713852,1646400
2019-06-28,72.089996,72.870003,71.139999,72.639999,69.936584,2698300
2019-07-01,73.500000,74.110001,72.660004,73.010002,70.292809,1642000
2019-07-02,71.500000,72.220001,70.050003,70.589996,67.962875,2568700
2019-07-03,70.940002,71.800003,70.489998,71.730003,69.060455,970700
