Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,56.180000,57.080002,55.340000,56.750000,54.781319,1801800
2019-01-03,56.580002,57.119999,55.770000,56.840000,54.868198,1701400
2019-01-04,56.799999,58.430000,56.799999,58.419998,56.393387,2466800
2019-01-07,56.509998,57.900002,55.730000,57.340000,55.350853,2794400
2019-01-08,57.040001,57.720001,56.360001,57.660000,55.659756,2216500
2019-01-09,57.570000,59.150002,57.570000,58.400002,56.374084,1563500
2019-01-10,58.549999,59.430000,58.209999,59.340000,57.281475,1523300
2019-01-11,59.090000,59.400002,58.630001,59.320000,57.262169,1927800
2019-01-14,57.680000,59.009998,57.070000,58.150002,56.132755,3424900
2019-01-15,56.160000,56.580002,54.599998,55.049999,53.140297,5251300
2019-01-16,54.759998,55.740002,53.660000,54.180000,52.300476,4778300
2019-01-17,54.340000,54.570000,53.410000,53.509998,51.653717,3011000
2019-01-18,53.580002,55.040001,53.400002,54.880001,52.976192,3069100
2019-01-22,54.790001,55.419998,53.950001,54.209999,52.329433,3097900
2019-01-23,54.450001,55.009998,53.900002,54.930000,53.024460,1492900
2019-01-24,54.840000,56.330002,54.209999,55.139999,53.227173,4729400
2019-01-25,54.959999,56.799999,54.520000,55.430000,53.507111,2971300
2019-01-28,55.419998,55.700001,54.250000,54.509998,52.619026,2725400
2019-01-29,54.790001,55.759998,54.549999,55.180000,53.265785,4393800
2019-01-30,55.270000,56.230000,54.970001,55.830002,53.893242,1849200
2019-01-31,55.750000,57.049999,55.459999,56.970001,54.993694,3678300
2019-02-01,56.910000,57.270000,56.330002,56.590000,54.626873,2537700
2019-02-04,56.380001,56.400002,54.990002,56.139999,54.192482,3996400
2019-02-05,56.090000,56.840000,55.730000,56.139999,54.192482,2636300
2019-02-06,56.130001,56.430000,55.540001,55.610001,53.680870,2362000
2019-02-07,55.630001,57.709999,55.500000,57.689999,55.688713,2849800
2019-02-08,57.480000,58.150002,57.200001,58.080002,56.065182,1462000
2019-02-11,57.599998,58.549999,57.529999,58.419998,56.393387,2876800
2019-02-12,58.919998,61.189999,58.619999,60.070000,57.986149,2986800
2019-02-13,59.889999,60.529999,59.709999,60.410000,58.314354,2130000
2019-02-14,60.549999,60.610001,59.590000,60.520000,58.420544,1757800
2019-02-15,60.869999,60.980000,60.240002,60.500000,58.401237,2015100
2019-02-19,60.669998,61.700001,60.360001,61.650002,59.511341,2141600
2019-02-20,61.540001,62.939999,61.419998,62.680000,60.505604,2320300
2019-02-21,62.279999,62.459999,61.049999,61.259998,59.134869,5361000
2019-02-22,61.450001,61.630001,60.730000,61.410000,59.279667,3909800
2019-02-25,61.610001,61.610001,60.639999,60.669998,58.565334,2669000
2019-02-26,60.889999,61.759998,60.360001,61.340000,59.212090,3429600
2019-02-27,61.290001,61.700001,60.520000,60.610001,58.507416,2063600
2019-02-28,60.880001,60.880001,59.740002,59.889999,57.812397,4387200
2019-03-01,60.020000,61.340000,59.250000,61.310001,59.183140,2907100
2019-03-04,61.740002,62.090000,60.919998,62.090000,59.936077,2517700
2019-03-05,61.750000,62.590000,61.689999,62.500000,60.331852,2035100
2019-03-06,62.500000,62.500000,61.459999,61.730000,59.588566,2887900
