Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,85.650002,85.839996,83.519997,84.000000,80.452553,1322400
2019-01-03,83.839996,84.820000,83.400002,84.169998,80.615372,1143700
2019-01-04,83.610001,84.930000,83.610001,84.800003,81.218773,1056300
2019-01-07,84.480003,84.779999,83.800003,84.400002,80.835663,2049300
2019-01-08,84.230003,85.949997,83.980003,85.900002,82.272316,1637700
2019-01-09,85.379997,85.940002,84.709999,85.449997,81.841316,1293300
2019-01-10,85.680000,86.940002,85.169998,86.629997,82.971481,1488400
2019-01-11,86.650002,86.940002,85.389999,85.820000,82.195694,1921500
2019-01-14,85.250000,85.250000,83.239998,84.709999,81.132568,2353000
2019-01-15,84.639999,87.309998,84.470001,86.639999,82.981056,1847500
2019-01-16,86.070000,86.559998,85.300003,86.400002,82.751205,1762500
2019-01-17,86.410004,86.540001,85.540001,86.029999,82.396812,1688700
2019-01-18,85.949997,86.339996,85.410004,86.290001,82.645844,1336700
2019-01-22,86.510002,87.089996,85.690002,86.660004,83.000221,776600
2019-01-23,86.580002,87.879997,86.580002,87.870003,84.159119,1008700
2019-01-24,87.989998,88.760002,87.209999,88.629997,84.887016,1030800
2019-01-25,88.300003,88.830002,86.989998,87.099998,83.421631,1032100
2019-01-28,87.050003,87.440002,85.970001,86.510002,82.856552,912100
2019-01-29,86.849998,87.300003,86.199997,86.599998,82.942741,911500
2019-01-30,86.209999,87.559998,86.209999,87.110001,83.431206,929900
2019-01-31,87.309998,89.489998,86.779999,89.190002,85.423370,2000900
2019-02-01,89.029999,89.269997,87.970001,88.830002,85.078575,903300
2019-02-04,88.279999,89.209999,87.589996,89.190002,85.423370,1123100
2019-02-05,89.070000,89.440002,88.430000,89.190002,85.423370,1258100
2019-02-06,88.949997,89.639999,88.650002,89.550003,85.768173,1021900
2019-02-07,89.430000,90.379997,88.970001,90.269997,86.457764,962500
2019-02-08,89.970001,90.820000,89.779999,90.820000,86.984528,1089400
2019-02-11,90.620003,91.010002,90.239998,90.599998,86.773819,748900
2019-02-12,90.769997,91.169998,89.959999,90.860001,87.022858,1542600
2019-02-13,89.699997,90.070000,88.949997,89.360001,86.452042,889100
2019-02-14,89.639999,90.029999,88.989998,89.690002,86.771309,1711400
2019-02-15,90.150002,90.300003,89.290001,89.860001,86.935776,1391400
2019-02-19,89.980003,90.129997,89.309998,90.050003,87.119598,1184800
2019-02-20,89.099998,92.150002,88.839996,91.239998,88.270859,2511800
2019-02-21,90.459999,91.489998,89.980003,91.190002,88.222496,3077000
2019-02-22,91.260002,92.820000,91.059998,92.769997,89.751083,1862400
2019-02-25,92.669998,92.690002,91.820000,92.449997,89.441490,1647200
2019-02-26,92.839996,93.150002,92.139999,92.699997,89.683350,1720500
2019-02-27,92.379997,93.099998,92.209999,92.459999,89.451172,1569100
2019-02-28,92.540001,93.610001,91.949997,93.330002,90.292854,1690900
2019-03-01,93.330002,93.510002,92.739998,93.250000,90.215454,1522100
2019-03-04,93.570000,93.849998,92.000000,92.639999,89.625313,1318600
2019-03-05,92.529999,92.639999,91.889999,92.169998,89.170609,1558200
2019-03-06,92.430000,92.629997,91.900002,92.089996,89.093201,1054500
2019-03-07,92.400002,93.040001,92.019997,92.129997,89.131905,2142600
2019-03-08,92.379997,92.540001,91.599998,92.489998,89.480186,1600000
2019-03-11,93.010002,93.959999,92.449997,93.959999,90.902351,2516400
2019-03-12,94.199997,94.980003,93.959999,94.889999,91.802086,1986400
2019-03-13,94.989998,95.570000,94.650002,95.010002,91.918190,1749200
2019-03-14,95.000000,95.629997,94.570000,94.940002,91.850464,2462800
2019-03-15,94.610001,95.290001,94.250000,94.660004,91.579575,4557400
2019-03-18,94.650002,94.989998,94.139999,94.489998,91.415100,1236100
2019-03-19,94.279999,94.400002,92.820000,93.180000,90.147736,1228300
2019-03-20,93.459999,94.339996,93.139999,93.570000,90.525047,1400600
2019-03-21,93.570000,95.059998,93.410004,94.949997,91.860130,1464600
2019-03-22,95.000000,96.769997,94.879997,96.120003,92.992065,1778700
2019-03-25,96.230003,96.349998,95.620003,95.820000,92.701828,1219900
2019-03-26,96.010002,96.870003,95.970001,96.510002,93.369370,1132300
2019-03-27,96.699997,96.699997,95.599998,95.959999,92.837265,1246800
2019-03-28,96.139999,96.500000,94.730003,95.059998,91.966553,1663500
2019-03-29,95.089996,95.720001,94.690002,95.629997,92.517998,1091300
2019-04-01,95.589996,95.589996,94.059998,94.360001,91.289337,1474400
2019-04-02,94.709999,94.709999,93.620003,94.129997,91.066818,1434700
2019-04-03,94.089996,94.519997,93.500000,94.050003,90.989426,1283400
2019-04-04,94.239998,94.400002,93.199997,93.610001,90.563744,980600
2019-04-05,93.650002,94.639999,93.199997,94.470001,91.395760,1571500
2019-04-08,94.660004,94.830002,94.019997,94.339996,91.269989,1171700
2019-04-09,94.489998,94.739998,94.269997,94.709999,91.627945,1026300
2019-04-10,94.970001,95.849998,94.279999,94.589996,91.511848,1107100
