Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,100.879997,102.400002,100.500000,101.430000,100.015091,1704300
2019-01-03,99.839996,100.800003,98.099998,98.309998,96.938622,1612700
2019-01-04,99.730003,102.080002,99.459999,101.779999,100.360222,2534200
2019-01-07,102.059998,103.519997,101.489998,102.419998,100.991295,2246100
2019-01-08,103.440002,104.019997,102.809998,103.190002,101.750549,2029300
2019-01-09,103.620003,104.139999,102.209999,102.699997,101.267387,1942500
2019-01-10,102.589996,103.910004,102.320000,103.830002,102.381622,2121100
2019-01-11,103.199997,103.779999,102.690002,103.529999,102.085815,1306000
2019-01-14,102.760002,104.000000,102.519997,103.660004,102.213997,1342900
2019-01-15,103.900002,105.139999,103.570000,104.709999,103.249352,1160200
2019-01-16,104.879997,105.000000,101.739998,103.669998,102.223854,2492400
2019-01-17,102.930000,104.750000,102.930000,104.209999,102.756325,1618600
2019-01-18,105.000000,106.589996,104.419998,105.839996,104.363579,1778600
2019-01-22,105.470001,105.820000,104.309998,105.339996,103.870552,1458700
2019-01-23,105.870003,106.419998,104.900002,105.889999,104.412895,1219400
2019-01-24,105.750000,105.790001,105.029999,105.160004,103.693085,1348600
2019-01-25,106.000000,106.019997,104.919998,105.430000,103.959297,1470700
2019-01-28,104.169998,104.629997,103.680000,104.290001,102.835213,926100
2019-01-29,104.349998,104.449997,103.410004,103.589996,102.144966,1009400
2019-01-30,103.970001,105.820000,103.750000,105.519997,104.048042,1381400
2019-01-31,105.260002,105.900002,104.300003,104.529999,103.071861,1632200
2019-02-01,104.540001,107.250000,104.540001,107.199997,105.704620,1820900
2019-02-04,107.400002,108.970001,106.919998,108.970001,107.449928,1285500
2019-02-05,109.000000,109.940002,108.870003,109.900002,108.366959,1185100
2019-02-06,109.730003,109.790001,109.050003,109.699997,108.169731,1033000
2019-02-07,108.800003,109.000000,107.510002,108.669998,107.154106,2819300
2019-02-08,107.910004,109.220001,107.860001,109.000000,107.479500,2602100
2019-02-11,109.610001,110.050003,108.980003,109.099998,107.578110,1574200
2019-02-12,106.800003,108.430000,104.970001,106.550003,105.063690,3944500
2019-02-13,107.440002,109.099998,106.330002,106.790001,105.300331,3539800
2019-02-14,106.720001,106.930000,105.720001,106.300003,104.817169,3246800
2019-02-15,107.260002,109.250000,106.680000,108.930000,107.410492,3211800
2019-02-19,108.900002,109.169998,107.949997,108.709999,107.193558,2224100
2019-02-20,108.589996,108.680000,106.949997,107.059998,105.566566,3753900
2019-02-21,107.139999,107.720001,106.529999,107.120003,105.625725,2370900
2019-02-22,107.470001,107.610001,106.779999,107.089996,105.596153,1762000
2019-02-25,107.720001,107.720001,106.620003,106.790001,105.300331,1424000
2019-02-26,106.930000,107.269997,106.419998,106.809998,105.320045,2759700
2019-02-27,106.500000,107.360001,106.269997,107.209999,105.714470,2177800
2019-02-28,107.199997,108.449997,106.889999,108.150002,106.641373,3075800
2019-03-01,109.000000,109.480003,107.830002,108.389999,106.878014,1756000
2019-03-04,108.949997,109.430000,106.800003,107.320000,105.822937,1751700
2019-03-05,107.279999,107.690002,106.809998,106.889999,105.398941,1520000
2019-03-06,107.190002,107.190002,106.419998,106.599998,105.112991,1245500
2019-03-07,106.669998,106.669998,105.430000,105.650002,104.176231,1875000
2019-03-08,104.989998,105.739998,104.730003,105.709999,104.235405,1768200
2019-03-11,106.220001,107.110001,105.870003,107.040001,105.546844,2322100
2019-03-12,107.389999,107.760002,106.860001,107.370003,105.872246,1415300
2019-03-13,107.029999,108.400002,106.919998,107.599998,106.099030,2070900
2019-03-14,107.500000,108.250000,106.910004,107.779999,106.623352,1893100
2019-03-15,107.599998,109.169998,107.550003,108.879997,107.711540,3613300
2019-03-18,111.790001,112.169998,106.500000,108.120003,106.959702,16711100
2019-03-19,107.489998,107.489998,105.760002,106.599998,105.456017,6677400
2019-03-20,106.529999,107.599998,104.870003,106.750000,105.604401,10713400
2019-03-21,106.250000,110.309998,106.040001,110.160004,108.977814,5331000
2019-03-22,110.160004,111.330002,109.480003,110.410004,109.225128,6868700
2019-03-25,110.410004,110.470001,108.330002,108.419998,107.256477,3464500
2019-03-26,108.900002,109.989998,108.639999,109.910004,108.730499,2948100
2019-03-27,110.000000,110.470001,108.790001,109.970001,108.789841,3894600
2019-03-28,110.500000,111.230003,109.690002,111.180000,109.986862,3116900
2019-03-29,111.610001,113.300003,111.209999,113.099998,111.886246,5454600
2019-04-01,113.480003,114.010002,112.720001,113.779999,112.558952,2937300
2019-04-02,114.000000,114.220001,113.239998,114.120003,112.895317,2543400
2019-04-03,114.550003,115.559998,113.889999,114.930000,113.696625,3899100
2019-04-04,115.010002,115.080002,113.500000,114.029999,112.806274,2506800
2019-04-05,114.239998,114.570000,113.250000,113.389999,112.173141,2537400
2019-04-08,113.370003,113.820000,112.160004,113.650002,112.430359,5314700
2019-04-09,113.169998,114.040001,112.750000,113.760002,112.539169,2863000
2019-04-10,114.410004,114.410004,111.980003,112.379997,111.173973,3674800
2019-04-11,112.620003,113.300003,111.739998,112.900002,111.688408,3352000
2019-04-12,113.669998,113.699997,112.839996,113.160004,111.945618,2983500
2019-04-15,113.029999,113.190002,112.239998,113.139999,111.925819,1934800
2019-04-16,113.510002,113.730003,111.220001,111.580002,110.382568,4615400
2019-04-17,111.720001,111.800003,110.849998,111.099998,109.907715,1879100
2019-04-18,111.070000,111.510002,110.269997,110.889999,109.699974,2079100
2019-04-22,110.879997,112.209999,110.500000,112.209999,111.005806,2954000
2019-04-23,112.489998,113.199997,111.820000,112.800003,111.589478,2779800
2019-04-24,112.760002,113.110001,112.029999,112.040001,110.837631,2351000
2019-04-25,111.980003,112.279999,110.940002,111.550003,110.352898,3692100
2019-04-26,111.870003,111.870003,110.500000,110.900002,109.709862,3044600
2019-04-29,110.690002,111.839996,109.959999,111.540001,110.342995,7539300
2019-04-30,116.180000,117.980003,115.110001,115.930000,114.685890,8346600
2019-05-01,115.769997,117.449997,115.099998,115.220001,113.983513,6462400
2019-05-02,116.309998,117.820000,115.830002,117.800003,116.535812,5374900
2019-05-03,117.959999,117.989998,116.650002,117.760002,116.496246,2907300
2019-05-06,116.080002,117.779999,115.849998,117.320000,116.060966,2627300
2019-05-07,116.839996,117.089996,114.879997,115.889999,114.646317,3309200
2019-05-08,115.760002,116.879997,115.470001,116.139999,114.893631,3286900
2019-05-09,115.160004,116.070000,114.000000,115.870003,114.626526,3041300
2019-05-10,115.459999,116.739998,114.010002,116.720001,115.467415,2040000
2019-05-13,114.940002,115.879997,114.349998,115.449997,114.211029,3211000
2019-05-14,116.000000,117.730003,115.900002,116.919998,115.665260,2855300
2019-05-15,116.139999,117.610001,115.949997,117.250000,115.991722,2216400
2019-05-16,117.830002,119.779999,117.589996,119.099998,117.821869,3405300
2019-05-17,117.830002,119.629997,117.830002,118.730003,117.455833,2664900
2019-05-20,118.000000,119.029999,117.870003,118.320000,117.050240,1914600
2019-05-21,119.879997,121.139999,119.510002,120.410004,119.117813,4226200
2019-05-22,120.150002,121.750000,119.809998,121.000000,119.701477,3108100
2019-05-23,120.129997,120.500000,118.680000,120.410004,119.117813,2815800
2019-05-24,121.160004,121.860001,118.470001,118.739998,117.465736,2998100
2019-05-28,119.370003,120.699997,118.570000,119.349998,118.069183,4177800
2019-05-29,119.089996,119.180000,118.059998,119.070000,117.792191,2340800
2019-05-30,119.209999,119.849998,118.320000,119.550003,118.267052,2602800
2019-05-31,119.059998,120.660004,118.760002,120.300003,119.008995,3747300
2019-06-03,120.809998,121.559998,115.820000,116.570000,115.319016,4191000
2019-06-04,117.449997,120.320000,116.809998,120.239998,118.949631,2765700
2019-06-05,121.190002,121.980003,120.580002,121.790001,120.483002,2277800
2019-06-06,121.839996,122.129997,120.419998,121.570000,120.265366,2142100
2019-06-07,122.000000,123.050003,122.000000,122.540001,121.224953,3003900
2019-06-10,123.120003,123.269997,121.550003,122.290001,120.977631,2220700
2019-06-11,123.279999,123.279999,121.070000,121.690002,120.384079,2770300
2019-06-12,121.730003,121.730003,120.620003,120.949997,119.652008,1864800
2019-06-13,121.150002,121.290001,120.180000,120.839996,119.890121,2085600
2019-06-14,120.690002,121.650002,120.449997,121.400002,120.445724,2368200
2019-06-17,121.669998,122.139999,120.760002,121.529999,120.574699,1698900
2019-06-18,122.480003,123.019997,121.839996,122.620003,121.656136,2847800
2019-06-19,123.000000,123.870003,121.910004,123.290001,122.320862,2533100
2019-06-20,124.000000,125.260002,123.629997,123.879997,122.906235,2532100
2019-06-21,123.860001,123.889999,122.279999,122.699997,121.735504,3239800
2019-06-24,122.599998,122.650002,121.150002,121.220001,120.267143,2249400
2019-06-25,121.300003,122.379997,120.959999,121.260002,120.306831,2352000
2019-06-26,121.379997,121.779999,120.260002,121.269997,120.316742,2736500
2019-06-27,121.730003,121.910004,120.550003,121.339996,120.386192,2552100
2019-06-28,121.489998,123.099998,121.410004,122.680000,121.715668,8997000
2019-07-01,123.650002,127.000000,122.750000,124.570000,123.590797,3249000
2019-07-02,124.629997,125.589996,124.040001,124.910004,123.928139,2302400
2019-07-03,125.389999,126.669998,125.169998,126.620003,125.624695,1706600
2019-07-05,126.010002,126.879997,124.339996,126.800003,125.803276,2886100
