Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2.340000,2.580000,2.260000,2.450000,2.450000,2546900
2019-01-03,2.450000,2.530000,2.330000,2.340000,2.340000,3357300
2019-01-04,2.400000,2.530000,2.390000,2.510000,2.510000,2720500
2019-01-07,2.550000,2.810000,2.470000,2.720000,2.720000,2913500
2019-01-08,2.500000,2.870000,2.500000,2.820000,2.820000,4365400
2019-01-09,2.820000,2.890000,2.520000,2.610000,2.610000,4886700
2019-01-10,2.570000,2.630000,2.450000,2.520000,2.520000,2165700
2019-01-11,2.500000,2.650000,2.480000,2.610000,2.610000,2123300
2019-01-14,2.550000,2.710000,2.550000,2.580000,2.580000,1819700
2019-01-15,2.570000,2.680000,2.510000,2.590000,2.590000,1645400
2019-01-16,2.590000,2.650000,2.540000,2.640000,2.640000,1831700
2019-01-17,2.620000,2.640000,2.540000,2.640000,2.640000,2556800
2019-01-18,2.640000,2.710000,2.570000,2.620000,2.620000,1681700
2019-01-22,2.610000,2.650000,2.350000,2.390000,2.390000,3608300
2019-01-23,2.430000,2.440000,2.180000,2.210000,2.210000,3181000
2019-01-24,2.220000,2.230000,1.980000,2.100000,2.100000,6382000
2019-01-25,2.120000,2.190000,1.970000,1.980000,1.980000,7174800
2019-01-28,2.000000,2.060000,1.920000,1.920000,1.920000,4463700
2019-01-29,1.930000,1.990000,1.840000,1.850000,1.850000,4131200
2019-01-30,1.850000,1.970000,1.810000,1.950000,1.950000,3355800
2019-01-31,1.990000,2.050000,1.940000,2.000000,2.000000,2684300
2019-02-01,1.990000,2.080000,1.990000,2.050000,2.050000,2319500
2019-02-04,2.050000,2.160000,2.050000,2.130000,2.130000,2072900
2019-02-05,2.170000,2.200000,1.950000,2.100000,2.100000,6815400
2019-02-06,2.080000,2.230000,1.970000,1.990000,1.990000,10522400
2019-02-07,2.020000,2.030000,1.900000,1.920000,1.920000,5404600
2019-02-08,1.930000,1.990000,1.900000,1.960000,1.960000,4473900
2019-02-11,1.980000,2.100000,1.950000,2.090000,2.090000,3570900
2019-02-12,2.100000,2.260000,2.100000,2.250000,2.250000,4367200
2019-02-13,2.290000,2.430000,2.270000,2.330000,2.330000,4658300
2019-02-14,2.310000,2.380000,2.230000,2.370000,2.370000,2548400
2019-02-15,2.400000,2.690000,2.380000,2.650000,2.650000,6832200
2019-02-19,2.610000,2.820000,2.510000,2.750000,2.750000,5931000
2019-02-20,2.810000,2.860000,2.570000,2.690000,2.690000,5762800
2019-02-21,2.660000,2.690000,2.460000,2.580000,2.580000,5110600
2019-02-22,2.580000,2.600000,2.450000,2.550000,2.550000,3466500
2019-02-25,2.560000,2.570000,2.390000,2.430000,2.430000,6503000
2019-02-26,2.420000,2.550000,2.380000,2.510000,2.510000,6052000
2019-02-27,2.820000,3.500000,2.820000,2.960000,2.960000,30081400
2019-02-28,3.050000,3.140000,2.860000,3.050000,3.050000,13072000
2019-03-01,3.110000,3.180000,3.010000,3.120000,3.120000,4623300
2019-03-04,3.160000,3.190000,2.920000,3.070000,3.070000,5924600
2019-03-05,3.070000,3.080000,2.870000,2.970000,2.970000,4651800
2019-03-06,2.960000,2.960000,2.740000,2.760000,2.760000,4301400
2019-03-07,2.760000,2.800000,2.700000,2.740000,2.740000,2968800
2019-03-08,2.720000,2.730000,2.620000,2.690000,2.690000,1776100
2019-03-11,2.710000,2.720000,2.570000,2.600000,2.600000,3342200
2019-03-12,2.640000,2.720000,2.610000,2.640000,2.640000,3509800
2019-03-13,2.690000,2.770000,2.650000,2.690000,2.690000,2988000
2019-03-14,2.730000,2.740000,2.590000,2.590000,2.590000,2772800
2019-03-15,2.600000,2.610000,2.410000,2.450000,2.450000,5641800
2019-03-18,2.440000,2.570000,2.440000,2.530000,2.530000,2866700
2019-03-19,2.550000,2.560000,2.400000,2.420000,2.420000,3675100
2019-03-20,2.440000,2.520000,2.390000,2.400000,2.400000,3517500
2019-03-21,2.400000,2.520000,2.380000,2.410000,2.410000,3305700
2019-03-22,2.440000,2.450000,2.200000,2.200000,2.200000,4554900
2019-03-25,2.210000,2.290000,2.120000,2.200000,2.200000,2186200
2019-03-26,2.230000,2.300000,2.210000,2.210000,2.210000,2586200
2019-03-27,2.220000,2.240000,2.060000,2.060000,2.060000,4371800
2019-03-28,2.070000,2.170000,2.060000,2.070000,2.070000,3174500
2019-03-29,2.090000,2.090000,1.980000,1.990000,1.990000,5036600
2019-04-01,2.010000,2.150000,2.000000,2.140000,2.140000,3059200
2019-04-02,2.150000,2.290000,2.130000,2.270000,2.270000,4343800
2019-04-03,2.270000,2.350000,2.230000,2.330000,2.330000,3817500
2019-04-04,2.310000,2.680000,2.310000,2.550000,2.550000,7929900
2019-04-05,2.560000,2.680000,2.480000,2.510000,2.510000,3669300
2019-04-08,2.470000,2.510000,2.310000,2.320000,2.320000,3057000
2019-04-09,2.360000,2.430000,2.270000,2.270000,2.270000,2893700
2019-04-10,2.310000,2.510000,2.310000,2.480000,2.480000,4633400
2019-04-11,2.510000,2.540000,2.460000,2.490000,2.490000,1915600
2019-04-12,2.520000,2.590000,2.400000,2.560000,2.560000,3022800
