Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,86100.000000,86900.000000,86100.000000,86800.000000,86800.000000,417520
2019-01-03,86500.000000,87000.000000,84000.000000,84700.000000,84700.000000,404480
2019-01-04,83800.000000,85500.000000,82400.000000,84500.000000,84500.000000,336550
2019-01-07,86500.000000,87300.000000,85500.000000,86300.000000,86300.000000,255840
2019-01-08,86300.000000,88700.000000,86300.000000,88300.000000,88300.000000,600270
2019-01-09,89700.000000,90400.000000,89000.000000,89900.000000,89900.000000,515500
2019-01-10,90900.000000,92200.000000,90500.000000,91300.000000,91300.000000,685580
2019-01-11,91400.000000,91700.000000,90100.000000,91000.000000,91000.000000,338400
2019-01-14,90800.000000,90800.000000,89000.000000,89500.000000,89500.000000,370320
2019-01-15,89500.000000,90500.000000,89500.000000,90300.000000,90300.000000,368380
2019-01-16,91400.000000,91400.000000,90300.000000,90600.000000,90600.000000,198780
2019-01-17,91000.000000,91000.000000,89000.000000,89000.000000,89000.000000,178680
2019-01-18,89500.000000,89800.000000,88700.000000,89000.000000,89000.000000,227340
2019-01-22,90800.000000,90900.000000,89700.000000,89700.000000,89700.000000,220970
2019-01-23,89600.000000,90500.000000,89100.000000,90000.000000,90000.000000,227610
2019-01-24,90100.000000,91300.000000,89800.000000,89800.000000,89800.000000,332180
2019-01-25,89400.000000,90300.000000,89300.000000,89500.000000,89500.000000,325280
2019-01-28,90100.000000,90200.000000,89200.000000,89500.000000,89500.000000,189380
2019-01-29,88600.000000,89000.000000,87500.000000,87900.000000,87900.000000,309890
2019-01-30,88000.000000,89000.000000,88000.000000,88000.000000,88000.000000,216190
2019-01-31,89400.000000,89400.000000,87800.000000,87800.000000,87800.000000,327020
2019-02-01,88300.000000,88800.000000,88000.000000,88000.000000,88000.000000,329360
2019-02-04,88000.000000,88000.000000,88000.000000,88000.000000,88000.000000,0
2019-02-05,88000.000000,88000.000000,88000.000000,88000.000000,88000.000000,0
2019-02-06,88000.000000,88000.000000,88000.000000,88000.000000,88000.000000,0
2019-02-07,88000.000000,88000.000000,88000.000000,88000.000000,88000.000000,0
2019-02-08,88000.000000,88000.000000,88000.000000,88000.000000,88000.000000,0
2019-02-11,88800.000000,90500.000000,87800.000000,90500.000000,90500.000000,513260
2019-02-12,90200.000000,92000.000000,90000.000000,91000.000000,91000.000000,623510
2019-02-13,91800.000000,93600.000000,91600.000000,93000.000000,93000.000000,571680
2019-02-14,93100.000000,93700.000000,92300.000000,92500.000000,92500.000000,475450
2019-02-15,92800.000000,94300.000000,92500.000000,94000.000000,94000.000000,916910
2019-02-19,97200.000000,97900.000000,95500.000000,96000.000000,96000.000000,784000
2019-02-20,96000.000000,96300.000000,95100.000000,96000.000000,96000.000000,533120
2019-02-21,96000.000000,97500.000000,95700.000000,97200.000000,97200.000000,1213190
2019-02-22,96600.000000,99800.000000,96100.000000,99300.000000,99300.000000,876610
2019-02-25,100500.000000,101000.000000,99000.000000,99200.000000,99200.000000,587600
2019-02-26,98500.000000,98900.000000,97000.000000,97900.000000,97900.000000,919960
2019-02-27,98200.000000,99200.000000,97700.000000,98500.000000,98500.000000,475590
2019-02-28,99000.000000,100800.000000,98000.000000,98200.000000,98200.000000,1014710
2019-03-01,99500.000000,100000.000000,98400.000000,100000.000000,100000.000000,549800
2019-03-04,101200.000000,103000.000000,101200.000000,103000.000000,103000.000000,1064060
2019-03-05,101500.000000,105000.000000,101200.000000,104000.000000,104000.000000,878610
2019-03-06,103100.000000,104000.000000,101500.000000,104000.000000,104000.000000,607480
2019-03-07,104500.000000,105500.000000,103000.000000,103000.000000,103000.000000,636880
2019-03-08,103000.000000,103000.000000,103000.000000,103000.000000,103000.000000,0
2019-03-11,101000.000000,101100.000000,98900.000000,100200.000000,100200.000000,497400
2019-03-12,102000.000000,102000.000000,100200.000000,101900.000000,101900.000000,528030
