Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,23200.000000,23200.000000,23200.000000,23200.000000,23200.000000,10
2019-01-03,23200.000000,23200.000000,23200.000000,23200.000000,23200.000000,0
2019-01-04,24800.000000,24800.000000,22500.000000,22500.000000,22500.000000,650
2019-01-07,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2019-01-08,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2019-01-09,22500.000000,22500.000000,22500.000000,22500.000000,22500.000000,0
2019-01-10,24050.000000,24050.000000,24050.000000,24050.000000,24050.000000,10
2019-01-11,25700.000000,25700.000000,25700.000000,25700.000000,25700.000000,10
2019-01-14,27450.000000,27450.000000,27450.000000,27450.000000,27450.000000,720
2019-01-15,28500.000000,29350.000000,28500.000000,29350.000000,29350.000000,520
2019-01-16,31000.000000,31400.000000,31000.000000,31400.000000,31400.000000,2800
2019-01-17,29250.000000,29250.000000,29250.000000,29250.000000,29250.000000,10
2019-01-18,29250.000000,29250.000000,29250.000000,29250.000000,29250.000000,0
2019-01-22,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-23,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-24,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-25,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-28,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-29,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-30,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-01-31,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-01,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-04,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-05,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-06,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-07,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-08,27400.000000,27400.000000,27400.000000,27400.000000,27400.000000,0
2019-02-11,29300.000000,29300.000000,29300.000000,29300.000000,29300.000000,10
2019-02-12,31350.000000,31350.000000,31350.000000,31350.000000,31350.000000,1130
2019-02-13,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,430
2019-02-14,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2019-02-15,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2019-02-19,35700.000000,35700.000000,35700.000000,35700.000000,35700.000000,10
2019-02-20,35300.000000,35300.000000,33250.000000,33250.000000,33250.000000,450
2019-02-21,30950.000000,30950.000000,30950.000000,30950.000000,30950.000000,30
2019-02-22,28800.000000,28800.000000,28800.000000,28800.000000,28800.000000,10
2019-02-25,30000.000000,30000.000000,28800.000000,28800.000000,28800.000000,470
2019-02-26,30800.000000,30800.000000,30000.000000,30000.000000,30000.000000,60
2019-02-27,27950.000000,30600.000000,27900.000000,27900.000000,27900.000000,510
2019-02-28,27000.000000,27000.000000,26000.000000,26000.000000,26000.000000,140
2019-03-01,27600.000000,27800.000000,27600.000000,27800.000000,27800.000000,30
2019-03-04,27800.000000,29400.000000,27800.000000,29400.000000,29400.000000,180
2019-03-05,28000.000000,28500.000000,28000.000000,28500.000000,28500.000000,60
2019-03-06,27350.000000,27350.000000,26550.000000,26600.000000,26600.000000,400
2019-03-07,28200.000000,28200.000000,28200.000000,28200.000000,28200.000000,10
2019-03-08,28200.000000,28200.000000,28200.000000,28200.000000,28200.000000,0
2019-03-11,28200.000000,28200.000000,28200.000000,28200.000000,28200.000000,0
2019-03-12,28200.000000,28200.000000,28200.000000,28200.000000,28200.000000,0
2019-03-13,26950.000000,26950.000000,26950.000000,26950.000000,26950.000000,40
2019-03-14,27000.000000,28700.000000,27000.000000,28700.000000,28700.000000,140
2019-03-15,28700.000000,30700.000000,28700.000000,30700.000000,30700.000000,1500
2019-03-18,31000.000000,31000.000000,30700.000000,30700.000000,30700.000000,260
2019-03-19,30700.000000,30700.000000,30700.000000,30700.000000,30700.000000,0
2019-03-20,28700.000000,28700.000000,28600.000000,28600.000000,28600.000000,20
2019-03-21,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,200
2019-03-22,30400.000000,30400.000000,30400.000000,30400.000000,30400.000000,830
2019-03-25,30000.000000,30000.000000,30000.000000,30000.000000,30000.000000,170
2019-03-26,31000.000000,31000.000000,31000.000000,31000.000000,31000.000000,400
2019-03-27,31000.000000,31000.000000,31000.000000,31000.000000,31000.000000,410
2019-03-28,28850.000000,28850.000000,28850.000000,28850.000000,28850.000000,10
2019-03-29,29750.000000,30850.000000,29750.000000,30850.000000,30850.000000,1420
2019-04-01,30850.000000,30850.000000,30850.000000,30850.000000,30850.000000,0
2019-04-02,31000.000000,31000.000000,28700.000000,28700.000000,28700.000000,130
2019-04-03,30700.000000,30700.000000,27150.000000,27150.000000,27150.000000,600
2019-04-04,29050.000000,29050.000000,29050.000000,29050.000000,29050.000000,10
2019-04-05,29050.000000,29050.000000,29050.000000,29050.000000,29050.000000,0
2019-04-08,31050.000000,31050.000000,31050.000000,31050.000000,31050.000000,110
2019-04-09,33100.000000,33100.000000,33050.000000,33100.000000,33100.000000,500
2019-04-10,35000.000000,35300.000000,35000.000000,35300.000000,35300.000000,110
2019-04-11,35000.000000,37600.000000,35000.000000,35000.000000,35000.000000,60
2019-04-12,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,0
2019-04-15,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,0
2019-04-16,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,0
2019-04-17,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,0
2019-04-18,37450.000000,37450.000000,32550.000000,32550.000000,32550.000000,120
2019-04-22,32550.000000,32550.000000,32550.000000,32550.000000,32550.000000,0
2019-04-23,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,440
2019-04-24,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-04-25,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-04-26,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-04-29,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-04-30,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-05-01,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-05-02,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,180
2019-05-03,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2019-05-06,32350.000000,32350.000000,32350.000000,32350.000000,32350.000000,20
2019-05-07,32400.000000,34500.000000,32300.000000,34500.000000,34500.000000,940
2019-05-08,34500.000000,34600.000000,34500.000000,34500.000000,34500.000000,1180
2019-05-09,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,680
2019-05-10,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,1010
2019-05-13,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,600
2019-05-14,35000.000000,35000.000000,35000.000000,35000.000000,35000.000000,600
2019-05-15,35250.000000,35250.000000,33000.000000,33000.000000,33000.000000,600
2019-05-16,30700.000000,30700.000000,30700.000000,30700.000000,30700.000000,120
2019-05-17,28600.000000,28600.000000,28600.000000,28600.000000,28600.000000,10
2019-05-20,28600.000000,28600.000000,28600.000000,28600.000000,28600.000000,0
2019-05-21,28600.000000,28600.000000,28600.000000,28600.000000,28600.000000,0
2019-05-22,30600.000000,30600.000000,30600.000000,30600.000000,30600.000000,10
2019-05-23,32500.000000,32600.000000,32500.000000,32600.000000,32600.000000,1710
2019-05-24,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-05-28,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-05-29,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-05-30,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-05-31,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-03,32650.000000,32650.000000,32600.000000,32600.000000,32600.000000,400
2019-06-04,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-05,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-06,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-07,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-10,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-11,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-12,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-13,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-14,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,10
2019-06-17,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-18,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-19,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-20,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-21,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-24,32600.000000,32600.000000,32600.000000,32600.000000,32600.000000,0
2019-06-25,32500.000000,32500.000000,32500.000000,32500.000000,32500.000000,90
2019-06-26,32500.000000,32500.000000,32500.000000,32500.000000,32500.000000,0
2019-06-27,33000.000000,34450.000000,33000.000000,34450.000000,34450.000000,20
2019-06-28,36000.000000,36000.000000,36000.000000,36000.000000,36000.000000,10
2019-07-01,33500.000000,38500.000000,33500.000000,38500.000000,38500.000000,20
2019-07-02,38500.000000,38500.000000,38500.000000,38500.000000,38500.000000,0
2019-07-03,38500.000000,38500.000000,38500.000000,38500.000000,38500.000000,0
2019-07-05,35850.000000,35850.000000,35850.000000,35850.000000,35850.000000,0
2019-07-08,33350.000000,33350.000000,33350.000000,33350.000000,33350.000000,220
2019-07-09,33350.000000,33350.000000,33350.000000,33350.000000,33350.000000,0
2019-07-10,33350.000000,33350.000000,33350.000000,33350.000000,33350.000000,0
2019-07-11,33350.000000,33350.000000,33350.000000,33350.000000,33350.000000,10
2019-07-12,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,30
2019-07-15,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,0
2019-07-16,33000.000000,33000.000000,33000.000000,33000.000000,33000.000000,0
2019-07-17,32900.000000,33000.000000,30700.000000,30700.000000,30700.000000,3370
2019-07-18,30700.000000,30700.000000,30700.000000,30700.000000,30700.000000,0
2019-07-19,32800.000000,32800.000000,32800.000000,32800.000000,32800.000000,10810
2019-07-22,32800.000000,32800.000000,32800.000000,32800.000000,32800.000000,0
2019-07-23,32800.000000,32800.000000,32800.000000,32800.000000,32800.000000,0
2019-07-24,35050.000000,35050.000000,35050.000000,35050.000000,35050.000000,10
2019-07-25,35050.000000,35050.000000,35050.000000,35050.000000,35050.000000,0
2019-07-26,35050.000000,35050.000000,35050.000000,35050.000000,35050.000000,0
2019-07-29,35050.000000,35050.000000,35050.000000,35050.000000,35050.000000,0
2019-07-30,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,4120
2019-07-31,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-01,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-02,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-05,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-06,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-07,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-08,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-09,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-12,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-13,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-14,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-15,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-16,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-19,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-20,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-21,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-22,42800.000000,42800.000000,42800.000000,42800.000000,42800.000000,0
2019-08-23,40000.000000,40000.000000,39850.000000,39850.000000,39850.000000,50
2019-08-26,37100.000000,37100.000000,37100.000000,37100.000000,37100.000000,50
2019-08-27,37100.000000,37100.000000,37100.000000,37100.000000,37100.000000,0
2019-08-28,37100.000000,37100.000000,37100.000000,37100.000000,37100.000000,10
2019-08-29,37100.000000,37100.000000,37100.000000,37100.000000,37100.000000,0
2019-08-30,37100.000000,37100.000000,37100.000000,37100.000000,37100.000000,0
2019-09-03,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,150
2019-09-04,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,0
2019-09-05,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,0
2019-09-06,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,0
2019-09-09,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,0
2019-09-10,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,8620
2019-09-11,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-12,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-13,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-16,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-17,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-18,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-19,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-20,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-23,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-24,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-25,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-26,34600.000000,34600.000000,34600.000000,34600.000000,34600.000000,0
2019-09-27,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,450
2019-09-30,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-01,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-02,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-03,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-04,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-07,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-08,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-09,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-10,32300.000000,32300.000000,32300.000000,32300.000000,32300.000000,0
2019-10-11,34550.000000,34550.000000,34550.000000,34550.000000,34550.000000,10
2019-10-14,34550.000000,36950.000000,34550.000000,36950.000000,36950.000000,150
2019-10-15,36900.000000,39500.000000,36900.000000,39500.000000,39500.000000,210
2019-10-16,42200.000000,42200.000000,42200.000000,42200.000000,42200.000000,110
2019-10-17,45000.000000,45000.000000,45000.000000,45000.000000,45000.000000,40
2019-10-18,48000.000000,48000.000000,48000.000000,48000.000000,48000.000000,20
2019-10-21,48000.000000,48000.000000,48000.000000,48000.000000,48000.000000,0
2019-10-22,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,10
2019-10-23,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-24,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-25,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-28,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-29,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-30,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-10-31,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-01,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-04,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-05,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-06,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-07,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-08,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-11,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-12,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-13,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-14,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-15,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-18,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-19,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-20,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-21,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-22,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-25,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-26,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-27,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-11-29,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-02,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-03,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-04,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-05,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-06,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-09,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-10,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-11,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-12,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-13,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-16,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-17,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-18,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-19,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-20,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-23,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-24,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-26,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-27,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-30,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2019-12-31,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-02,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-03,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-06,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-07,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-08,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-09,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-10,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-13,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-14,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-15,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-16,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-17,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-21,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-22,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-23,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-24,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-27,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-28,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-29,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-30,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-01-31,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-03,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-04,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-05,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-06,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-07,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-10,50900.000000,50900.000000,50900.000000,50900.000000,50900.000000,0
2020-02-11,47350.000000,47350.000000,47350.000000,47350.000000,47350.000000,40
2020-02-12,47350.000000,47350.000000,47350.000000,47350.000000,47350.000000,0
2020-02-13,47350.000000,47350.000000,47350.000000,47350.000000,47350.000000,0
2020-02-14,44050.000000,44050.000000,44050.000000,44050.000000,44050.000000,10
2020-02-18,38150.000000,38150.000000,38150.000000,38150.000000,38150.000000,500
2020-02-19,37000.000000,37000.000000,35500.000000,35500.000000,35500.000000,70
2020-02-20,33100.000000,33500.000000,33100.000000,33500.000000,33500.000000,100
2020-02-21,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2020-02-24,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2020-02-25,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2020-02-26,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2020-02-27,33500.000000,33500.000000,33500.000000,33500.000000,33500.000000,0
2020-02-28,31300.000000,31300.000000,31300.000000,31300.000000,31300.000000,10
2020-03-02,31300.000000,31300.000000,31300.000000,31300.000000,31300.000000,0
2020-03-03,31300.000000,31300.000000,31300.000000,31300.000000,31300.000000,0
2020-03-04,29150.000000,29150.000000,29150.000000,29150.000000,29150.000000,10
2020-03-05,27150.000000,28000.000000,27150.000000,28000.000000,28000.000000,30
2020-03-06,28000.000000,28000.000000,28000.000000,28000.000000,28000.000000,0
2020-03-09,28000.000000,28000.000000,28000.000000,28000.000000,28000.000000,0
2020-03-10,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,30
2020-03-11,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,0
2020-03-12,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,0
2020-03-13,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,0
2020-03-16,24250.000000,26050.000000,24250.000000,26050.000000,26050.000000,80
2020-03-17,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,0
2020-03-18,26050.000000,26050.000000,26050.000000,26050.000000,26050.000000,0
2020-03-19,24250.000000,24250.000000,24250.000000,24250.000000,24250.000000,10
2020-03-20,25900.000000,25900.000000,25900.000000,25900.000000,25900.000000,70
2020-03-23,25900.000000,25900.000000,25900.000000,25900.000000,25900.000000,0
2020-03-24,25900.000000,25900.000000,25900.000000,25900.000000,25900.000000,0
2020-03-25,25900.000000,25900.000000,25900.000000,25900.000000,25900.000000,0
2020-03-26,25900.000000,25900.000000,25900.000000,25900.000000,25900.000000,0
2020-03-27,null,null,null,null,null,null
