Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,35.369999,36.279999,35.110001,36.009998,34.306698,1379700
2019-01-03,35.759998,35.959999,34.950001,35.450001,33.773193,843400
2019-01-04,35.880001,36.759998,35.880001,36.520000,34.792580,966200
2019-01-07,36.680000,37.619999,36.330002,37.160000,35.402302,1013000
2019-01-08,37.599998,37.880001,37.130001,37.689999,35.907234,929300
2019-01-09,37.779999,38.220001,37.509998,37.900002,36.107304,1548600
2019-01-10,37.910000,38.410000,37.639999,38.310001,36.497910,1092600
2019-01-11,38.279999,38.360001,37.820000,38.340000,36.526489,914000
2019-01-14,38.189999,38.570000,38.029999,38.320000,36.507435,581100
2019-01-15,38.349998,38.500000,37.840000,38.430000,36.612228,730300
2019-01-16,38.540001,38.950001,38.349998,38.400002,36.583652,981800
2019-01-17,38.270000,39.049999,38.250000,38.869999,37.031418,590500
2019-01-18,39.230000,39.959999,39.090000,39.610001,37.736420,1013600
2019-01-22,39.439999,39.470001,38.799999,39.090000,37.241013,952000
2019-01-23,39.180000,39.400002,38.349998,38.820000,36.983784,893200
2019-01-24,38.930000,39.669998,38.820000,39.610001,37.736420,997000
2019-01-25,39.959999,40.310001,39.700001,39.970001,38.079391,1057100
2019-01-28,39.750000,40.099998,39.459999,40.000000,38.107971,1028200
2019-01-29,39.869999,40.369999,39.459999,40.279999,38.374725,820800
2019-01-30,40.500000,40.669998,39.889999,40.590000,38.670059,876800
2019-01-31,40.509998,41.009998,40.189999,40.959999,39.022564,2619000
2019-02-01,40.950001,41.110001,40.480000,40.970001,39.032089,1291000
2019-02-04,41.009998,41.070000,40.700001,40.889999,38.955875,1286000
2019-02-05,42.770000,45.830002,41.689999,44.880001,42.757145,3929100
2019-02-06,44.250000,44.639999,43.810001,44.110001,42.023563,2127100
2019-02-07,43.830002,44.000000,43.250000,43.779999,41.709171,1002100
2019-02-08,43.709999,44.160000,43.060001,43.450001,41.394787,924600
2019-02-11,43.470001,43.730000,43.070000,43.560001,41.499580,984200
2019-02-12,43.860001,44.480000,43.709999,44.450001,42.347485,1102900
2019-02-13,44.529999,44.660000,43.880001,44.240002,42.147415,880800
2019-02-14,44.009998,44.680000,43.770000,44.380001,42.280796,1423700
2019-02-15,44.669998,45.009998,44.200001,44.950001,42.823833,944400
2019-02-19,44.919998,45.410000,44.709999,45.200001,43.062004,734300
2019-02-20,45.320000,45.540001,45.040001,45.270000,43.128700,1636000
2019-02-21,45.279999,45.730000,45.110001,45.619999,43.462139,839800
2019-02-22,45.799999,45.990002,45.500000,45.880001,43.709846,616100
2019-02-25,46.000000,46.500000,45.990002,46.070000,43.890850,1084400
2019-02-26,46.020000,46.259998,45.680000,45.730000,43.566936,633800
2019-02-27,45.709999,45.910000,45.369999,45.689999,43.528828,1359400
2019-02-28,45.590000,45.669998,45.220001,45.419998,43.271599,843400
