Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1.950000,2.200000,1.900000,2.190000,2.106152,21219100
2019-01-03,2.210000,2.360000,2.090000,2.340000,2.250408,20386700
2019-01-04,2.440000,2.500000,2.330000,2.390000,2.298494,21317900
2019-01-07,2.450000,2.690000,2.370000,2.660000,2.558157,27228500
2019-01-08,2.780000,2.780000,2.540000,2.630000,2.529305,20831200
2019-01-09,2.680000,3.020000,2.640000,2.960000,2.846670,31138900
2019-01-10,2.920000,2.980000,2.760000,2.970000,2.856287,18880800
2019-01-11,2.940000,2.960000,2.770000,2.820000,2.712031,12852300
2019-01-14,2.760000,2.960000,2.750000,2.820000,2.712031,15945700
2019-01-15,2.890000,2.970000,2.840000,2.930000,2.817819,14301500
2019-01-16,2.930000,2.970000,2.750000,2.770000,2.663945,12630000
2019-01-17,2.710000,2.900000,2.670000,2.880000,2.769733,19289200
2019-01-18,2.930000,3.080000,2.850000,3.060000,2.942842,21390800
2019-01-22,2.960000,3.010000,2.770000,2.790000,2.683179,15041000
2019-01-23,2.870000,2.880000,2.700000,2.720000,2.615859,9805600
2019-01-24,2.700000,2.920000,2.680000,2.850000,2.740882,11886500
2019-01-25,2.920000,2.970000,2.800000,2.900000,2.788968,12730500
2019-01-28,2.850000,2.870000,2.730000,2.850000,2.740882,11560300
2019-01-29,2.860000,3.000000,2.860000,2.950000,2.837054,12350700
2019-01-30,2.990000,3.110000,2.890000,3.080000,2.962076,14823400
2019-01-31,3.070000,3.140000,2.910000,2.960000,2.846670,19036300
2019-02-01,2.970000,3.240000,2.950000,3.130000,3.010162,11310700
2019-02-04,3.090000,3.260000,3.070000,3.240000,3.115950,9994500
2019-02-05,3.240000,3.250000,3.130000,3.220000,3.096716,8948000
2019-02-06,3.170000,3.230000,3.120000,3.210000,3.087099,6252900
2019-02-07,3.160000,3.220000,2.870000,2.940000,2.827436,16156100
2019-02-08,2.930000,2.970000,2.720000,2.760000,2.654328,12074200
2019-02-11,2.740000,2.860000,2.700000,2.770000,2.663945,12737200
2019-02-12,2.860000,2.960000,2.830000,2.910000,2.798585,8847700
2019-02-13,2.920000,3.100000,2.920000,3.050000,2.933225,7567700
2019-02-14,3.030000,3.130000,2.990000,3.120000,3.000545,6549000
2019-02-15,3.140000,3.200000,3.050000,3.200000,3.077482,13652900
2019-02-19,3.190000,3.250000,3.150000,3.220000,3.096716,7739500
2019-02-20,3.210000,3.340000,3.210000,3.320000,3.192887,13511200
2019-02-21,3.300000,3.330000,3.130000,3.140000,3.019779,13800100
2019-02-22,3.190000,3.240000,3.030000,3.100000,2.981310,11592200
2019-02-25,3.050000,3.190000,3.030000,3.110000,2.990927,11902300
2019-02-26,3.100000,3.130000,3.010000,3.070000,2.952459,11946000
2019-02-27,2.970000,3.340000,2.820000,3.290000,3.164036,23085400
2019-02-28,3.290000,3.290000,3.050000,3.240000,3.115950,12511800
2019-03-01,3.250000,3.330000,3.190000,3.260000,3.135184,11220800
2019-03-04,3.280000,3.530000,3.280000,3.520000,3.385230,17585300
2019-03-05,3.530000,3.590000,3.450000,3.580000,3.442932,9652000
2019-03-06,3.520000,3.550000,3.280000,3.400000,3.269824,12538100
2019-03-07,3.410000,3.430000,3.260000,3.330000,3.202504,9495700
2019-03-08,3.200000,3.300000,3.100000,3.200000,3.077482,8184800
2019-03-11,3.210000,3.330000,3.210000,3.280000,3.164307,6856300
2019-03-12,3.320000,3.480000,3.310000,3.470000,3.347605,10669500
2019-03-13,3.500000,3.570000,3.410000,3.490000,3.366900,8928100
2019-03-14,3.370000,3.520000,3.360000,3.460000,3.337958,6582700
2019-03-15,3.410000,3.480000,3.250000,3.280000,3.164307,9739900
2019-03-18,3.290000,3.570000,3.290000,3.540000,3.415136,11093800
2019-03-19,3.570000,3.640000,3.470000,3.520000,3.395842,7304900
2019-03-20,3.500000,3.640000,3.440000,3.560000,3.434431,8867300
2019-03-21,3.570000,3.700000,3.540000,3.700000,3.569493,10156700
2019-03-22,3.630000,3.720000,3.410000,3.490000,3.366900,12485100
2019-03-25,3.480000,3.520000,3.380000,3.460000,3.337958,5684400
2019-03-26,3.580000,3.610000,3.400000,3.430000,3.309016,7092000
2019-03-27,3.430000,3.490000,3.350000,3.390000,3.270427,7066200
2019-03-28,3.340000,3.490000,3.320000,3.470000,3.347605,7937500
2019-03-29,3.550000,3.570000,3.400000,3.440000,3.318663,8577800
