Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2.550000,2.760000,2.460000,2.750000,2.750000,4328200
2019-01-03,2.770000,2.840000,2.640000,2.770000,2.770000,4976800
2019-01-04,2.880000,3.050000,2.830000,3.050000,3.050000,7327400
2019-01-07,3.100000,3.370000,3.050000,3.340000,3.340000,6849600
2019-01-08,3.450000,3.500000,3.210000,3.340000,3.340000,6490300
2019-01-09,3.420000,3.450000,3.290000,3.410000,3.410000,6695600
2019-01-10,3.360000,3.500000,3.260000,3.490000,3.490000,5007400
2019-01-11,3.410000,3.430000,3.300000,3.360000,3.360000,3129200
2019-01-14,3.290000,3.420000,3.250000,3.360000,3.360000,2832100
2019-01-15,3.380000,3.480000,3.350000,3.420000,3.420000,2220700
2019-01-16,3.370000,3.460000,3.320000,3.330000,3.330000,2739000
2019-01-17,3.280000,3.350000,3.240000,3.330000,3.330000,3724900
2019-01-18,3.390000,3.450000,3.330000,3.430000,3.430000,3720000
2019-01-22,3.340000,3.350000,3.220000,3.240000,3.240000,2813700
2019-01-23,3.270000,3.290000,3.100000,3.150000,3.150000,2472700
2019-01-24,3.160000,3.270000,3.070000,3.270000,3.270000,2636000
2019-01-25,3.290000,3.430000,3.280000,3.410000,3.410000,3119100
2019-01-28,3.380000,3.380000,3.220000,3.270000,3.270000,2643500
2019-01-29,3.310000,3.420000,3.260000,3.270000,3.270000,3047900
2019-01-30,3.310000,3.350000,3.230000,3.310000,3.310000,3095700
2019-01-31,3.310000,3.400000,3.280000,3.300000,3.300000,2765500
2019-02-01,3.320000,3.490000,3.290000,3.360000,3.360000,3298900
2019-02-04,3.300000,3.460000,3.300000,3.450000,3.450000,2120100
2019-02-05,3.430000,3.490000,3.330000,3.380000,3.380000,2003700
2019-02-06,3.340000,3.450000,3.280000,3.410000,3.410000,6102300
2019-02-07,3.370000,3.420000,3.190000,3.270000,3.270000,4097100
2019-02-08,3.240000,3.300000,3.070000,3.120000,3.120000,3866700
2019-02-11,3.080000,3.110000,2.980000,2.990000,2.990000,4245200
2019-02-12,3.080000,3.120000,2.940000,2.950000,2.950000,3651900
2019-02-13,2.960000,3.110000,2.950000,3.020000,3.020000,2635200
2019-02-14,3.020000,3.110000,3.020000,3.080000,3.080000,2672600
2019-02-15,3.120000,3.180000,3.040000,3.130000,3.130000,6982900
2019-02-19,3.120000,3.200000,3.080000,3.150000,3.150000,2478300
2019-02-20,3.130000,3.340000,3.130000,3.310000,3.310000,6963100
2019-02-21,3.390000,3.640000,3.070000,3.130000,3.130000,7782400
2019-02-22,3.160000,3.160000,3.050000,3.080000,3.080000,4574500
2019-02-25,3.060000,3.150000,3.040000,3.060000,3.060000,3454300
2019-02-26,3.060000,3.080000,2.960000,3.010000,3.010000,3659600
2019-02-27,3.040000,3.100000,3.000000,3.050000,3.050000,3137200
2019-02-28,3.050000,3.090000,2.860000,3.010000,3.010000,6117700
2019-03-01,3.010000,3.100000,3.000000,3.060000,3.060000,4438300
2019-03-04,3.110000,3.180000,3.000000,3.060000,3.060000,3246400
2019-03-05,3.060000,3.160000,3.040000,3.060000,3.060000,3001800
2019-03-06,3.030000,3.080000,2.960000,3.000000,3.000000,3589300
2019-03-07,3.000000,3.000000,2.780000,2.790000,2.790000,8798600
2019-03-08,2.710000,2.740000,2.610000,2.640000,2.640000,4985300
2019-03-11,2.660000,2.730000,2.590000,2.670000,2.670000,6353500
2019-03-12,2.690000,2.890000,2.690000,2.840000,2.840000,7298500
2019-03-13,2.890000,2.950000,2.850000,2.900000,2.900000,3708100
2019-03-14,2.900000,2.980000,2.890000,2.900000,2.900000,2468500
2019-03-15,2.900000,2.970000,2.890000,2.890000,2.890000,4281900
2019-03-18,2.910000,3.110000,2.900000,3.110000,3.110000,5949800
2019-03-19,3.150000,3.210000,3.020000,3.040000,3.040000,6082800
2019-03-20,3.050000,3.120000,2.980000,3.050000,3.050000,5113700
2019-03-21,3.060000,3.070000,2.970000,3.070000,3.070000,4706600
2019-03-22,3.020000,3.050000,2.820000,2.950000,2.950000,7157200
2019-03-25,2.920000,3.000000,2.860000,2.950000,2.950000,4221100
2019-03-26,3.020000,3.090000,2.910000,2.930000,2.930000,2768400
2019-03-27,2.920000,2.950000,2.800000,2.820000,2.820000,3286600
2019-03-28,2.780000,2.880000,2.750000,2.850000,2.850000,3158300
2019-03-29,2.920000,2.930000,2.740000,2.870000,2.870000,5670400
2019-04-01,2.920000,3.040000,2.850000,2.990000,2.990000,4131100
2019-04-02,2.980000,3.100000,2.960000,3.070000,3.070000,5342400
2019-04-03,3.100000,3.170000,2.960000,3.000000,3.000000,5353500
2019-04-04,2.990000,3.030000,2.850000,3.010000,3.010000,7832500
2019-04-05,3.020000,3.090000,2.970000,3.050000,3.050000,5780600
2019-04-08,3.060000,3.100000,2.970000,2.970000,2.970000,4550200
2019-04-09,2.960000,3.060000,2.910000,3.030000,3.030000,4119000
2019-04-10,3.050000,3.090000,2.980000,2.990000,2.990000,3413800
2019-04-11,2.970000,3.030000,2.910000,2.920000,2.920000,3257000
2019-04-12,3.020000,3.030000,2.930000,2.950000,2.950000,3220000
2019-04-15,2.950000,2.960000,2.840000,2.850000,2.850000,3324700
2019-04-16,2.870000,2.880000,2.740000,2.840000,2.840000,4681600
2019-04-17,2.850000,2.890000,2.750000,2.810000,2.810000,3857700
