Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.850000,6.230000,5.820000,6.130000,5.805726,1963200
2019-01-03,6.110000,6.150000,5.850000,5.970000,5.654190,2348800
2019-01-04,6.090000,6.530000,6.060000,6.480000,6.137211,3026100
2019-01-07,6.520000,6.570000,6.340000,6.510000,6.165625,1817100
2019-01-08,6.600000,6.710000,6.500000,6.680000,6.326632,1564900
2019-01-09,6.740000,6.780000,6.590000,6.720000,6.364515,1964100
2019-01-10,6.690000,6.930000,6.640000,6.900000,6.534994,1596200
2019-01-11,6.890000,6.940000,6.780000,6.850000,6.487638,1394200
2019-01-14,6.820000,7.060000,6.790000,6.980000,6.610761,1623600
2019-01-15,7.060000,7.310000,6.990000,7.230000,6.847537,3243600
2019-01-16,7.300000,7.540000,7.270000,7.290000,6.904363,4167000
2019-01-17,7.200000,7.410000,7.110000,7.290000,6.904363,2530200
2019-01-18,7.310000,7.380000,7.130000,7.150000,6.771769,3109300
2019-01-22,7.130000,7.170000,6.930000,7.020000,6.648645,2338700
2019-01-23,7.100000,7.110000,6.830000,6.930000,6.563406,2103200
2019-01-24,6.950000,7.050000,6.870000,6.970000,6.601290,2426900
2019-01-25,7.040000,7.240000,7.030000,7.130000,6.752827,2410200
2019-01-28,7.060000,7.300000,7.050000,7.170000,6.790711,1685800
2019-01-29,7.220000,7.330000,7.130000,7.230000,6.847537,1580700
2019-01-30,7.300000,7.340000,7.100000,7.230000,6.847537,1774100
2019-01-31,7.270000,7.300000,7.160000,7.210000,6.828595,1904100
2019-02-01,7.300000,7.300000,7.020000,7.050000,6.677059,3289200
2019-02-04,7.010000,7.050000,6.510000,6.750000,6.392929,7220000
2019-02-05,6.450000,6.900000,6.160000,6.600000,6.250864,12014000
2019-02-06,6.470000,7.050000,6.440000,6.830000,6.468697,8251700
2019-02-07,6.800000,7.050000,6.740000,7.000000,6.629704,4845100
2019-02-08,6.970000,7.100000,6.870000,6.890000,6.525523,3202500
2019-02-11,6.920000,7.270000,6.900000,7.200000,6.819123,4303700
2019-02-12,7.250000,7.410000,7.030000,7.050000,6.677059,4393500
2019-02-13,7.070000,7.180000,6.970000,7.020000,6.648645,2737700
2019-02-14,6.940000,7.160000,6.910000,6.990000,6.667724,2116100
2019-02-15,7.040000,7.130000,6.980000,7.050000,6.724957,2040900
2019-02-19,7.010000,7.100000,6.980000,7.020000,6.696340,2145600
2019-02-20,7.010000,7.170000,7.010000,7.080000,6.753574,2009600
2019-02-21,7.080000,7.110000,6.980000,7.030000,6.705880,2436100
2019-02-22,7.280000,8.320000,7.280000,7.860000,7.497612,13653700
2019-02-25,7.900000,7.990000,7.430000,7.510000,7.163749,8004700
2019-02-26,7.490000,7.500000,7.240000,7.290000,6.953892,3788100
2019-02-27,7.310000,7.600000,7.220000,7.470000,7.125593,4354800
2019-02-28,7.460000,7.500000,7.120000,7.190000,6.858502,3049800
2019-03-01,7.240000,7.260000,7.040000,7.120000,6.791729,3180200
2019-03-04,7.110000,7.200000,7.050000,7.100000,6.772652,2252200
2019-03-05,7.120000,7.170000,6.930000,6.970000,6.648645,2109500
2019-03-06,6.990000,7.030000,6.860000,6.870000,6.553256,3041200
2019-03-07,6.920000,6.940000,6.560000,6.590000,6.286166,3483700
2019-03-08,6.560000,6.600000,6.420000,6.560000,6.257549,3041100
2019-03-11,6.600000,6.740000,6.580000,6.690000,6.381555,3816200
2019-03-12,6.710000,6.950000,6.700000,6.880000,6.562795,2773100
2019-03-13,6.900000,7.030000,6.850000,6.980000,6.658185,2308500
2019-03-14,6.970000,6.990000,6.770000,6.840000,6.524640,2330000
2019-03-15,6.840000,6.920000,6.750000,6.850000,6.534178,9404400
2019-03-18,6.850000,6.920000,6.750000,6.880000,6.562795,2126400
2019-03-19,6.930000,6.970000,6.750000,6.770000,6.457866,1955300
2019-03-20,6.770000,6.780000,6.510000,6.620000,6.314783,2034900
2019-03-21,6.610000,6.780000,6.610000,6.760000,6.448328,1783400
2019-03-22,6.740000,6.740000,6.310000,6.340000,6.047692,3326000
2019-03-25,6.330000,6.420000,6.170000,6.300000,6.009537,1887200
2019-03-26,6.340000,6.460000,6.290000,6.390000,6.095387,2657600
2019-03-27,6.550000,6.820000,6.530000,6.720000,6.410172,4893000
2019-03-28,6.730000,6.930000,6.690000,6.860000,6.543717,2929300
2019-03-29,6.910000,6.980000,6.760000,6.870000,6.553256,3387600
2019-04-01,6.910000,7.100000,6.910000,7.050000,6.724957,2839300
2019-04-02,7.040000,7.100000,6.820000,6.820000,6.505562,40761200
2019-04-03,6.900000,7.000000,6.650000,6.660000,6.352938,4039900
2019-04-04,6.650000,6.870000,6.650000,6.790000,6.476945,2376500
2019-04-05,6.780000,6.890000,6.760000,6.860000,6.543717,2522400
2019-04-08,6.830000,6.890000,6.730000,6.790000,6.476945,2610300
2019-04-09,6.730000,6.860000,6.680000,6.720000,6.410172,2617900
2019-04-10,6.730000,6.950000,6.720000,6.920000,6.600951,2968800
2019-04-11,6.930000,7.030000,6.890000,6.900000,6.581873,1502800
2019-04-12,6.960000,7.030000,6.820000,6.840000,6.524640,3770800
2019-04-15,6.840000,6.960000,6.770000,6.800000,6.486484,1919400
2019-04-16,6.830000,7.030000,6.780000,7.030000,6.705880,3138200
2019-04-17,7.060000,7.090000,6.960000,7.010000,6.686802,1334500
2019-04-18,6.980000,7.080000,6.940000,7.080000,6.753574,2376000
2019-04-22,7.060000,7.080000,6.890000,6.910000,6.591412,2443700
2019-04-23,6.900000,7.190000,6.880000,7.170000,6.839425,2799500
2019-04-24,7.170000,7.280000,7.090000,7.150000,6.820347,2506800
2019-04-25,7.120000,7.120000,6.950000,7.020000,6.696340,1372100
2019-04-26,7.010000,7.150000,6.930000,7.140000,6.810808,1407800
2019-04-29,7.090000,7.200000,7.020000,7.170000,6.839425,2001000
2019-04-30,7.150000,7.230000,7.010000,7.110000,6.782191,2857700
2019-05-01,6.250000,6.250000,5.280000,5.370000,5.122414,15321700
2019-05-02,5.410000,5.680000,5.230000,5.290000,5.046103,7279500
2019-05-03,5.260000,5.780000,5.260000,5.720000,5.456277,6249900
2019-05-06,5.580000,5.900000,5.520000,5.780000,5.513511,4375400
2019-05-07,5.700000,5.750000,5.490000,5.560000,5.303654,4444700
2019-05-08,5.560000,5.640000,5.470000,5.470000,5.217803,2459700
2019-05-09,5.400000,5.450000,5.160000,5.390000,5.141492,4564000
2019-05-10,5.360000,5.420000,5.160000,5.230000,4.988869,4271300
2019-05-13,5.140000,5.160000,4.820000,4.940000,4.712239,5359200
2019-05-14,4.970000,5.080000,4.930000,5.040000,4.807629,3221200
2019-05-15,4.990000,5.030000,4.920000,4.990000,4.759934,3007800
2019-05-16,5.000000,5.050000,4.920000,4.980000,4.750395,2266100
2019-05-17,4.900000,5.020000,4.880000,4.910000,4.683623,2139300
2019-05-20,4.900000,4.930000,4.790000,4.790000,4.569155,2902200
2019-05-21,4.810000,4.900000,4.790000,4.860000,4.635928,3238100
2019-05-22,4.800000,4.860000,4.670000,4.740000,4.521460,2579300
2019-05-23,4.630000,4.690000,4.460000,4.550000,4.386492,2754000
2019-05-24,4.570000,4.640000,4.510000,4.630000,4.463617,1708700
2019-05-28,4.630000,4.780000,4.590000,4.630000,4.463617,3359900
2019-05-29,4.600000,4.630000,4.140000,4.310000,4.155116,6408900
2019-05-30,4.320000,4.330000,3.910000,4.000000,3.856256,7108800
2019-05-31,3.900000,3.900000,3.410000,3.650000,3.518834,12858300
2019-06-03,3.640000,4.030000,3.530000,3.900000,3.759850,4974900
2019-06-04,3.980000,4.280000,3.920000,4.210000,4.058710,3780300
2019-06-05,4.220000,4.310000,3.990000,4.150000,4.000866,2894600
2019-06-06,4.140000,4.150000,3.940000,4.060000,3.914100,2230700
2019-06-07,4.080000,4.220000,3.970000,4.120000,3.971944,2454400
2019-06-10,4.150000,4.360000,4.140000,4.300000,4.145476,2523900
2019-06-11,4.370000,4.480000,4.310000,4.420000,4.261163,3529200
2019-06-12,4.390000,4.400000,4.240000,4.280000,4.126194,1958100
2019-06-13,4.310000,4.490000,4.310000,4.430000,4.270804,1618400
2019-06-14,4.400000,4.410000,4.280000,4.320000,4.164757,1513700
2019-06-17,4.340000,4.350000,4.090000,4.220000,4.068350,2466400
2019-06-18,4.250000,4.440000,4.080000,4.120000,3.971944,3450400
2019-06-19,4.120000,4.250000,4.080000,4.180000,4.029788,2538500
2019-06-20,4.210000,4.300000,4.020000,4.060000,3.914100,2742400
2019-06-21,4.030000,4.100000,3.750000,4.080000,3.933382,7855700
2019-06-24,4.080000,4.100000,3.930000,3.940000,3.798413,2862400
2019-06-25,3.930000,3.970000,3.830000,3.960000,3.817694,3408000
2019-06-26,3.960000,4.110000,3.930000,4.100000,3.952662,3400600
2019-06-27,4.110000,4.220000,4.050000,4.220000,4.068350,3742700
2019-06-28,4.240000,4.310000,4.170000,4.280000,4.126194,2088300
2019-07-01,4.350000,4.390000,4.250000,4.360000,4.203320,3542400
2019-07-02,4.350000,4.420000,4.260000,4.370000,4.212960,2781900
2019-07-03,4.390000,4.470000,4.340000,4.370000,4.212960,1020100
2019-07-05,4.320000,4.470000,4.310000,4.400000,4.241882,1131500
2019-07-08,4.360000,4.420000,4.250000,4.310000,4.155116,1598100
2019-07-09,4.270000,4.310000,4.120000,4.270000,4.116554,2206700
2019-07-10,4.290000,4.320000,4.130000,4.130000,3.981585,3439400
2019-07-11,4.130000,4.190000,4.040000,4.070000,3.923741,1282900
2019-07-12,4.080000,4.280000,4.080000,4.220000,4.068350,1422800
2019-07-15,4.210000,4.280000,4.070000,4.130000,3.981585,1194000
2019-07-16,4.120000,4.290000,4.120000,4.160000,4.010507,988300
2019-07-17,4.140000,4.200000,3.980000,4.020000,3.875538,1728000
2019-07-18,3.980000,4.020000,3.870000,3.950000,3.808053,2059400
2019-07-19,3.940000,4.050000,3.940000,3.950000,3.808053,1501200
2019-07-22,3.950000,4.010000,3.870000,3.870000,3.730928,1719600
2019-07-23,3.880000,3.910000,3.750000,3.900000,3.759850,2133800
2019-07-24,3.910000,4.020000,3.900000,3.960000,3.817694,2088400
2019-07-25,3.940000,4.000000,3.830000,3.840000,3.702006,1439400
2019-07-26,3.850000,3.980000,3.800000,3.920000,3.779131,1751100
2019-07-29,3.890000,3.960000,3.860000,3.900000,3.759850,1404900
2019-07-30,3.890000,3.970000,3.750000,3.950000,3.808053,1778300
2019-07-31,3.960000,4.250000,3.940000,4.050000,3.904460,3255300
2019-08-01,4.110000,4.120000,3.640000,3.760000,3.624881,3067000
2019-08-02,3.720000,3.770000,3.650000,3.710000,3.576678,1283400
2019-08-05,3.650000,3.660000,3.290000,3.550000,3.422428,3781700
2019-08-06,4.030000,4.580000,4.000000,4.160000,4.010507,8426000
2019-08-07,4.060000,4.180000,3.800000,3.990000,3.846616,5917300
2019-08-08,4.000000,4.240000,4.000000,4.120000,3.971944,2546000
2019-08-09,4.070000,4.100000,3.820000,3.830000,3.692365,2454000
2019-08-12,3.800000,3.820000,3.480000,3.600000,3.470631,4074800
2019-08-13,3.600000,3.730000,3.470000,3.540000,3.412787,3448700
2019-08-14,3.450000,3.490000,3.190000,3.280000,3.162130,5383900
2019-08-15,3.300000,3.310000,3.140000,3.230000,3.113927,3648700
2019-08-16,3.260000,3.470000,3.220000,3.470000,3.345303,4577300
2019-08-19,3.560000,3.720000,3.540000,3.650000,3.518834,2383700
2019-08-20,3.630000,3.650000,3.450000,3.490000,3.364584,3378000
2019-08-21,3.570000,3.630000,3.490000,3.570000,3.441709,2121200
2019-08-22,3.540000,3.670000,3.530000,3.650000,3.568817,3055200
2019-08-23,3.600000,3.620000,3.500000,3.610000,3.529707,3201300
2019-08-26,4.030000,4.330000,3.200000,3.310000,3.236380,8951500
2019-08-27,3.270000,3.410000,3.210000,3.330000,3.255935,4129100
2019-08-28,3.310000,3.550000,3.260000,3.500000,3.422154,3004600
2019-08-29,3.530000,3.630000,3.510000,3.550000,3.471042,1795600
2019-08-30,3.570000,3.650000,3.450000,3.560000,3.480819,2640000
2019-09-03,3.510000,3.630000,3.400000,3.590000,3.510152,3740400
2019-09-04,3.630000,3.800000,3.610000,3.740000,3.656816,3453500
2019-09-05,3.860000,4.010000,3.830000,3.970000,3.881700,3152400
2019-09-06,3.980000,4.110000,3.920000,4.050000,3.959921,2249000
2019-09-09,4.060000,4.390000,4.060000,4.320000,4.223916,2969500
2019-09-10,4.300000,4.460000,4.190000,4.430000,4.331469,2990400
2019-09-11,4.500000,4.680000,4.280000,4.590000,4.487911,3517500
2019-09-12,4.610000,4.650000,4.380000,4.490000,4.390134,2840900
2019-09-13,4.520000,4.660000,4.410000,4.490000,4.390134,3699900
2019-09-16,4.470000,4.580000,4.200000,4.550000,4.448800,3871800
2019-09-17,4.490000,4.490000,4.330000,4.440000,4.341247,1637900
2019-09-18,4.420000,4.420000,4.170000,4.300000,4.204360,3638400
2019-09-19,4.320000,4.470000,4.280000,4.360000,4.263026,3113400
2019-09-20,4.350000,4.440000,4.330000,4.430000,4.331469,4275600
2019-09-23,4.380000,4.550000,4.300000,4.550000,4.448800,2282100
2019-09-24,4.580000,4.590000,4.330000,4.400000,4.302136,3417900
2019-09-25,4.370000,4.640000,4.370000,4.610000,4.507466,2141100
2019-09-26,4.600000,4.610000,4.450000,4.530000,4.429245,1679100
2019-09-27,4.520000,4.700000,4.480000,4.510000,4.409690,1604500
2019-09-30,4.540000,4.590000,4.480000,4.570000,4.468355,1626800
2019-10-01,4.580000,4.710000,4.400000,4.440000,4.341247,1920700
2019-10-02,4.380000,4.440000,4.210000,4.250000,4.155472,2615100
2019-10-03,4.200000,4.300000,4.050000,4.250000,4.155472,2170700
2019-10-04,4.260000,4.270000,4.090000,4.250000,4.155472,1250300
2019-10-07,4.200000,4.340000,4.190000,4.260000,4.165250,1666400
2019-10-08,4.200000,4.310000,4.110000,4.280000,4.184805,1569400
2019-10-09,4.320000,4.320000,4.080000,4.090000,3.999031,1737700
2019-10-10,4.120000,4.360000,4.110000,4.360000,4.263026,2860300
2019-10-11,4.360000,4.520000,4.360000,4.400000,4.302136,1612600
2019-10-14,4.370000,4.500000,4.280000,4.460000,4.360802,1156500
2019-10-15,4.450000,4.560000,4.400000,4.490000,4.390134,1025700
2019-10-16,4.500000,4.710000,4.500000,4.530000,4.429245,1328100
2019-10-17,4.580000,4.670000,4.550000,4.630000,4.527020,1253100
2019-10-18,4.590000,4.620000,4.480000,4.580000,4.478133,1308100
2019-10-21,4.640000,4.850000,4.580000,4.790000,4.683462,2178700
2019-10-22,4.790000,5.110000,4.670000,5.060000,4.947456,2600800
2019-10-23,5.060000,5.160000,4.960000,5.060000,4.947456,2570400
2019-10-24,5.220000,5.220000,4.990000,5.180000,5.064787,2975800
2019-10-25,5.180000,5.240000,5.040000,5.170000,5.055010,2140900
2019-10-28,5.190000,5.370000,5.150000,5.320000,5.201674,2349500
2019-10-29,5.280000,5.400000,5.270000,5.370000,5.250562,2406400
2019-10-30,5.340000,5.340000,4.570000,4.730000,4.624796,3412400
2019-10-31,4.740000,4.750000,4.320000,4.400000,4.302136,3024500
2019-11-01,4.430000,4.600000,4.370000,4.530000,4.429245,1848700
