Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,23.549999,24.469999,23.299999,23.799999,23.799999,8591800
2019-01-03,23.850000,24.200001,23.410000,23.950001,23.950001,5591800
2019-01-04,23.840000,24.830000,23.840000,24.400000,24.400000,9156600
2019-01-07,18.500000,20.200001,17.959999,18.950001,18.950001,35120500
2019-01-08,16.790001,17.559999,15.780000,17.559999,17.559999,34202000
2019-01-09,17.600000,19.350000,17.559999,17.830000,17.830000,24533300
2019-01-10,18.049999,19.200001,17.070000,17.760000,17.760000,24798300
2019-01-11,17.000000,17.959999,16.719999,17.590000,17.590000,19750700
2019-01-14,9.210000,9.730000,7.780000,8.380000,8.380000,127198800
2019-01-15,6.280000,7.200000,5.070000,6.910000,6.910000,173062600
2019-01-16,6.450000,7.110000,6.310000,7.030000,7.030000,78485900
2019-01-17,8.300000,8.320000,6.310000,6.360000,6.360000,205294500
2019-01-18,6.660000,7.460000,6.540000,7.230000,7.230000,53590400
2019-01-22,7.160000,8.380000,7.000000,7.700000,7.700000,59384900
2019-01-23,7.960000,8.050000,7.520000,7.990000,7.990000,21631000
2019-01-24,7.900000,14.500000,7.300000,13.950000,13.950000,82538300
2019-01-25,12.700000,12.860000,11.510000,11.770000,11.770000,72357400
2019-01-28,10.610000,14.150000,10.610000,12.010000,12.010000,58267000
2019-01-29,12.310000,14.350000,12.230000,13.990000,13.990000,56057400
2019-01-30,14.150000,14.150000,13.150000,13.670000,13.670000,19681000
2019-01-31,13.380000,13.660000,12.730000,13.000000,13.000000,12119500
2019-02-01,12.880000,13.250000,12.810000,13.080000,13.080000,6496900
2019-02-04,13.370000,13.390000,12.800000,13.290000,13.290000,8512100
2019-02-05,13.260000,14.250000,13.170000,14.080000,14.080000,9157100
2019-02-06,14.120000,14.140000,13.660000,13.670000,13.670000,5999700
2019-02-07,13.500000,14.150000,13.420000,14.060000,14.060000,8918500
2019-02-08,13.930000,14.570000,13.710000,14.200000,14.200000,6488300
2019-02-11,14.320000,14.660000,14.080000,14.330000,14.330000,7368300
2019-02-12,14.810000,15.470000,14.380000,15.430000,15.430000,11555800
2019-02-13,15.500000,16.000000,15.150000,15.210000,15.210000,8687000
2019-02-14,15.350000,15.550000,15.120000,15.470000,15.470000,7240500
2019-02-15,15.450000,15.680000,15.400000,15.480000,15.480000,4823200
2019-02-19,16.350000,18.510000,16.129999,17.740000,17.740000,29442500
2019-02-20,18.059999,18.480000,17.760000,18.209999,18.209999,12206200
2019-02-21,18.450001,19.950001,18.299999,19.400000,19.400000,22164000
2019-02-22,19.879999,19.990000,17.780001,18.770000,18.770000,16304400
2019-02-25,18.799999,18.830000,17.920000,18.650000,18.650000,5906500
2019-02-26,18.650000,19.030001,18.320000,18.520000,18.520000,5207500
2019-02-27,18.680000,18.850000,17.350000,17.799999,17.799999,11950700
2019-02-28,17.850000,17.860001,16.230000,17.030001,17.030001,11974600
2019-03-01,17.100000,18.270000,17.049999,17.910000,17.910000,11335400
2019-03-04,18.139999,18.190001,17.709999,18.049999,18.049999,8047100
2019-03-05,18.000000,18.440001,17.969999,18.309999,18.309999,7826400
2019-03-06,18.160000,19.200001,18.150000,18.360001,18.360001,8636000
2019-03-07,18.480000,19.170000,18.410000,19.070000,19.070000,7077900
2019-03-08,18.879999,19.400000,18.770000,19.389999,19.389999,3936200
2019-03-11,19.400000,19.570000,19.139999,19.379999,19.379999,5576800
2019-03-12,19.389999,19.520000,19.160000,19.219999,19.219999,4570700
2019-03-13,19.600000,19.610001,18.809999,19.459999,19.459999,12773100
2019-03-14,19.389999,19.559999,19.260000,19.510000,19.510000,6437300
2019-03-15,19.580000,19.670000,18.959999,19.650000,19.650000,8077300
2019-03-18,19.799999,19.799999,19.209999,19.430000,19.430000,6636300
2019-03-19,19.430000,19.480000,18.709999,19.070000,19.070000,7094100
2019-03-20,18.930000,19.360001,18.840000,19.080000,19.080000,2576900
2019-03-21,19.030001,19.150000,18.820000,19.049999,19.049999,2472700
2019-03-22,19.100000,19.480000,18.900000,19.420000,19.420000,9601700
2019-03-25,19.379999,19.379999,17.500000,18.209999,18.209999,12809400
2019-03-26,18.270000,18.750000,17.920000,17.950001,17.950001,3537100
2019-03-27,17.930000,18.000000,17.400000,17.680000,17.680000,8151600
2019-03-28,18.040001,18.129999,15.490000,17.250000,17.250000,12484100
2019-03-29,17.389999,17.809999,16.959999,17.799999,17.799999,3587300
2019-04-01,17.590000,18.030001,17.180000,18.010000,18.010000,4114600
2019-04-02,17.969999,18.420000,17.629999,17.660000,17.660000,5701000
