Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,51.799999,51.799999,50.520000,50.830002,48.808403,3355900
2019-01-03,50.869999,51.630001,50.790001,50.820000,48.798798,3264000
2019-01-04,50.590000,51.529999,50.590000,51.369999,49.326923,4473100
2019-01-07,51.119999,51.910000,51.040001,51.480000,49.432549,3534200
2019-01-08,51.560001,51.790001,51.259998,51.680000,49.624596,2977500
2019-01-09,51.490002,51.919998,51.060001,51.290001,49.250111,2750200
2019-01-10,51.389999,52.090000,51.270000,52.000000,49.931866,2884500
2019-01-11,51.889999,52.189999,51.560001,51.880001,49.816639,3800500
2019-01-14,51.529999,51.529999,49.970001,50.750000,48.731583,4364200
2019-01-15,50.680000,51.630001,50.590000,51.470001,49.422947,3569000
2019-01-16,51.320000,51.669998,51.139999,51.450001,49.403744,2908600
2019-01-17,51.520000,52.299999,51.459999,52.209999,50.133514,4598300
2019-01-18,52.090000,52.340000,51.680000,51.939999,49.874252,4101900
2019-01-22,52.020000,52.810001,51.980000,52.720001,50.623234,3704400
2019-01-23,52.639999,53.380001,52.639999,53.330002,51.208973,2906900
2019-01-24,53.279999,53.279999,52.730000,53.240002,51.122551,2327100
2019-01-25,53.000000,53.340000,52.590000,52.650002,50.556019,2559100
2019-01-28,52.639999,52.930000,52.080002,52.400002,50.315960,2447700
2019-01-29,52.580002,52.910000,52.459999,52.770000,50.671249,2496800
2019-01-30,52.500000,53.480000,52.500000,53.250000,51.132156,2390100
2019-01-31,53.180000,54.680000,52.930000,54.549999,52.380447,3429100
2019-02-01,54.490002,54.630001,54.049999,54.509998,52.342041,2809800
2019-02-04,54.310001,55.000000,53.910000,54.970001,52.783749,2583800
2019-02-05,54.869999,55.049999,54.500000,54.900002,52.716534,3384600
2019-02-06,54.750000,55.099998,54.680000,55.000000,52.812553,2733900
2019-02-07,55.000000,55.689999,54.759998,55.689999,53.475109,3339800
2019-02-08,55.639999,55.889999,55.259998,55.880001,53.657551,3049900
2019-02-11,55.900002,56.119999,55.720001,55.980000,53.753574,2890000
2019-02-12,56.029999,56.240002,55.560001,56.000000,53.772781,2685400
2019-02-13,55.830002,56.009998,55.650002,55.990002,53.763184,3026400
2019-02-14,55.980000,56.279999,55.689999,55.930000,53.705566,2847500
2019-02-15,56.200001,56.450001,56.049999,56.320000,54.080055,3005600
2019-02-19,55.349998,56.290001,55.349998,56.220001,53.984032,4177400
2019-02-20,56.270000,56.709999,55.990002,56.610001,54.358521,3958700
2019-02-21,56.290001,56.950001,56.099998,56.910000,54.646587,3939300
2019-02-22,57.049999,57.630001,56.740002,57.299999,55.021076,3060900
2019-02-25,57.380001,57.570000,56.880001,57.330002,55.049885,4385200
2019-02-26,57.450001,57.570000,57.000000,57.320000,55.040287,5450300
2019-02-27,58.299999,58.930000,57.730000,58.560001,56.230965,3402400
2019-02-28,58.500000,59.049999,58.349998,58.810001,56.471020,4503600
2019-03-01,58.919998,59.349998,58.750000,59.250000,56.893520,3221600
2019-03-04,59.419998,59.610001,58.939999,59.580002,57.210400,3374700
2019-03-05,59.570000,59.680000,59.290001,59.330002,56.970345,4108200
2019-03-06,59.439999,59.650002,58.980000,59.160000,56.807098,4228200
2019-03-07,58.950001,59.220001,58.540001,59.000000,57.107155,4472600
2019-03-08,59.070000,59.160000,58.419998,58.880001,56.991009,2883600
2019-03-11,58.840000,59.020000,58.540001,58.669998,56.787743,3506000
2019-03-12,58.790001,59.209999,58.549999,59.130001,57.232990,2847300
2019-03-13,59.230000,59.590000,58.950001,59.509998,57.600796,4637000
2019-03-14,59.540001,59.950001,59.310001,59.639999,57.726627,2420800
2019-03-15,59.610001,59.919998,59.400002,59.730000,57.813736,7124300
2019-03-18,59.830002,59.869999,59.320000,59.610001,57.697586,2643900
2019-03-19,59.439999,59.590000,58.880001,59.119999,57.223305,2539000
2019-03-20,59.200001,59.400002,58.720001,58.889999,57.000687,2676900
2019-03-21,58.919998,59.590000,58.759998,59.480000,57.571758,1808600
2019-03-22,59.650002,60.090000,59.480000,59.630001,57.716949,1903700
2019-03-25,59.720001,59.730000,59.389999,59.580002,57.668552,1611600
2019-03-26,59.680000,59.919998,59.480000,59.919998,57.997643,2573400
2019-03-27,59.910000,60.000000,59.110001,59.279999,57.378178,1991600
2019-03-28,59.259998,59.400002,58.570000,58.790001,56.903896,2298100
2019-03-29,58.880001,59.470001,58.590000,59.410000,57.504005,2613400
2019-04-01,59.320000,59.320000,58.119999,58.540001,56.661922,2898800
2019-04-02,58.689999,59.099998,58.270000,59.049999,57.155556,2768300
2019-04-03,59.099998,59.119999,58.540001,58.830002,56.942612,2089700
2019-04-04,59.099998,59.500000,58.709999,59.299999,57.397533,3443900
2019-04-05,59.259998,59.700001,59.009998,59.700001,57.784702,2611800
2019-04-08,59.549999,59.730000,59.090000,59.250000,57.349136,1737900
2019-04-09,59.180000,59.790001,59.009998,59.599998,57.687908,2972400
2019-04-10,59.750000,60.360001,59.330002,59.470001,57.562080,2297300
2019-04-11,59.549999,59.810001,59.320000,59.529999,57.620152,1970500
2019-04-12,59.419998,59.919998,58.930000,59.889999,57.968601,2436900
2019-04-15,59.990002,60.290001,59.770000,59.990002,58.065399,1889600
2019-04-16,60.009998,60.320000,58.520000,58.750000,56.865181,2022300
2019-04-17,58.689999,58.820000,58.349998,58.709999,56.826462,2624000
2019-04-18,58.950001,60.310001,57.869999,58.869999,56.981327,7421500
2019-04-22,58.700001,58.939999,58.169998,58.439999,56.565121,3138200
2019-04-23,58.259998,58.689999,57.700001,58.119999,56.255390,3724500
2019-04-24,58.130001,58.980000,58.130001,58.700001,56.816784,1924200
2019-04-25,58.509998,59.250000,58.389999,59.000000,57.107155,1971300
2019-04-26,59.299999,59.660000,58.840000,58.939999,57.049084,1643600
2019-04-29,58.759998,58.990002,58.369999,58.700001,56.816784,1597900
2019-04-30,58.790001,59.709999,58.590000,59.650002,57.736305,2182600
2019-05-01,59.389999,59.490002,58.759998,58.779999,56.894215,2183200
2019-05-02,59.000000,59.490002,58.500000,59.240002,57.339462,2950700
2019-05-03,59.470001,59.790001,59.080002,59.240002,57.339462,2137900
2019-05-06,59.459999,59.459999,58.689999,58.919998,57.029724,2129100
2019-05-07,58.910000,59.139999,58.630001,58.840000,56.952290,2162300
2019-05-08,58.790001,58.840000,57.750000,57.770000,55.916622,2233800
2019-05-09,57.860001,58.369999,57.500000,58.290001,56.419933,1831200
2019-05-10,58.070000,59.349998,58.020000,59.310001,57.407211,1320600
2019-05-13,59.259998,60.070000,59.200001,59.970001,58.046036,1788400
2019-05-14,59.970001,60.029999,58.990002,59.139999,57.242668,3246300
2019-05-15,59.250000,59.720001,58.950001,59.360001,57.455608,1931200
2019-05-16,59.310001,60.320000,59.169998,60.049999,58.123474,1707500
2019-05-17,59.730000,60.580002,59.730000,60.430000,58.491283,1592000
