Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,28.250000,28.360001,27.930000,28.110001,26.333635,5404900
2019-01-03,28.110001,28.290001,27.920000,28.010000,26.239954,4887500
2019-01-04,27.799999,28.870001,27.799999,28.870001,27.045607,4999400
2019-01-07,28.680000,29.180000,28.530001,28.910000,27.083076,5269000
2019-01-08,28.950001,29.309999,28.930000,29.290001,27.439066,5344000
2019-01-09,29.209999,29.450001,29.120001,29.290001,27.439066,3978000
2019-01-10,29.350000,29.610001,29.100000,29.570000,27.701370,4412500
2019-01-11,29.540001,29.690001,29.250000,29.500000,27.635794,3858500
2019-01-14,29.070000,29.070000,28.530001,28.959999,27.129919,5829000
2019-01-15,28.830000,29.410000,28.830000,29.400000,27.542110,4760000
2019-01-16,29.219999,29.709999,29.150000,29.680000,27.804419,5666400
2019-01-17,29.680000,29.990000,29.580000,29.900000,28.010517,3490800
2019-01-18,29.920000,30.160000,29.820000,30.070000,28.169773,4375900
2019-01-22,30.150000,30.230000,29.420000,29.879999,27.991779,4693800
2019-01-23,29.900000,30.500000,29.889999,30.500000,28.572601,5684600
2019-01-24,30.500000,30.799999,30.110001,30.780001,28.834906,3800800
2019-01-25,30.620001,31.070000,30.600000,30.670000,28.731859,4045200
2019-01-28,30.719999,30.780001,30.420000,30.660000,28.722488,3047900
2019-01-29,30.770000,30.770000,30.469999,30.600000,28.666283,4757700
2019-01-30,30.590000,30.980000,30.549999,30.799999,28.853643,3597700
2019-01-31,30.790001,31.379999,30.580000,31.320000,29.340782,6566600
2019-02-01,31.290001,31.389999,30.879999,31.150000,29.181524,3325600
2019-02-04,30.940001,31.059999,30.680000,31.059999,29.097214,4562000
2019-02-05,30.930000,31.270000,30.870001,31.059999,29.097214,4817900
2019-02-06,31.059999,31.150000,30.799999,30.879999,28.928587,3878500
2019-02-07,30.540001,31.070000,30.420000,31.049999,29.087843,4584000
2019-02-08,30.879999,31.309999,30.860001,31.290001,29.312679,3575200
2019-02-11,31.299999,31.480000,31.049999,31.120001,29.153421,3877000
2019-02-12,31.250000,31.320000,30.990000,31.010000,29.050371,7248900
2019-02-13,30.930000,30.959999,30.670000,30.910000,28.956692,7215600
2019-02-14,30.830000,30.980000,30.510000,30.549999,28.619440,5598300
2019-02-15,30.620001,30.790001,30.219999,30.459999,28.535128,9643700
2019-02-19,30.500000,30.700001,30.400000,30.680000,28.741226,6147300
2019-02-20,30.680000,31.270000,30.670000,31.180000,29.209629,6098700
2019-02-21,31.110001,31.500000,30.969999,31.420000,29.434464,3492500
2019-02-22,31.500000,31.690001,31.320000,31.639999,29.640560,3077000
2019-02-25,31.730000,31.780001,31.410000,31.730000,29.724873,3516700
2019-02-26,31.860001,32.060001,31.620001,31.930000,29.912233,4877100
2019-02-27,32.020000,32.090000,31.809999,31.980000,29.959076,4041000
2019-02-28,31.940001,32.220001,31.770000,32.169998,30.137066,5768700
2019-03-01,32.240002,32.310001,31.809999,32.259998,30.221378,4869200
2019-03-04,32.349998,32.430000,32.009998,32.369999,30.324429,5085100
2019-03-05,32.330002,32.590000,32.139999,32.480000,30.427479,4582400
2019-03-06,32.570000,32.680000,32.259998,32.360001,30.315062,4301400
2019-03-07,32.080002,32.270000,31.870001,32.070000,30.431303,4504200
2019-03-08,31.920000,32.000000,31.570000,31.980000,30.345898,3813000
2019-03-11,32.070000,32.380001,31.959999,32.380001,30.725460,4173500
2019-03-12,32.439999,32.610001,32.330002,32.470001,30.810863,4050100
2019-03-13,32.549999,32.560001,32.330002,32.500000,30.839333,3359700
2019-03-14,32.540001,32.650002,32.310001,32.590000,30.924732,5134800
2019-03-15,32.580002,32.889999,32.459999,32.740002,31.067066,11540500
2019-03-18,32.790001,32.880001,32.549999,32.720001,31.048088,5411300
2019-03-19,32.689999,32.720001,31.969999,32.099998,30.459768,5041600
2019-03-20,32.139999,32.430000,32.029999,32.110001,30.469259,3667300
2019-03-21,32.130001,32.380001,32.110001,32.299999,30.649549,3673400
2019-03-22,32.400002,32.570000,32.189999,32.189999,30.545170,4185000
2019-03-25,32.310001,32.490002,32.250000,32.349998,30.696991,2856700
2019-03-26,32.380001,32.570000,32.349998,32.450001,30.791885,3006500
2019-03-27,32.500000,32.529999,32.160000,32.340000,30.687504,2802900
2019-03-28,32.380001,32.410000,31.530001,31.590000,29.975828,5626200
2019-03-29,31.639999,31.770000,31.459999,31.740000,30.118166,4841600
2019-04-01,31.700001,31.730000,31.350000,31.639999,30.023273,6379600
2019-04-02,31.700001,31.750000,31.480000,31.719999,30.099188,3749000
2019-04-03,31.799999,32.020000,31.610001,31.889999,30.260500,4164800
2019-04-04,31.959999,32.000000,31.430000,31.670000,30.051741,3276900
2019-04-05,31.740000,32.160000,31.709999,32.150002,30.507215,3776700
2019-04-08,32.130001,32.130001,31.719999,31.930000,30.298456,2597900
2019-04-09,31.950001,32.000000,31.780001,32.000000,30.364878,2524200
2019-04-10,32.060001,32.209999,31.690001,31.740000,30.118166,2781800
2019-04-11,31.740000,32.000000,31.700001,31.969999,30.336411,2953800
2019-04-12,31.879999,31.969999,31.610001,31.860001,30.232033,3853100
2019-04-15,31.940001,31.980000,31.730000,31.879999,30.251009,3348600
2019-04-16,31.809999,31.920000,31.230000,31.320000,29.719625,4098900
2019-04-17,31.309999,31.309999,31.010000,31.090000,29.501377,3037100
2019-04-18,31.040001,31.240000,30.930000,30.969999,29.387508,4119400
2019-04-22,31.049999,31.049999,30.750000,30.840000,29.264151,4134800
2019-04-23,30.889999,30.959999,30.680000,30.860001,29.283131,4603100
2019-04-24,30.889999,31.120001,30.840000,30.950001,29.368532,2628300
2019-04-25,30.820000,31.100000,30.709999,30.799999,29.226194,4227100
2019-04-26,30.980000,31.150000,30.770000,30.780001,29.207220,3958000
2019-04-29,30.780001,30.840000,30.469999,30.570000,29.007948,4254800
2019-04-30,30.670000,31.240000,30.590000,31.209999,29.615244,11079400
2019-05-01,31.059999,31.450001,31.049999,31.090000,29.501377,5753800
2019-05-02,30.940001,31.129999,30.680000,30.740000,29.169262,5035200
2019-05-03,30.750000,31.240000,30.719999,31.219999,29.624735,3584500
2019-05-06,31.170000,31.170000,30.910000,31.010000,29.425463,2769100
2019-05-07,30.990000,31.139999,30.809999,30.959999,29.378019,3765200
2019-05-08,30.889999,31.000000,30.340000,30.370001,28.818169,4372800
2019-05-09,30.400000,30.540001,29.950001,30.260000,28.713787,4551300
2019-05-10,30.290001,31.040001,30.250000,31.040001,29.453934,3369300
2019-05-13,30.889999,31.420000,30.870001,31.350000,29.748093,3794900
2019-05-14,31.280001,31.400000,31.070000,31.090000,29.501377,4329400
2019-05-15,30.900000,31.000000,30.580000,30.650000,29.083858,3887300
2019-05-16,30.559999,30.750000,29.780001,29.930000,28.400650,8514400
2019-05-17,29.900000,30.059999,29.709999,29.790001,28.267805,6915500
2019-05-20,29.850000,30.120001,29.610001,29.690001,28.172915,5987800
2019-05-21,29.780001,30.530001,29.770000,30.219999,28.675831,4874900
2019-05-22,30.139999,30.219999,29.780001,30.049999,28.514519,5113200
2019-05-23,30.070000,30.379999,30.020000,30.360001,28.808680,3899100
2019-05-24,30.420000,30.850000,30.389999,30.799999,29.226194,5360100
2019-05-28,30.780001,30.860001,30.440001,30.580000,29.017437,7399800
2019-05-29,30.620001,30.620001,29.850000,29.850000,28.324739,4741200
2019-05-30,29.910000,30.129999,29.790001,29.889999,28.362692,3276700
2019-05-31,29.950001,30.030001,29.730000,29.760000,28.239338,4557100
2019-06-03,29.879999,30.219999,29.719999,30.180000,28.637877,5287100
2019-06-04,30.219999,30.580000,30.010000,30.559999,28.998459,3921200
2019-06-05,30.639999,31.320000,30.490000,31.150000,29.558311,5039100
2019-06-06,31.250000,31.600000,31.090000,31.520000,29.909407,4066700
