Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.490000,5.840000,5.350000,5.690000,5.575819,7798000
2019-01-03,5.690000,5.860000,5.610000,5.750000,5.634615,8244200
2019-01-04,5.890000,6.120000,5.750000,6.080000,5.957993,11944600
2019-01-07,8.420000,8.750000,8.110000,8.530000,8.358829,34469800
2019-01-08,8.670000,8.970000,8.550000,8.760000,8.584213,15478500
2019-01-09,8.850000,8.930000,8.500000,8.510000,8.339231,10100000
2019-01-10,8.460000,8.660000,8.360000,8.540000,8.368629,5262900
2019-01-11,8.520000,8.640000,8.340000,8.510000,8.339231,12987100
2019-01-14,8.400000,8.970000,8.360000,8.550000,8.378428,18263000
2019-01-15,8.600000,8.820000,8.540000,8.760000,8.584213,10586900
2019-01-16,8.710000,8.880000,8.560000,8.680000,8.505818,4491100
2019-01-17,8.610000,8.770000,8.560000,8.750000,8.574415,5649200
2019-01-18,8.790000,9.010000,8.740000,9.000000,8.819398,4402800
2019-01-22,8.900000,8.920000,8.610000,8.630000,8.456822,5308400
2019-01-23,8.660000,8.720000,8.180000,8.340000,8.172642,6577600
2019-01-24,8.300000,8.380000,8.200000,8.340000,8.172642,5513700
2019-01-25,8.400000,8.420000,8.130000,8.280000,8.113845,6409900
2019-01-28,8.180000,8.310000,8.140000,8.280000,8.113845,2971500
2019-01-29,8.360000,8.360000,8.210000,8.260000,8.094247,1905500
2019-01-30,8.290000,8.620000,8.230000,8.610000,8.437223,2778400
2019-01-31,8.690000,8.700000,8.240000,8.270000,8.104047,2991800
2019-02-01,8.350000,8.530000,8.310000,8.420000,8.251037,2534800
2019-02-04,8.350000,8.540000,8.270000,8.460000,8.290234,7505700
2019-02-05,8.440000,8.460000,8.060000,8.120000,7.957056,7633400
2019-02-06,8.110000,8.230000,8.050000,8.060000,7.898261,2088000
2019-02-07,8.030000,8.050000,7.690000,7.760000,7.604280,4859600
2019-02-08,7.770000,7.770000,7.480000,7.750000,7.594481,4371300
2019-02-11,7.660000,7.950000,7.640000,7.920000,7.761070,5641200
2019-02-12,8.060000,8.190000,7.940000,8.020000,7.859063,2811500
2019-02-13,8.100000,8.260000,7.970000,8.080000,7.917859,3110000
2019-02-14,8.010000,8.370000,8.010000,8.240000,8.074648,7197900
2019-02-15,8.320000,8.480000,8.280000,8.370000,8.202040,4010200
2019-02-19,8.330000,8.410000,8.260000,8.280000,8.113845,2362000
2019-02-20,8.280000,8.350000,8.120000,8.190000,8.025652,3373400
2019-02-21,7.910000,8.100000,7.590000,7.950000,7.790468,8047000
2019-02-22,8.070000,8.110000,7.860000,7.960000,7.800267,3106500
2019-02-25,7.990000,8.190000,7.980000,8.090000,7.927658,6141000
2019-02-26,8.020000,8.160000,7.900000,7.900000,7.741471,4740900
2019-02-27,7.960000,8.070000,7.840000,7.860000,7.702274,4487100
2019-02-28,7.900000,7.960000,7.590000,7.760000,7.604280,6874000
2019-03-01,7.790000,7.940000,7.760000,7.930000,7.770869,3381700
2019-03-04,7.980000,8.100000,7.880000,8.080000,7.917859,3421300
2019-03-05,8.060000,8.190000,7.900000,7.930000,7.770869,3962600
2019-03-06,7.870000,7.900000,7.590000,7.610000,7.457291,5396700
2019-03-07,7.620000,7.640000,7.400000,7.420000,7.271103,1844100
2019-03-08,7.210000,7.320000,7.040000,7.220000,7.075117,4176500
2019-03-11,7.300000,7.390000,7.130000,7.370000,7.222106,6207800
2019-03-12,7.420000,7.670000,7.380000,7.610000,7.457291,3485200
2019-03-13,7.700000,7.870000,7.630000,7.830000,7.672875,3180200
2019-03-14,7.810000,7.930000,7.760000,7.850000,7.692474,4249700
2019-03-15,7.780000,7.790000,7.550000,7.570000,7.418094,4589900
2019-03-18,7.570000,7.780000,7.570000,7.750000,7.594481,6096600
2019-03-19,7.810000,7.870000,7.750000,7.800000,7.643478,5028500
2019-03-20,7.810000,8.260000,7.790000,8.100000,7.937458,7009800
2019-03-21,8.080000,8.180000,7.980000,8.100000,7.937458,6784400
2019-03-22,7.980000,8.000000,7.540000,7.590000,7.437692,3967900
2019-03-25,7.540000,7.710000,7.360000,7.610000,7.457291,5217100
2019-03-26,7.790000,7.910000,7.750000,7.820000,7.663076,2407900
2019-03-27,7.810000,7.910000,7.620000,7.640000,7.486689,1841400
2019-03-28,7.560000,7.740000,7.560000,7.710000,7.555284,2281200
2019-03-29,7.840000,7.970000,7.780000,7.790000,7.633678,3140800
2019-04-01,7.890000,8.110000,7.860000,8.110000,7.947257,4125200
2019-04-02,8.130000,8.150000,7.980000,8.030000,7.868862,1997300
2019-04-03,8.040000,8.120000,7.650000,7.710000,7.555284,5205200
2019-04-04,7.730000,7.940000,7.700000,7.900000,7.741471,4483800
2019-04-05,7.970000,8.290000,7.960000,8.280000,8.113845,4455800
2019-04-08,8.330000,8.470000,8.210000,8.280000,8.113845,5971100
2019-04-09,8.230000,8.270000,7.900000,7.920000,7.761070,4937100
2019-04-10,7.940000,8.140000,7.910000,8.060000,7.898261,2339400
2019-04-11,8.010000,8.080000,7.860000,7.970000,7.810066,4340700
2019-04-12,8.270000,8.310000,8.020000,8.180000,8.015852,3382800
