Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,83.389999,87.610001,82.559998,86.849998,85.283569,2478400
2019-01-03,85.019997,85.809998,82.870003,83.580002,82.072556,2666200
2019-01-04,85.400002,87.570000,84.449997,87.449997,85.872749,3011700
2019-01-07,87.169998,90.059998,87.010002,89.760002,88.141090,2826100
2019-01-08,91.059998,91.489998,87.370003,88.050003,86.461929,3172500
2019-01-09,88.809998,90.559998,88.139999,88.839996,87.237679,2754500
2019-01-10,88.279999,90.839996,88.139999,90.370003,88.740089,2291500
2019-01-11,90.129997,92.040001,89.150002,90.919998,89.280159,2667300
2019-01-14,89.910004,90.809998,89.410004,90.559998,88.926659,1570900
2019-01-15,91.180000,92.510002,90.860001,91.209999,89.564934,1971800
2019-01-16,91.500000,91.779999,90.449997,90.489998,88.857910,2085100
2019-01-17,91.349998,92.720001,89.760002,92.239998,90.576355,2446100
2019-01-18,93.099998,94.089996,92.260002,93.519997,91.833260,3477400
2019-01-22,92.730003,92.879997,89.510002,90.449997,88.818634,2971500
2019-01-23,91.000000,91.430000,87.980003,89.550003,87.934868,4098300
2019-01-24,98.099998,107.650002,96.800003,106.059998,104.147087,19931600
2019-01-25,105.919998,110.839996,104.620003,110.370003,108.379372,8754100
2019-01-28,107.489998,113.440002,107.019997,109.360001,107.387581,7988500
2019-01-29,110.000000,111.529999,109.120003,109.389999,107.417046,3905300
2019-01-30,111.480003,113.169998,110.339996,112.879997,110.844086,5057100
2019-01-31,112.669998,113.230003,111.110001,111.940002,109.921043,3660000
2019-02-01,111.470001,112.650002,110.820000,112.019997,109.999596,4524000
2019-02-04,111.650002,112.400002,109.790001,110.199997,108.212433,5315000
2019-02-05,110.040001,111.129997,109.279999,110.980003,109.335541,3437700
2019-02-06,111.660004,115.699997,111.480003,114.269997,112.576790,5066400
2019-02-07,112.940002,114.550003,111.599998,112.730003,111.059616,4973300
2019-02-08,111.400002,114.040001,111.320000,113.690002,112.005386,2388100
2019-02-11,114.180000,115.629997,113.160004,114.900002,113.197464,2677900
2019-02-12,116.550003,118.949997,115.500000,118.199997,116.448555,4731600
2019-02-13,118.699997,118.900002,116.639999,117.389999,115.650558,3758900
2019-02-14,116.739998,118.449997,116.550003,117.519997,115.778633,2666100
2019-02-15,118.510002,119.320000,117.260002,119.309998,117.542107,3019600
2019-02-19,119.680000,120.500000,118.709999,118.959999,117.197296,3153000
2019-02-20,119.190002,120.199997,119.059998,120.110001,118.330254,1848800
2019-02-21,120.120003,120.300003,118.309998,119.260002,117.492851,3614900
2019-02-22,120.500000,123.650002,120.290001,122.750000,120.931137,4027400
2019-02-25,125.000000,126.290001,123.809998,124.040001,122.202034,4261500
2019-02-26,125.000000,125.010002,121.510002,122.779999,120.960693,3762100
2019-02-27,122.760002,123.580002,120.559998,123.269997,121.443436,3580600
2019-02-28,123.550003,125.839996,123.489998,125.300003,123.443359,3967900
2019-03-01,126.660004,127.699997,125.070000,126.639999,124.763496,4202000
2019-03-04,127.029999,127.260002,119.860001,122.809998,120.990250,6249200
2019-03-05,122.379997,124.220001,122.070000,122.949997,121.128174,2395200
2019-03-06,123.059998,123.550003,120.940002,121.360001,119.561737,2020600
2019-03-07,120.510002,120.989998,119.360001,119.910004,118.133224,3678000
2019-03-08,117.820000,118.970001,116.570000,118.629997,116.872185,4712000
2019-03-11,120.500000,122.059998,119.760002,121.940002,120.133141,4118100
2019-03-12,122.500000,123.250000,121.169998,122.389999,120.576462,2761400
2019-03-13,123.000000,124.370003,122.040001,122.930000,121.108482,2778400
2019-03-14,123.199997,123.860001,122.050003,122.480003,120.665146,2126900
2019-03-15,123.440002,125.320000,123.080002,124.169998,122.330109,5504800
2019-03-18,124.220001,125.910004,124.220001,125.279999,123.423645,3114600
2019-03-19,126.099998,127.290001,125.650002,127.059998,125.177277,2674100
2019-03-20,126.139999,127.809998,125.730003,126.309998,124.438385,2682900
2019-03-21,126.529999,130.570007,126.190002,130.050003,128.122971,3839100
2019-03-22,129.809998,129.960007,126.209999,126.889999,125.009796,3047900
2019-03-25,126.169998,126.250000,122.449997,124.129997,122.290695,3914600
2019-03-26,125.650002,127.120003,125.379997,126.629997,124.753647,2544300
2019-03-27,127.000000,127.349998,123.790001,125.139999,123.285728,2101400
2019-03-28,125.910004,128.070007,125.500000,126.570000,124.694534,2513600
2019-03-29,128.649994,129.220001,125.910004,126.790001,124.911270,4083000
2019-04-01,128.880005,129.970001,128.300003,129.729996,127.807709,3872700
2019-04-02,130.000000,130.270004,128.419998,129.089996,127.177200,2668600
2019-04-03,130.110001,130.649994,127.519997,128.570007,126.664902,3458700
2019-04-04,128.710007,129.830002,126.820000,127.820000,125.926018,2798500
2019-04-05,128.809998,129.410004,127.949997,129.080002,127.167358,2003900
2019-04-08,129.070007,130.009995,127.349998,129.899994,127.975189,2128400
2019-04-09,129.300003,130.149994,127.660004,128.929993,127.019569,2641300
2019-04-10,129.410004,133.070007,129.039993,131.589996,129.640152,4153700
2019-04-11,131.410004,132.509995,130.630005,132.070007,130.113037,1663400
2019-04-12,133.100006,134.479996,132.500000,134.410004,132.418381,3030500
2019-04-15,134.410004,135.380005,133.449997,134.059998,132.073547,2771500
2019-04-16,134.729996,135.750000,133.389999,134.979996,132.979919,3051400
2019-04-17,136.000000,137.229996,134.660004,135.820007,133.807480,2539500
2019-04-18,136.000000,136.389999,132.929993,134.949997,132.950363,4030900
2019-04-22,135.000000,135.690002,133.380005,134.440002,132.447906,1984400
2019-04-23,135.000000,137.460007,134.750000,137.149994,135.117767,3455200
2019-04-24,137.449997,141.600006,136.809998,139.720001,137.649689,8556400
2019-04-25,126.349998,126.599998,115.250000,115.860001,114.143234,24053900
2019-04-26,115.519997,119.300003,110.309998,118.930000,117.167740,14285600
2019-04-29,118.550003,118.930000,115.839996,117.080002,115.345154,5266300
2019-04-30,117.129997,120.419998,117.000000,120.139999,118.359810,4739400
2019-05-01,121.000000,121.750000,116.440002,116.639999,114.911674,4833500
2019-05-02,116.639999,119.589996,116.349998,118.900002,117.138191,3503200
2019-05-03,119.750000,119.879997,117.889999,119.019997,117.256409,3255700
2019-05-06,115.000000,118.870003,113.690002,118.809998,117.049522,3316800
2019-05-07,117.900002,119.400002,116.470001,117.809998,116.064339,5390000
2019-05-08,117.809998,119.309998,116.709999,117.690002,115.946114,3223200
2019-05-09,115.980003,117.750000,114.599998,116.699997,114.970779,3565400
2019-05-10,116.440002,119.120003,115.129997,116.919998,115.187523,3770400
2019-05-13,113.889999,114.449997,109.779999,110.639999,109.000572,5779000
2019-05-14,112.040001,113.949997,111.559998,113.180000,111.502937,3411700
2019-05-15,111.519997,115.650002,111.309998,114.449997,113.123940,3902000
2019-05-16,109.989998,110.500000,104.790001,106.129997,104.900337,13656500
2019-05-17,104.660004,106.529999,103.459999,104.760002,103.546211,8374500
2019-05-20,100.989998,101.959999,97.680000,101.029999,99.859436,10459300
2019-05-21,103.870003,106.070000,102.690002,105.709999,104.485207,6375000
2019-05-22,104.000000,105.779999,103.750000,104.690002,103.477028,3236500
2019-05-23,102.889999,103.459999,101.070000,102.300003,101.114723,4388100
2019-05-24,103.379997,104.900002,100.970001,101.209999,100.037346,3740300
2019-05-28,101.949997,101.989998,99.559998,101.699997,100.521667,4789600
2019-05-29,101.199997,104.000000,101.000000,103.650002,102.449081,4417700
2019-05-30,104.019997,106.120003,104.000000,105.449997,104.228218,3342200
2019-05-31,103.989998,106.010002,102.239998,102.309998,101.124603,4143300
2019-06-03,103.550003,104.199997,101.510002,102.300003,101.114723,3182600
2019-06-04,103.559998,107.010002,103.040001,106.900002,105.661415,4133200
2019-06-05,108.129997,109.400002,104.209999,105.599998,104.376480,3021400
2019-06-06,105.209999,106.150002,103.839996,106.010002,104.781738,2789300
2019-06-07,106.580002,107.760002,105.440002,107.489998,106.244576,2548700
2019-06-10,109.099998,112.180000,109.019997,110.879997,109.595306,3689600
2019-06-11,113.010002,114.010002,111.029999,111.669998,110.376152,3571200
2019-06-12,110.769997,110.900002,107.860001,107.940002,106.689369,2238700
2019-06-13,109.000000,109.690002,107.510002,108.349998,107.094620,2606900
2019-06-14,104.599998,106.330002,103.629997,105.419998,104.198563,3032800
2019-06-17,105.410004,106.059998,104.320000,104.529999,103.318878,1910500
2019-06-18,105.889999,112.169998,104.949997,111.779999,110.484879,5151100
2019-06-19,112.110001,112.500000,110.510002,111.839996,110.544182,2631900
2019-06-20,114.349998,114.760002,112.800003,114.760002,113.430351,2948900
2019-06-21,114.050003,114.180000,112.129997,112.139999,110.840714,4518400
2019-06-24,112.820000,114.129997,112.180000,112.690002,111.384338,1974600
2019-06-25,112.349998,113.480003,109.680000,109.949997,108.676079,2829400
2019-06-26,112.150002,115.489998,112.050003,114.230003,112.906494,3186100
2019-06-27,114.650002,118.339996,114.650002,118.180000,116.810730,4137900
2019-06-28,118.309998,118.400002,115.910004,117.919998,116.553734,4524900
2019-07-01,122.300003,123.370003,120.070000,121.150002,119.746315,4280500
2019-07-02,120.650002,120.830002,117.320000,117.599998,116.237442,3113500
2019-07-03,117.769997,118.290001,114.139999,116.389999,115.041466,2627900
2019-07-05,115.970001,116.320000,114.720001,116.110001,114.764709,1747400
2019-07-08,114.949997,116.040001,114.169998,115.930000,114.586800,1431600
2019-07-09,114.830002,117.470001,114.419998,117.339996,115.980453,2081400
2019-07-10,118.309998,119.070000,116.760002,117.489998,116.128723,2062600
2019-07-11,118.519997,118.599998,116.510002,118.370003,116.998528,1880000
2019-07-12,118.370003,120.589996,118.370003,120.320000,118.925934,2183500
2019-07-15,120.690002,121.849998,120.199997,121.660004,120.250412,1407300
2019-07-16,121.059998,121.779999,119.260002,121.230003,119.825394,2050600
2019-07-17,121.260002,122.529999,120.199997,120.910004,119.509102,1727700
2019-07-18,120.660004,123.910004,120.309998,122.860001,121.436501,2916800
2019-07-19,123.000000,124.480003,122.570000,122.699997,121.278351,2434200
2019-07-22,122.739998,124.949997,122.699997,124.230003,122.790634,2073100
2019-07-23,124.389999,128.009995,123.910004,127.279999,125.805290,3043700
2019-07-24,127.389999,133.000000,125.860001,132.139999,130.608978,6356300
2019-07-25,125.010002,131.289993,124.250000,127.589996,126.111702,7457600
2019-07-26,127.709999,127.870003,120.470001,120.769997,119.370712,5831400
2019-07-29,120.779999,122.160004,119.790001,120.550003,119.153267,2770300
2019-07-30,119.830002,121.040001,118.720001,119.510002,118.125320,2404900
2019-07-31,119.510002,119.779999,112.870003,114.209999,112.886726,5125500
2019-08-01,114.309998,117.639999,111.760002,113.459999,112.145416,5335800
2019-08-02,112.209999,113.980003,109.209999,110.180000,108.903419,4450900
2019-08-05,106.980003,108.449997,106.139999,107.010002,105.770149,4108300
2019-08-06,108.500000,109.470001,105.199997,105.660004,104.798141,3018300
2019-08-07,104.769997,106.360001,104.000000,104.919998,104.064171,3732100
2019-08-08,106.320000,109.910004,105.410004,109.839996,108.944038,3338700
2019-08-09,109.000000,109.000000,104.139999,104.230003,103.379807,4415400
2019-08-12,103.220001,104.970001,102.489998,103.180000,102.338371,2638500
2019-08-13,103.000000,107.779999,101.650002,106.430000,105.561859,3310800
2019-08-14,103.510002,104.430000,102.589996,102.980003,102.139999,3002300
2019-08-15,104.269997,104.529999,102.830002,103.800003,102.953316,2171000
2019-08-16,105.309998,106.449997,104.900002,105.459999,104.599770,2531400
2019-08-19,108.070000,109.370003,106.739998,106.910004,106.037949,2322300
2019-08-20,107.000000,107.169998,103.809998,105.099998,104.242706,3417900
2019-08-21,105.970001,106.540001,104.739998,106.089996,105.224632,1552600
2019-08-22,106.320000,106.339996,103.330002,104.430000,103.578171,1981500
2019-08-23,103.879997,104.839996,100.300003,100.970001,100.146393,4078500
2019-08-26,100.870003,102.400002,98.000000,101.790001,100.959709,3320500
2019-08-27,102.550003,103.050003,99.800003,100.220001,99.402519,2746500
2019-08-28,99.959999,100.910004,98.639999,100.830002,100.007538,2249100
2019-08-29,102.430000,105.110001,102.430000,103.449997,102.606163,3291700
2019-08-30,104.430000,105.190002,103.290001,104.059998,103.211189,1938600
