Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,49.779999,51.919998,49.779999,51.869999,50.186188,5235720
2019-01-03,51.590000,52.639999,51.459999,51.930000,50.244244,5244875
2019-01-04,52.959999,53.849998,52.750000,53.740002,51.995487,4664640
2019-01-07,53.549999,55.200001,53.490002,54.669998,52.895294,6146255
2019-01-08,55.000000,55.000000,54.070000,54.779999,53.001720,6852584
2019-01-09,54.810001,55.849998,54.520000,55.459999,53.659649,4740750
2019-01-10,55.279999,55.700001,54.810001,55.369999,53.572571,4411245
2019-01-11,54.930000,56.340000,54.770000,55.770000,53.959587,4270955
2019-01-14,55.250000,56.380001,55.060001,56.139999,54.317577,5572722
2019-01-15,56.119999,56.369999,55.369999,55.990002,54.172447,5894165
2019-01-16,56.900002,57.650002,56.139999,57.360001,55.497974,3977883
2019-01-17,57.080002,58.279999,56.689999,58.040001,56.155903,5362425
2019-01-18,62.000000,62.130001,59.040001,60.720001,58.748905,5538529
2019-01-22,60.220001,60.775002,59.849998,60.360001,58.400585,6655119
2019-01-23,60.689999,61.000000,60.080002,60.560001,58.594093,3491592
2019-01-24,60.259998,61.430000,60.259998,61.220001,59.232670,4764250
2019-01-25,61.730000,62.400002,61.117401,61.900002,59.890594,4225801
2019-01-28,61.230000,61.830002,60.549999,61.740002,59.735794,4744371
2019-01-29,61.619999,62.009998,61.330002,61.400002,59.406830,3536401
2019-01-30,61.459999,61.500000,60.529999,60.619999,58.652145,4064626
2019-01-31,60.169998,60.590000,58.900002,59.419998,57.491096,6991764
2019-02-01,59.599998,60.035000,59.389999,59.470001,57.539478,3846787
2019-02-04,59.360001,59.509998,59.000000,59.439999,57.510452,6657369
2019-02-05,59.509998,59.509998,58.509998,59.139999,57.220192,3785092
2019-02-06,59.020000,59.520000,58.299999,58.740002,56.833176,2917535
2019-02-07,65.690002,66.209999,62.580002,64.720001,62.619057,24656274
2019-02-08,64.709999,65.029999,63.840000,64.370003,62.280415,9182801
2019-02-11,64.540001,64.959999,64.370003,64.769997,62.667427,5280793
2019-02-12,65.260002,66.019997,65.199997,65.559998,63.431782,5454162
2019-02-13,65.519997,65.830002,64.599998,64.650002,62.551327,5659221
2019-02-14,64.099998,64.209999,63.230000,64.029999,61.951454,4910174
2019-02-15,64.730003,65.510002,64.519997,65.120003,63.006069,4437529
2019-02-19,64.669998,65.820000,64.279999,65.650002,63.518864,4343823
2019-02-20,65.690002,66.690002,65.389999,66.550003,64.389648,4956120
2019-02-21,66.650002,67.019997,66.290001,66.660004,64.496078,4449550
2019-02-22,66.739998,66.739998,65.980003,66.269997,64.118736,3338854
2019-02-25,66.610001,66.779999,65.739998,65.769997,63.634972,3719368
2019-02-26,65.550003,66.129997,64.937500,65.370003,63.247955,3405526
2019-02-27,65.029999,65.389999,64.669998,65.160004,63.530701,3389877
2019-02-28,65.190002,65.474998,64.760002,64.870003,63.247955,2925338
2019-03-01,65.139999,66.529999,65.004997,66.279999,64.622696,5716811
2019-03-04,66.360001,67.248398,65.610001,66.220001,64.564194,4396357
