Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.340000,3.800000,3.320000,3.720000,3.720000,27988900
2019-01-03,3.720000,3.800000,3.550000,3.640000,3.640000,21698500
2019-01-04,3.690000,3.920000,3.670000,3.900000,3.900000,26295100
2019-01-07,3.950000,4.180000,3.870000,4.070000,4.070000,22494000
2019-01-08,4.140000,4.200000,4.050000,4.110000,4.110000,18597100
2019-01-09,4.160000,4.370000,4.120000,4.370000,4.370000,22623800
2019-01-10,4.300000,4.330000,4.120000,4.300000,4.300000,20156500
2019-01-11,4.260000,4.400000,4.230000,4.350000,4.350000,13592300
2019-01-14,4.290000,4.470000,4.290000,4.380000,4.380000,17454500
2019-01-15,4.410000,4.490000,4.340000,4.410000,4.410000,12720900
2019-01-16,4.380000,4.510000,4.360000,4.390000,4.390000,18338200
2019-01-17,4.350000,4.480000,4.310000,4.450000,4.450000,12544500
2019-01-18,4.500000,4.650000,4.470000,4.590000,4.590000,16633700
2019-01-22,4.530000,4.550000,4.260000,4.270000,4.270000,17075600
2019-01-23,4.350000,4.360000,4.140000,4.210000,4.210000,13490100
2019-01-24,4.210000,4.380000,4.170000,4.350000,4.350000,12289400
2019-01-25,4.350000,4.540000,4.340000,4.530000,4.530000,18196000
2019-01-28,4.420000,4.470000,4.360000,4.390000,4.390000,12047600
2019-01-29,4.440000,4.500000,4.390000,4.470000,4.470000,11722200
2019-01-30,4.480000,4.650000,4.450000,4.600000,4.600000,11411900
2019-01-31,4.630000,4.640000,4.320000,4.370000,4.370000,18265700
2019-02-01,4.400000,4.430000,4.320000,4.380000,4.380000,13488100
2019-02-04,4.330000,4.380000,4.210000,4.350000,4.350000,14932400
2019-02-05,4.340000,4.420000,4.230000,4.240000,4.240000,13359200
2019-02-06,4.220000,4.250000,3.900000,3.980000,3.980000,37830700
2019-02-07,3.940000,3.960000,3.640000,3.720000,3.720000,31926100
2019-02-08,3.690000,3.840000,3.690000,3.800000,3.800000,21353900
2019-02-11,3.800000,4.000000,3.780000,3.940000,3.940000,15005200
2019-02-12,4.020000,4.100000,4.000000,4.010000,4.010000,14432800
2019-02-13,4.010000,4.130000,4.000000,4.050000,4.050000,15722500
2019-02-14,4.050000,4.100000,4.000000,4.010000,4.010000,13604400
2019-02-15,4.060000,4.190000,4.020000,4.190000,4.190000,16721800
2019-02-19,4.190000,4.260000,4.160000,4.170000,4.170000,12068800
2019-02-20,4.170000,4.360000,4.160000,4.330000,4.330000,12987500
2019-02-21,4.330000,4.380000,4.260000,4.280000,4.280000,14511300
2019-02-22,4.340000,4.360000,4.200000,4.240000,4.240000,11121200
2019-02-25,4.230000,4.480000,4.220000,4.410000,4.410000,13170600
2019-02-26,4.420000,4.560000,4.310000,4.340000,4.340000,13268100
2019-02-27,4.410000,4.450000,4.280000,4.290000,4.290000,9592600
2019-02-28,4.330000,4.340000,4.190000,4.230000,4.230000,17853100
2019-03-01,4.370000,4.550000,4.340000,4.550000,4.550000,26087100
2019-03-04,4.590000,4.780000,4.560000,4.720000,4.720000,22257600
2019-03-05,4.720000,4.770000,4.600000,4.680000,4.680000,14935300
2019-03-06,4.640000,4.700000,4.550000,4.630000,4.630000,18651000
2019-03-07,4.660000,4.680000,4.410000,4.420000,4.420000,17546200
2019-03-08,4.300000,4.350000,4.190000,4.270000,4.270000,17214300
2019-03-11,4.300000,4.300000,4.130000,4.230000,4.230000,19143700
2019-03-12,4.260000,4.410000,4.250000,4.400000,4.400000,15820000
2019-03-13,4.450000,4.530000,4.370000,4.470000,4.470000,12896900
2019-03-14,4.450000,4.540000,4.420000,4.460000,4.460000,10705200
2019-03-15,4.360000,4.440000,4.280000,4.320000,4.320000,24962000
2019-03-18,4.360000,4.530000,4.320000,4.530000,4.530000,14417200
2019-03-19,4.560000,4.570000,4.340000,4.360000,4.360000,13008200
2019-03-20,4.330000,4.620000,4.330000,4.580000,4.580000,18821900
2019-03-21,4.570000,4.730000,4.560000,4.710000,4.710000,17592100
2019-03-22,4.620000,4.620000,4.420000,4.430000,4.430000,13479800
2019-03-25,4.420000,4.580000,4.380000,4.470000,4.470000,14629400
2019-03-26,4.570000,4.700000,4.540000,4.580000,4.580000,20751400
2019-03-27,4.560000,4.680000,4.470000,4.540000,4.540000,16598000
2019-03-28,4.530000,4.710000,4.520000,4.700000,4.700000,16695500
2019-03-29,4.740000,4.770000,4.650000,4.690000,4.690000,16458800
2019-04-01,4.740000,4.760000,4.620000,4.670000,4.670000,13903500
2019-04-02,4.680000,4.680000,4.550000,4.600000,4.600000,15724400
2019-04-03,4.610000,4.680000,4.420000,4.490000,4.490000,17156900
2019-04-04,4.500000,4.650000,4.470000,4.650000,4.650000,13014500
2019-04-05,4.650000,4.730000,4.600000,4.710000,4.710000,12713000
2019-04-08,4.720000,4.830000,4.720000,4.770000,4.770000,18456500
2019-04-09,4.770000,4.890000,4.680000,4.820000,4.820000,16202400
2019-04-10,4.860000,4.900000,4.680000,4.730000,4.730000,13607500
2019-04-11,4.690000,4.720000,4.440000,4.470000,4.470000,24893500
2019-04-12,4.580000,4.610000,4.510000,4.590000,4.590000,12776900
2019-04-15,4.560000,4.690000,4.500000,4.560000,4.560000,10568300
2019-04-16,4.580000,4.600000,4.510000,4.580000,4.580000,10707000
2019-04-17,4.610000,4.620000,4.400000,4.460000,4.460000,15475900
2019-04-18,4.440000,4.460000,4.130000,4.150000,4.150000,31266200
2019-04-22,4.240000,4.290000,4.040000,4.160000,4.160000,22392200
2019-04-23,4.160000,4.290000,4.120000,4.150000,4.150000,26401600
2019-04-24,4.210000,4.220000,4.120000,4.160000,4.160000,15648300
2019-04-25,4.170000,4.220000,4.020000,4.060000,4.060000,25529100
2019-04-26,4.260000,4.430000,4.070000,4.140000,4.140000,35863100
2019-04-29,4.140000,4.190000,4.030000,4.120000,4.120000,17921600
2019-04-30,4.130000,4.140000,3.940000,3.950000,3.950000,18251400
2019-05-01,3.950000,4.010000,3.850000,3.870000,3.870000,14684500
2019-05-02,3.810000,3.890000,3.750000,3.800000,3.800000,13243500
2019-05-03,3.840000,4.000000,3.820000,3.930000,3.930000,13531300
2019-05-06,3.830000,3.990000,3.810000,3.950000,3.950000,12143100
2019-05-07,3.910000,4.030000,3.890000,4.010000,4.010000,13757200
2019-05-08,4.000000,4.190000,3.990000,4.120000,4.120000,16450900
2019-05-09,4.100000,4.210000,4.030000,4.160000,4.160000,12032000
2019-05-10,4.150000,4.250000,4.090000,4.230000,4.230000,9175300
2019-05-13,4.190000,4.200000,3.920000,3.940000,3.940000,14460300
2019-05-14,4.010000,4.120000,3.990000,4.100000,4.100000,10045400
2019-05-15,4.050000,4.120000,4.000000,4.100000,4.100000,10762000
2019-05-16,4.120000,4.150000,4.010000,4.070000,4.070000,15883900
2019-05-17,4.020000,4.050000,3.890000,3.890000,3.890000,10993900
2019-05-20,3.880000,3.900000,3.780000,3.800000,3.800000,11888000
2019-05-21,3.820000,3.950000,3.790000,3.950000,3.950000,11474400
2019-05-22,3.890000,3.910000,3.760000,3.770000,3.770000,11723700
2019-05-23,3.720000,3.810000,3.560000,3.680000,3.680000,19654600
2019-05-24,3.710000,3.790000,3.660000,3.790000,3.790000,12627900
2019-05-28,3.760000,3.780000,3.570000,3.630000,3.630000,16659900
2019-05-29,3.550000,3.830000,3.540000,3.820000,3.820000,16714200
2019-05-30,3.680000,3.810000,3.560000,3.570000,3.570000,16156000
2019-05-31,3.470000,3.640000,3.450000,3.590000,3.590000,16127300
2019-06-03,3.600000,3.700000,3.560000,3.690000,3.690000,21598000
2019-06-04,3.660000,3.830000,3.650000,3.730000,3.730000,14625700
2019-06-05,3.680000,3.690000,3.360000,3.510000,3.510000,19239000
2019-06-06,3.470000,3.600000,3.440000,3.480000,3.480000,11736000
2019-06-07,3.490000,3.590000,3.360000,3.500000,3.500000,21493200
2019-06-10,3.510000,3.610000,3.370000,3.390000,3.390000,15462300
2019-06-11,3.440000,3.460000,3.280000,3.340000,3.340000,22257400
2019-06-12,3.280000,3.340000,3.110000,3.130000,3.130000,18836500
2019-06-13,3.190000,3.210000,3.050000,3.210000,3.210000,19982900
2019-06-14,3.200000,3.280000,3.110000,3.180000,3.180000,17019300
2019-06-17,3.150000,3.310000,3.120000,3.270000,3.270000,11089500
2019-06-18,3.290000,3.430000,3.270000,3.340000,3.340000,12749600
2019-06-19,3.330000,3.360000,3.180000,3.190000,3.190000,16110300
2019-06-20,3.250000,3.400000,3.150000,3.180000,3.180000,27935400
2019-06-21,3.200000,3.220000,3.110000,3.150000,3.150000,23349400
2019-06-24,3.160000,3.280000,3.160000,3.230000,3.230000,17978200
2019-06-25,3.220000,3.240000,3.020000,3.030000,3.030000,25061700
2019-06-26,3.080000,3.160000,3.030000,3.050000,3.050000,16303800
2019-06-27,3.050000,3.140000,3.020000,3.060000,3.060000,12479000
2019-06-28,3.080000,3.180000,3.050000,3.160000,3.160000,20808600
2019-07-01,3.210000,3.210000,3.040000,3.060000,3.060000,26734300
2019-07-02,3.060000,3.060000,2.850000,2.880000,2.880000,29383300
2019-07-03,2.900000,2.910000,2.830000,2.850000,2.850000,9106200
2019-07-05,2.860000,2.990000,2.860000,2.950000,2.950000,13784800
2019-07-08,2.910000,2.980000,2.810000,2.820000,2.820000,14930500
2019-07-09,2.820000,2.870000,2.770000,2.840000,2.840000,11452100
2019-07-10,2.850000,2.920000,2.810000,2.890000,2.890000,15544000
2019-07-11,2.900000,2.920000,2.680000,2.700000,2.700000,25544300
2019-07-12,2.730000,2.740000,2.630000,2.720000,2.720000,21877700
2019-07-15,2.720000,2.740000,2.600000,2.630000,2.630000,14540100
2019-07-16,2.630000,2.660000,2.490000,2.540000,2.540000,14502500
2019-07-17,2.550000,2.570000,2.380000,2.420000,2.420000,20559500
2019-07-18,2.420000,2.470000,2.360000,2.410000,2.410000,21901800
2019-07-19,2.410000,2.470000,2.370000,2.440000,2.440000,14953600
2019-07-22,2.440000,2.490000,2.380000,2.390000,2.390000,14171100
2019-07-23,2.400000,2.480000,2.400000,2.460000,2.460000,15649200
2019-07-24,2.460000,2.530000,2.350000,2.360000,2.360000,22123500
2019-07-25,2.390000,2.410000,2.170000,2.170000,2.170000,31058300
2019-07-26,2.170000,2.190000,2.020000,2.040000,2.040000,32737400
2019-07-29,2.030000,2.050000,1.860000,1.910000,1.910000,36676600
2019-07-30,1.910000,2.290000,1.860000,2.190000,2.190000,40474100
2019-07-31,2.220000,2.360000,2.170000,2.200000,2.200000,30212700
2019-08-01,2.200000,2.260000,2.070000,2.130000,2.130000,30866200
2019-08-02,2.130000,2.150000,1.990000,2.060000,2.060000,16942200
2019-08-05,2.010000,2.020000,1.920000,1.940000,1.940000,18940000
2019-08-06,1.970000,2.010000,1.810000,1.850000,1.850000,19068600
2019-08-07,1.760000,1.930000,1.640000,1.890000,1.890000,29300200
2019-08-08,1.900000,1.990000,1.880000,1.910000,1.910000,15987400
2019-08-09,1.910000,2.000000,1.880000,1.900000,1.900000,19627300
2019-08-12,1.900000,1.920000,1.760000,1.840000,1.840000,18351800
2019-08-13,1.820000,1.940000,1.750000,1.800000,1.800000,25375400
2019-08-14,1.780000,1.810000,1.680000,1.730000,1.730000,15716300
2019-08-15,1.730000,1.770000,1.690000,1.720000,1.720000,11968700
2019-08-16,1.720000,1.800000,1.680000,1.800000,1.800000,16538600
2019-08-19,1.830000,1.990000,1.790000,1.950000,1.950000,16882600
2019-08-20,1.950000,1.950000,1.810000,1.850000,1.850000,12786300
2019-08-21,1.890000,1.940000,1.810000,1.840000,1.840000,13983000
2019-08-22,1.840000,1.900000,1.800000,1.830000,1.830000,14546800
2019-08-23,1.800000,1.830000,1.680000,1.690000,1.690000,16442100
