Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.853260,4.853260,4.567774,4.567774,1.584453,14900
2000-01-04,4.567774,4.567774,4.496403,4.567774,1.584453,34800
2000-01-05,4.496403,4.710517,4.496403,4.496403,1.559695,26600
2000-01-06,4.496403,4.710517,4.496403,4.567774,1.584453,24000
2000-01-07,4.496403,4.567774,4.425031,4.496403,1.559695,73900
2000-01-10,4.496403,4.710517,4.496403,4.567774,1.584453,47300
2000-01-11,4.425031,4.496403,4.425031,4.496403,1.559695,45700
2000-01-12,4.425031,4.496403,4.425031,4.425031,1.534938,13600
2000-01-13,4.425031,4.639146,4.425031,4.496403,1.559695,27100
2000-01-14,4.496403,4.567774,4.496403,4.567774,1.584453,31700
2000-01-18,4.567774,4.639146,4.496403,4.639146,1.609209,18000
2000-01-19,4.567774,4.639146,4.496403,4.639146,1.609209,24700
2000-01-20,4.639146,4.639146,4.567774,4.567774,1.584453,28100
2000-01-21,4.567774,4.567774,4.496403,4.496403,1.559695,35500
2000-01-24,4.496403,4.567774,4.210917,4.210917,1.460667,91500
2000-01-25,4.282289,4.282289,3.925431,3.996803,1.386396,313100
2000-01-26,3.925431,4.139545,3.854060,3.996803,1.386396,64800
2000-01-27,3.996803,4.139545,3.854060,3.996803,1.386396,94700
2000-01-28,3.925431,3.996803,3.854060,3.925431,1.361639,110500
2000-01-31,3.996803,4.282289,3.854060,4.139545,1.435910,198400
2000-02-01,4.139545,4.282289,4.068174,4.210917,1.460667,80100
2000-02-02,4.139545,4.353660,4.139545,4.282289,1.485424,34200
2000-02-03,4.210917,4.425031,4.139545,4.210917,1.460667,153500
2000-02-04,4.139545,4.139545,3.996803,3.996803,1.386396,110000
2000-02-07,4.282289,4.353660,4.068174,4.210917,1.460667,35800
2000-02-08,4.139545,4.353660,3.854060,3.996803,1.386396,54900
2000-02-09,3.996803,4.068174,3.996803,3.996803,1.386396,52800
2000-02-10,3.996803,3.996803,3.925431,3.925431,1.361639,109200
2000-02-11,3.854060,3.925431,3.639945,3.711317,1.287368,109400
2000-02-14,3.711317,3.711317,3.568574,3.639945,1.262611,57700
2000-02-15,3.568574,3.639945,3.568574,3.639945,1.262611,59600
2000-02-16,3.568574,3.782688,3.568574,3.782688,1.312125,55500
2000-02-17,3.711317,3.925431,3.711317,3.782688,1.312125,36300
2000-02-18,3.854060,3.854060,3.782688,3.782688,1.312125,10800
2000-02-22,3.782688,3.854060,3.782688,3.782688,1.312125,21800
2000-02-23,3.782688,3.782688,3.782688,3.782688,1.312125,8500
2000-02-24,3.782688,3.854060,3.711317,3.782688,1.312125,25600
2000-02-25,3.711317,3.996803,3.711317,3.854060,1.336882,88700
2000-02-28,3.854060,3.925431,3.854060,3.925431,1.361639,12300
2000-02-29,3.925431,4.068174,3.854060,3.854060,1.336882,546400
2000-03-01,3.854060,3.996803,3.782688,3.782688,1.312125,191500
2000-03-02,3.782688,3.854060,3.782688,3.854060,1.336882,84300
2000-03-03,3.925431,4.210917,3.925431,4.068174,1.411153,53300
2000-03-06,3.925431,4.139545,3.782688,4.068174,1.411153,37000
2000-03-07,3.996803,4.139545,3.854060,3.996803,1.386396,265500
2000-03-08,3.996803,3.996803,3.854060,3.854060,1.336882,18600
2000-03-09,3.854060,3.854060,3.568574,3.711317,1.287368,123400
2000-03-10,3.782688,3.782688,3.568574,3.639945,1.262611,62800
2000-03-13,3.639945,3.854060,3.639945,3.854060,1.336882,43200
2000-03-14,3.782688,3.782688,3.568574,3.568574,1.237853,64100
2000-03-15,3.568574,3.568574,3.068973,3.211716,1.114068,181500
2000-03-16,3.140345,3.639945,3.140345,3.568574,1.237853,130500
2000-03-17,3.425831,3.497202,3.283088,3.354459,1.163582,70000
2000-03-20,3.354459,3.354459,3.283088,3.354459,1.163582,32500
2000-03-21,3.425831,3.996803,3.425831,3.925431,1.361639,274200
2000-03-22,4.068174,4.496403,4.068174,4.282289,1.485424,142600
2000-03-23,4.282289,4.425031,3.568574,3.711317,1.287368,198700
2000-03-24,3.711317,3.996803,3.711317,3.711317,1.287368,50500
2000-03-27,3.711317,3.782688,3.639945,3.639945,1.262611,42900
2000-03-28,3.639945,3.782688,3.568574,3.568574,1.237853,68300
2000-03-29,3.711317,3.711317,3.568574,3.639945,1.262611,18300
2000-03-30,3.568574,3.782688,3.425831,3.782688,1.312125,91800
2000-03-31,3.854060,3.854060,3.568574,3.782688,1.312125,61300
2000-04-03,3.782688,3.782688,3.711317,3.782688,1.312125,12300
2000-04-04,3.782688,3.925431,3.782688,3.925431,1.361639,72200
2000-04-05,3.854060,3.996803,3.854060,3.854060,1.336882,21500
2000-04-06,3.711317,4.068174,3.711317,3.925431,1.361639,24100
2000-04-07,3.925431,4.068174,3.782688,4.068174,1.411153,43600
2000-04-10,3.925431,4.282289,3.925431,4.210917,1.460667,45200
2000-04-11,4.282289,4.353660,4.282289,4.282289,1.485424,13300
2000-04-12,4.282289,4.496403,4.282289,4.425031,1.534938,20300
2000-04-13,4.353660,4.496403,4.353660,4.353660,1.510181,44500
2000-04-14,4.282289,4.353660,3.996803,4.068174,1.411153,54100
2000-04-17,4.068174,4.210917,4.068174,4.210917,1.460667,81200
2000-04-18,4.139545,4.353660,4.139545,4.282289,1.485424,21100
2000-04-19,4.282289,4.425031,4.282289,4.353660,1.510181,9700
2000-04-20,4.425031,4.425031,4.353660,4.353660,1.510181,9300
